사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,약국영업면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
신한제일약국,2025-12-17,200938.52813687,451798.00308625,2026-04-22 22:32:35,I,2017-01-31,03,폐업,2025-12-17 14:02:44,,2017-01-31,,서울특별시 중구 신당동 775번지,PHMD120173010033084000005,3010000,17,"서울특별시 중구 마장로 11, 5층 502호 (신당동, 신한빌딩)",04567,03,폐업,,,02-2254-2294
동인약국,2025-05-01,200856.552725308,452215.161208068,2026-04-22 22:31:04,I,1981-09-24,03,폐업,2025-05-01 10:17:37,,1981-09-24,,서울특별시 종로구 창신동 687-26,PHMD119653000034084000001,3000000,24,서울특별시 종로구 창신길 11 (창신동),03101,03,폐업,,,02-743-7371
대흥사약국,2023-12-30,199241.347975426,452249.651330435,2026-04-22 22:31:04,I,1999-08-17,03,폐업,2024-01-03 14:30:22,,1999-08-17,110-390,서울특별시 종로구 봉익동 22번지 2호,PHMD119653000034084000002,3000000,22,서울특별시 종로구 돈화문로6가길 40 (봉익동),03138,03,폐업,,,02-764-4548
세종약국,2012-01-02,197842.557986375,452132.318856498,2026-04-22 22:31:04,I,2004-01-02,03,폐업,2012-01-02 13:12:34,,2004-01-02,,서울특별시 종로구 세종로 157-4,PHMD119653000034084000003,3000000,24,서울특별시 종로구 세종대로 169 (세종로),,03,폐업,,,02-720-0099
종로메디칼약국,2013-06-28,197379.970714412,452663.981772217,2026-04-22 22:31:04,I,2008-01-03,03,폐업,2013-06-28 09:58:18,,2008-01-03,110-053,서울특별시 종로구 내자동 21번지 1호,PHMD119673000034084000001,3000000,25,서울특별시 종로구 사직로 111-1 (내자동),,03,폐업,,,02-733-3777
청사약국,2015-01-07,197759.173462514,452506.21248055,2026-04-22 22:31:04,I,2002-05-14,03,폐업,2015-01-07 09:59:47,,2002-05-14,,서울특별시 종로구 세종로 77-6 정부종합청사 후생관 1층,PHMD119683000034084000001,3000000,16,서울특별시 종로구 세종대로 209 (세종로),,03,폐업,,,02-725-9907
돈미약국,2018-09-07,198595.845834068,453248.526948683,2026-04-22 22:31:04,I,1968-11-15,03,폐업,2018-09-07 16:28:15,,1968-11-15,,서울특별시 종로구 가회동 30-9,PHMD119683000034084000002,3000000,39,서울특별시 종로구 북촌로 51-1 (가회동),03052,03,폐업,,,02-763-2220
동화약국,2012-11-22,,,2026-04-22 22:31:04,I,1970-02-26,03,폐업,2012-11-22 17:56:41,,1970-02-26,,서울특별시 종로구 관철동 7-19,PHMD119683000034084000003,3000000,26,서울특별시 종로구 종로14길 23 (관철동),,03,폐업,,,02-735-8041
십자약국,2013-02-25,,,2026-04-22 22:31:04,I,1979-01-16,03,폐업,2013-02-25 11:25:36,,1979-01-16,,서울특별시 종로구 교남동 6,PHMD119683000034084000004,3000000,17,,,03,폐업,,,02-735-0646
S.K보금약국,2012-04-30,,,2026-04-22 22:31:04,I,2000-11-22,03,폐업,2012-04-30 13:52:03,,2000-11-22,,서울특별시 종로구 서린동 115-1외35필지 S.K빌딩 지하1층,PHMD119683000034084000005,3000000,15,,,03,폐업,,,02-2121-7654
파고다약국,2016-03-02,198901.619613483,452209.745850827,2026-04-22 22:31:05,I,1965-12-20,03,폐업,2016-03-02 14:36:12,,1965-12-20,,서울특별시 종로구 낙원동 233,PHMD119703000034084000001,3000000,26,서울특별시 종로구 종로17길 46 (낙원동),03140,03,폐업,,,02-742-4104
