사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
(주)현대프로세스,2004-06-07,209637.078215509,449832.485937903,2026-04-22 22:31:24,I,03,폐업,2004-12-02 17:00:17,,1992-03-26,143-802,서울특별시 광진구 광장동 114,CDFH3301261992000001,3040000,서울특별시 광진구 아차산로78길 44  (광장동),,03,폐업,,,02-454-3691
어린이회관아이스링크,2011-01-31,206808.576422948,449396.05799662,2026-04-22 22:31:24,I,03,폐업,2013-03-28 10:47:55,,1992-10-14,143-847,서울특별시 광진구 능동 18-11,CDFH3301261992000002,3040000,,,03,폐업,,,22046094
구의현대스포츠센타,2003-11-01,208505.215590144,448701.864851016,2026-04-22 22:31:24,I,03,폐업,2003-12-26 15:42:11,,1995-04-18,143-815,서울특별시 광진구 광장동 573-1,CDFH3301261995000001,3040000,,,03,폐업,,,
어린이대공원아이스링크,2011-01-31,207139.204095368,449705.67643744,2026-04-22 22:31:24,I,03,폐업,2013-03-28 10:50:56,,1999-11-24,143-847,서울특별시 광진구 능동 18-0,CDFH3301261999000001,3040000,,,03,폐업,,,02-450-9334
고려대학교실내아이스링크,2005-10-30,202789.692329185,454049.551940162,2026-04-22 22:31:48,I,03,폐업,2014-08-29 11:49:31,,2002-05-22,136-075,서울특별시 성북구 안암동5가 1-2 외23필지,CDFH3301262002000001,3070000,"서울특별시 성북구 인촌로 99-14 (안암동5가,외23필지)",,03,폐업,,,
신곡로울러스케이트,2007-06-13,186065.684789257,446251.76410763,2026-04-22 22:31:26,I,03,폐업,2007-06-13 15:47:00,,1990-05-11,158-842,서울특별시 양천구 신월동 575-17,CDFH3301261990000001,3140000,서울특별시 양천구 남부순환로79길 37  (신월동),,03,폐업,,,
노보텔 앰배서더 독산 휘트니스 클럽,2022-12-07,190941.203218878,440593.5758415,2026-04-22 22:31:35,I,03,폐업,2022-12-07 17:58:17,,1997-07-01,153-821,서울특별시 금천구 독산동 1030-1,CDFH3301261997000001,3170000,서울특별시 금천구 시흥대로 378 (독산동),08580,03,폐업,,,32826140
스파박스 스포츠센타,2017-06-21,190273.679568255,448515.628222752,2026-04-22 22:31:23,I,03,폐업,2017-06-21 13:58:58,,1995-07-01,150-105,서울특별시 영등포구 양평동5가 41-1,CDFH3301261995000001,3180000,서울특별시 영등포구 양평로 153  (양평동5가),,03,폐업,,,21658300
여의도스포츠센타,2010-12-22,193598.536439636,446357.770653118,2026-04-22 22:31:23,I,03,폐업,2010-12-22 17:21:30,,1995-07-22,150-891,서울특별시 영등포구 여의도동 45-3,CDFH3301261995000002,3180000,서울특별시 영등포구 국제금융로8길 27-8  (여의도동),,03,폐업,,,
63헬스센타,2008-02-25,194632.526367463,446401.926526228,2026-04-22 22:31:23,I,03,폐업,2008-03-11 09:49:58,,2000-03-17,150-896,서울특별시 영등포구 여의도동 60-0,CDFH3301262000000001,3180000,서울특별시 영등포구 63로 50  (여의도동),,03,폐업,,,
