사업장명,폐업일자,법인구분명,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,구분명,소재지전화번호
서울특별시립동대문노인종합복지관,,법인,204346.71519662,453883.453171928,2026-04-22 22:31:52,I,20,영업중,2025-10-30 13:53:56,2003-08-11,,서울특별시 동대문구 청량리동 11번지 1호,2003305008211200001,3050000,서울특별시 동대문구 제기로33길 25 (청량리동),,01,영업/정상,무료,32950092
동대문여성인력개발센터,,법인,202594.70160122,452773.282508375,2026-04-22 22:31:53,I,20,영업중,2024-08-16 10:22:52,2015-10-07,,서울특별시 동대문구 용두동 234번지 1호,2015305013714500011,3050000,"서울특별시 동대문구 왕산로 60-1, 포은빌딩 (용두동)",02583,01,영업/정상,무료,02-921-2020
동대문시니어클럽,,법인,202557.766413515,452206.2713086,2026-04-22 22:31:53,I,20,영업중,2026-03-13 10:53:33,2020-08-05,,서울특별시 동대문구 용두동 253-1 동대문구 공유커뮤니티센터 3층,2020305018614500006,3050000,"서울특별시 동대문구 무학로 89, 동대문구 공유커뮤니티센터 3층 (용두동)",02587,01,영업/정상,무료,
국민건강보험동우회사회적협동조합,,법인,202805.715803696,452786.165629285,2026-04-22 22:31:53,I,20,영업중,2026-01-14 16:43:10,2023-08-28,,서울특별시 동대문구 용두동 104-20,2026305028714500001,3050000,"서울특별시 동대문구 무학로36길 34, 4층 (용두동)",02585,01,영업/정상,무료,02-2066-7241
한국불교교화원,2015-03-23,법인,204126.004185845,453719.695085858,2026-04-22 22:31:52,I,40,폐업,2015-03-23 16:11:56,1998-06-29,,서울특별시 동대문구 청량리동 56번지 16호 17통 5반,1998305008211200001,3050000,서울특별시 동대문구 왕산로43나길 13 (청량리동),,03,폐업,무료,02-964-8044
(사)대한정신보건가족협회 서울특별시지부 무료직업소개사무소,2010-12-10,법인,201879.064765368,458899.856804754,2026-04-22 22:31:52,I,40,폐업,2010-12-10 13:25:15,2001-01-30,,서울특별시 강북구 수유동 50번지 35호,2001305008211200001,3050000,서울특별시 강북구 도봉로71가길 27 (수유동),,03,폐업,무료,
(재)국제인재능력개발원,2023-04-14,법인,202023.921749857,452387.764894439,2026-04-22 22:31:52,I,40,폐업,2023-04-14 16:41:37,2011-01-25,,서울특별시 동대문구 신설동 117번지 6호  경해빌딩 3층,2011305012314500001,3050000,"서울특별시 동대문구 난계로 250, 3층 (신설동, 경해빌딩)",,03,폐업,무료,
공익실천연대,2013-04-10,개인,204871.435289945,452326.928508894,2026-04-22 22:31:52,I,40,폐업,2013-04-11 09:03:09,2012-07-02,130-031,서울특별시 동대문구 답십리1동 242번지 41호,2012305013714500007,3050000,서울특별시 동대문구 답십리로45길 8 (답십리동),,03,폐업,무료,33947000
(주)공익실천연대,2018-01-22,법인,204897.497824435,452194.266433391,2026-04-22 22:31:52,I,40,폐업,2018-01-22 15:11:18,2013-04-11,,서울특별시 동대문구 답십리동 248번지 14호,2013305013714500003,3050000,서울특별시 동대문구 전농로 79-30 (답십리동),02599,03,폐업,무료,33947000
(사)사랑의 자전거,2017-04-13,법인,202360.062052635,452375.992415421,2026-04-22 22:31:52,I,40,폐업,2017-04-17 12:15:36,2013-05-16,130-811,서울특별시 동대문구 신설동 93번지 3호,2013305013714500006,3050000,서울특별시 동대문구 천호대로 38 (신설동),,03,폐업,무료,
(사)서울지역자활센터협회,2015-03-20,법인,203213.255431581,452908.03481324,2026-04-22 22:31:53,I,40,폐업,2015-03-20 16:43:12,2015-01-19,130-864,서울특별시 동대문구 제기동 1138번지,2015305013714500001,3050000,"서울특별시 동대문구 왕산로 123, 3층 (제기동, 정우빌딩)",,03,폐업,무료,02-2253-8254
사회적협동조합 되돌림,2022-11-29,법인,204089.817117361,453314.135663101,2026-04-22 22:31:53,I,40,폐업,2022-12-01 16:19:08,2015-06-03,,서울특별시 동대문구 청량리동 235번지 4호 미주상가,2015305013714500009,3050000,"서울특별시 동대문구 왕산로 225, 미주상가 5층 11호 (청량리동)",02490,03,폐업,무료,02-393-8129
