건축물동수,건축물연면적,사업장명,탈의실면적,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지도자수,휴게실면적,지번주소,회원모집총인원,관리번호,사무실면적,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,석계헬스크럽,,2003-10-14,,205680.753859868,456996.048176249,체력단련장업,2026-04-22 22:31:04,I,03,폐업,0,2005-09-22 15:36:20,,1989-11-27,,139-841,,,서울특별시 노원구 월계동 46-1,,CDFH3301061989000001,,3100000,사립,서울특별시 노원구 화랑로 337  (월계동),,03,폐업,,,
0,0,성북헬스크럽,,1999-09-10,,,,체력단련장업,2026-04-22 22:31:04,I,03,폐업,,2003-02-21 10:29:10,,1989-12-07,,139-050,0,,서울특별시 노원구 월계동 0-0 상업업무용지 411동 53호,,CDFH3301061989000002,,3100000,사립,,,03,폐업,,,
0,0,충용헬스크럽,,2002-04-26,,206434.632753039,458005.384622564,체력단련장업,2026-04-22 22:31:04,I,03,폐업,,2003-02-21 10:29:10,,1989-12-21,,139-806,0,,서울특별시 노원구 공릉동 499-50,,CDFH3301061989000003,,3100000,사립,서울특별시 노원구 동일로 1056  (공릉동),,03,폐업,,,
0,0,상계헬스크럽,,2001-03-24,,206692.95279036,462402.75487331,체력단련장업,2026-04-22 22:31:04,I,03,폐업,,2003-02-21 10:29:10,,1989-12-31,,139-810,0,,서울특별시 노원구 상계동 95-316,,CDFH3301061989000004,,3100000,사립,서울특별시 노원구 덕릉로 746  (상계동),,03,폐업,,,
0,0,청자헬스크럽,,2001-07-16,,206222.212321928,461745.789972494,체력단련장업,2026-04-22 22:31:05,I,03,폐업,,2003-02-21 10:29:10,,1993-12-13,,139-816,0,,서울특별시 노원구 상계동 387-225 6층,,CDFH3301061993000002,,3100000,사립,"서울특별시 노원구 노원로26길 181  (상계동,6층)",,03,폐업,,,
,,보람헬스체육관,,2004-12-10,,205184.615288515,457670.095648213,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2005-09-22 14:38:08,,1994-05-14,,139-846,,,서울특별시 노원구 월계동 406-0 준빌딩4층,,CDFH3301061994000001,,3100000,사립,"서울특별시 노원구 광운로 44  (월계동,준빌딩4층)",,03,폐업,,,
,,파워짐,,2006-10-25,,206395.394853046,457941.874981645,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2006-10-26 12:40:25,,1994-11-23,,139-806,,,서울특별시 노원구 공릉동 494-17 영운빌딩 3층,,CDFH3301061994000002,,3100000,사립,"서울특별시 노원구 동일로 1051  (공릉동,영운빌딩 3층)",,03,폐업,,,02-972-6240
,,중계남여헬스타운,,2003-08-25,,206661.96024524,460616.888498529,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2005-09-22 15:36:39,,1994-12-29,,139-860,,,서울특별시 노원구 중계동 360-14 8층(이진프라자),,CDFH3301061994000003,,3100000,사립,"서울특별시 노원구 한글비석로 227  (중계동,8층(이진프라자))",,03,폐업,,,
,,헬스탑,,2007-08-01,,205141.972066263,461212.530767977,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2007-08-01 15:17:14,,1996-06-07,,139-830,,,서울특별시 노원구 상계동 735-6 한영빌딩5층,,CDFH3301061996000001,,3100000,사립,"서울특별시 노원구 동일로217가길 23  (상계동,한영빌딩5층)",,03,폐업,,,02-930-5614
,,수락헬스타운,,2004-12-04,,204783.774148,463696.095474742,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2005-09-22 14:07:04,,1996-12-11,,139-837,,,서울특별시 노원구 상계동 1118-53 윤일빌딩,,CDFH3301061996000002,,3100000,사립,"서울특별시 노원구 동일로 1649  (상계동,윤일빌딩)",,03,폐업,,,
,,중앙헬스,,2016-07-22,,206161.184646384,461838.485027889,체력단련장업,2026-04-22 22:31:05,I,03,폐업,,2016-07-22 18:34:51,,1997-08-23,105.78,139-818,,,서울특별시 노원구 상계동 389-683 5층,,CDFH3301061997000001,,3100000,사립,"서울특별시 노원구 상계로27길 7  (상계동,5층)",,03,폐업,,,02-3391-1370
0,0,공릉헬스,,1999-05-26,,206578.976039388,457736.364674901,체력단련장업,2026-04-22 22:31:05,I,03,폐업,,2003-02-21 10:29:10,,1997-09-30,,139-807,0,,서울특별시 노원구 공릉동 581-1 2층,,CDFH3301061997000002,,3100000,사립,"서울특별시 노원구 동일로180길 14  (공릉동,2층)",,03,폐업,,,
,,삼창타워스포츠,,2016-01-29,,206341.9040064,461845.120373232,체력단련장업,2026-04-22 22:31:05,I,03,폐업,,2016-01-29 10:48:57,,1997-09-30,238.6,139-867,,,서울특별시 노원구 중계동 584-1 지층,,CDFH3301061997000003,,3100000,사립,"서울특별시 노원구 한글비석로 383 (중계동,지층)",,03,폐업,,,02-952-6333
,,인덕헬스클럽,,2007-06-27,,,,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2007-06-27 17:01:28,,1998-07-04,,139-848,,,서울특별시 노원구 월계동 285-13 현주프라자상가 2층동 205호,,CDFH3301061998000001,,3100000,사립,"서울특별시 노원구 월계로 343, 2층동 205호 (월계동,현주프라자상가)",,03,폐업,,,02-995-2259
,,헬스프랜드,,2004-12-10,,207000.210920279,458315.642612046,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2005-09-22 14:35:05,,1999-08-06,,139-804,,,서울특별시 노원구 공릉동 421-47 영탁빌딩2층,,CDFH3301061999000001,,3100000,사립,"서울특별시 노원구 공릉로46가길 17-19  (공릉동,영탁빌딩2층)",,03,폐업,,,
,,B.B여성전용헬스크럽,,2004-12-10,,205462.410427775,461341.913474047,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2005-09-22 14:37:19,,1999-10-28,,139-832,,,서울특별시 노원구 상계동 724-2 프린스빌딩 10층동,,CDFH3301061999000002,,3100000,사립,"서울특별시 노원구 노해로 492, 10층동 (상계동,프린스빌딩)",,03,폐업,,,
,,나이스헬스타운,,2006-06-09,,206487.136124328,460693.059404881,체력단련장업,2026-04-22 22:31:05,I,03,폐업,0,2006-06-08 17:56:54,,2000-01-14,,139-860,,,"서울특별시 노원구 중계동 360-15 건영(아)단지상가307~312,315",,CDFH3301062000000001,,3100000,사립,,,03,폐업,,,02-930-1215
