건물층수,사업장명,모유수유실면적,목욕실면적,폐업일자,취사부수,좌표X,좌표Y,조리원화장실면적,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,ETC_NOPE,미화원수,지상층수,영유아정원수,영유아실면적,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,간호조무사수,간호사수,영양사수,사무실면적,개방자치단체코드,임산부정원수,임산부실면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,급식시설면적,휴업시작일자,휴업종료일자,소재지전화번호,지하층수,세탁실면적
0,행복한 산후조리원,,1,2016-10-31,2,,,25,2026-04-22 22:00:45,I,03,폐업,,1,,13,27,2016-10-25 19:19:22,,2005-09-29,,서울특별시 강남구 역삼동 786번지 12호,PHMB120053220033042100001,6,4,,5,3220000,13,124,"서울특별시 강남구 도곡로 786-19 (역삼동, 정민빌딩)",06230,03,폐업,167,,,,,6
6,트리니티산후조리원(청담점),15,35,2021-05-18,1,205004.086672612,446564.659683453,6,2026-04-22 22:00:45,I,03,폐업,4,1,4,15,3,2021-05-18 16:36:07,,2006-11-27,,서울특별시 강남구 청담동 132번지 16호 청구 빌딩 2층,PHMB120063220033042100001,11,4,,12,3220000,15,281,"서울특별시 강남구 학동로101길 15, 청구 빌딩 2층 (청담동)",06075,03,폐업,23,2017-07-13,2017-08-01,,2,8
0,아이통곡산후조리원,,,2014-03-06,2,203479.293031865,445256.313474871,,2026-04-22 22:00:45,I,03,폐업,,1,,12,28,2014-03-05 16:19:26,,2006-12-07,135-833,서울특별시 강남구 논현2동 277번지 27호,PHMB120063220033042100002,5,3,,,3220000,12,108,서울특별시 강남구 봉은사로 303 (논현동),,03,폐업,,,,,,
8,호산여성병원산후조리원,,,2013-11-28,,202879.096032846,447368.00014,,2026-04-22 22:00:46,I,03,폐업,,,8,7,,2013-11-28 16:51:11,,2007-11-12,135-894,서울특별시 강남구 신사동 617번지 5호,PHMB120073220033042100002,5,3,,,3220000,7,148,서울특별시 강남구 언주로 871 (신사동),,03,폐업,,,,,,
3,르베르쏘 산후조리원,,,2013-07-31,2,205766.531433892,444407.220534592,42,2026-04-22 22:00:46,I,03,폐업,,2,,16,35,2014-05-19 16:37:48,,2008-02-28,135-842,서울특별시 강남구 대치2동 984번지 로얄빌딩 3층,PHMB120083220033042100001,3,4,,,3220000,16,258,"서울특별시 강남구 도곡로99길 16 (대치동,로얄빌딩 3층)",,03,폐업,33,,,,,14
,드 라마 산후조리원,12,5,2011-07-15,1,204004.328388149,443597.980050957,68,2026-04-22 22:00:46,I,03,폐업,,2,,15,16,2017-03-06 11:14:00,,2008-06-04,135-515,서울특별시 강남구 역삼2동 785번지 12호,PHMB120083220033042100002,0,9,2,10,3220000,15,302,서울특별시 강남구 언주로 303 (역삼동),,03,폐업,45,,,02-2057-6432,,12
6,앙즐레 산후조리원,9,32,2021-04-30,1,202803.137561335,443189.823482655,35,2026-04-22 22:00:46,I,03,폐업,,2,6,15,30,2021-04-30 11:22:06,,2008-02-27,,서울특별시 강남구 역삼동 837번지 26호 삼일프라자오피스텔 3층 302호,PHMB120083220033042100003,3,4,1,,3220000,15,328,"서울특별시 강남구 도곡로1길 14, 삼일프라자오피스텔 3층 302호 (역삼동)",06253,03,폐업,14,2019-11-01,2019-11-28,02-554-6600,6,8
6,라마드레 산후조리원,15,23,2017-04-04,4,204049.984382448,444973.446470304,29,2026-04-22 22:00:46,I,03,폐업,2,2,6,18,49,2017-04-04 16:55:18,,2011-11-04,135-917,서울특별시 강남구 역삼1동 694번지 12호,PHMB120113220033042100001,6,3,,34,3220000,18,321,서울특별시 강남구 선릉로 535 (역삼동),06149,03,폐업,23,,,02-555-7166,,7
0,산후조리원 궁 (강남점),,,2016-06-09,1,,,97,2026-04-22 22:00:47,I,03,폐업,,1,,18,43,2016-06-09 15:44:02,,2012-04-26,,,PHMB120123220033042100003,5,3,,6,3220000,18,334,서울특별시 강남구 언주로107길 658-7 (역삼동),06136,03,폐업,66,,,,,
7,라펠리체 산후조리원,10,,2014-05-07,,202983.070885408,443022.20537814,,2026-04-22 22:00:47,I,03,폐업,,,7,15,63,2014-05-07 16:57:55,,2012-05-25,135-859,서울특별시 강남구 도곡1동 941번지 8호,PHMB120123220033042100004,6,7,,,3220000,15,361,서울특별시 강남구 도곡로6길 13 (도곡동),,03,폐업,28,,,02-575-7870,,5
3,청담베네크레산후조리원,19,44,2018-02-28,1,204855.579518894,446576.858605648,89,2026-04-22 22:00:47,I,03,폐업,2,2,3,29,74,2018-02-28 17:08:51,,2012-10-27,,서울특별시 강남구 청담동 71번지 3호 11~13층,PHMB120123220033042100005,2,5,1,23,3220000,29,669,"서울특별시 강남구 영동대로 71-3 (청담동, 튼튼병원빌딩)",06072,03,폐업,58,,,02-1899-2227,,18
3,알루베베산후조리원,,,2019-01-10,1,205766.531433892,444407.220534592,3,2026-04-22 22:00:47,I,03,폐업,1,1,3,17,35,2019-01-10 18:23:18,,2013-08-16,135-842,서울특별시 강남구 대치2동 984번지 로얄빌딩 3층,PHMB120133220033042100001,6,4,,,3220000,17,258,서울특별시 강남구 도곡로99길 16 (대치동),06189,03,폐업,33,2017-03-28,2017-09-30,,,14
