사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
플라워모텔,,186317.795293249,449353.814998678,2026-04-22 22:32:07,I,18,사용중,서울특별시 강서구 화곡동 24-96 모텔플라워,플라워모텔,공공용시설,2026-04-08 17:49:08,,2026-04-08,85,서울특별시 강서구 화곡동 24-96 모텔플라워,3150000-E202600001,3150000,,"서울특별시 강서구 화곡로42길 10, 모텔플라워 (화곡동)",07679,01,영업/정상
신안가축,,180863.322618704,449597.078419987,2026-04-22 22:32:05,I,18,사용중,서울특별시 강서구 오곡동 200-19,신안가축,공공용시설,2026-04-09 11:12:33,,2026-04-08,82,서울특별시 강서구 오곡동 200-19,3150000-E202600002,3150000,,,,01,영업/정상
티파니호텔,,183118.598958412,450884.384415444,2026-04-22 22:32:08,I,18,사용중,서울특별시 강서구 공항동 52-5,티파니호텔,공공용시설,2026-04-09 15:46:09,,2026-04-08,62,서울특별시 강서구 공항동 52-5,3150000-E202600003,3150000,,서울특별시 강서구 송정로 61-3 (공항동),07622,01,영업/정상
공항사우나,,183484.821951778,450713.963336968,2026-04-22 22:32:05,I,18,사용중,서울특별시 강서구 공항동 651-9,공항사우나,공공용시설,2026-04-09 16:04:24,,2026-04-08,70,서울특별시 강서구 공항동 651-9,3150000-E202600004,3150000,,서울특별시 강서구 송정로4길 51 (공항동),07624,01,영업/정상
여주종합운동장 비상급수시설,,255279.776768242,421455.300322323,2026-04-22 22:00:45,I,18,사용중,경기도 여주시 월송동 1번지,여주종합운동장 비상급수시설,정부지원시설,2025-01-21 14:58:33,,1996-11-28,250,경기도 여주시 월송동 1번지,5700000-E199600001,5700000,,경기도 여주시 영릉로 123 (월송동),12625,01,영업/정상
(주)금강 여주,,252634.22400982,415975.772113025,2026-04-22 22:00:46,I,18,사용중,경기도 여주시 가남읍 1번지 2호,(주)금강 여주,공공용시설,2025-01-21 15:02:58,,1986-01-06,1500,경기도 여주시 가남읍 1번지 2호,5700000-E199800002,5700000,,경기도 여주시 가남읍 여주남로 541 ((주)케이씨씨여주공장),12646,01,영업/정상
솔모로CC,,251743.990723393,410088.349032993,2026-04-22 22:00:46,I,18,사용중,경기도 여주시 가남읍 양귀리 산 69,솔모로CC,공공용시설,2025-01-21 15:04:33,,1998-01-05,200,경기도 여주시 가남읍 양귀리 산 69,5700000-E199800003,5700000,,경기도 여주시 가남읍 솔모로그린길 171,12656,01,영업/정상
자유CC,,250114.357887832,412420.976608934,2026-04-22 22:00:44,I,18,사용중,경기도 여주시 가남읍 468번지 4호,자유CC,공공용시설,2025-01-21 15:04:57,,1998-01-05,500,경기도 여주시 가남읍 468번지 4호,5700000-E199800004,5700000,,경기도 여주시 가남읍 자유그린길 69,12661,01,영업/정상
대신면사무소 비상급수시설,,251876.953910445,430488.793934135,2026-04-22 22:00:46,I,18,사용중,경기도 여주시 대신면 390번지,대신면사무소 비상급수시설,정부지원시설,2025-01-21 15:05:42,,2000-12-11,200,경기도 여주시 대신면 390번지,5700000-E200000001,5700000,,경기도 여주시 대신면 여양로 1456-10 (대신면사무소),12610,01,영업/정상
가남체육공원 비상급수시설,,247381.043869617,411252.909819051,2026-04-22 22:00:45,I,18,사용중,경기도 여주시 가남읍 65번지 5호,가남체육공원 비상급수시설,정부지원시설,2025-01-21 15:06:06,,2002-12-13,140,경기도 여주시 가남읍 65번지 5호,5700000-E200200002,5700000,,경기도 여주시 가남읍 대명산길 98,12662,01,영업/정상
