건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,최초등록시점,지상층수,청소년실수,노래방실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,통로너비,공연장형태구분명,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,대지극장(1관),2003-10-31,202642.446045912,456636.308192293,영화상영관,영화상영관,2026-04-22 22:10:54,I,03,폐업,,,2002-07-18,,,,2003-11-03 09:00:30,,2002-07-18,142-804,서울특별시 강북구 미아동 35-0004,CDFF4220002002000001,3080000,,영화관,,,,03,폐업,,,,,,
,씨네드림,2010-07-01,,,영화상영관,영화상영관,2026-04-22 22:10:54,I,03,폐업,,,2002-07-16,,,,2011-03-07 14:01:18,,2002-07-16,142-829,서울특별시 강북구 번동 산 25-0006,CDFF4220002002000002,3080000,,자동차극장,,,,03,폐업,,,,,,
,대지극장(2관),2003-10-31,202642.446045912,456636.308192293,영화상영관,영화상영관,2026-04-22 22:10:55,I,03,폐업,,,2002-07-18,,,,2003-11-03 09:01:02,,2002-07-18,142-804,서울특별시 강북구 미아동 35-0004,CDFF4220002002000003,3080000,,영화관,,,,03,폐업,,,,,,
,서울교육문화회관대극장,1991-05-01,202833.261653939,440511.561175378,영화상영관,영화상영관,2026-04-22 22:10:52,I,03,폐업,,,1991-05-01,,,,2010-01-04 18:02:50,,1991-05-01,137-893,서울특별시 서초구 양재동 202,CDFF4220001991000001,3210000,,영화관,,서울특별시 서초구 바우뫼로12길 70  (양재동),,03,폐업,,,,,,
,씨네맥스1관,2007-04-04,198416.687503983,442938.69995442,영화상영관,영화상영관,2026-04-22 22:10:52,I,03,폐업,,,1996-04-01,,,,2010-01-04 17:41:01,,1996-04-01,137-852,서울특별시 서초구 방배동 1823,CDFF4220001996000001,3210000,,영화관,,서울특별시 서초구 동작대로 134  (방배동),,03,폐업,,,,,,
,메가박스센트럴 5관,2015-09-08,200250.447804795,444683.220506107,영화상영관,영화상영관,2026-04-22 22:10:53,I,03,폐업,,,2000-07-28,,,,2015-09-08 16:30:24,,2000-07-28,,서울특별시 서초구 반포동 19-3 센트럴시티 지하1층,CDFF4220002000000005,3210000,,영화관,,"서울특별시 서초구 신반포로 176 (반포동,센트럴시티 지하1층)",,03,폐업,,,,070-7017-9581,,
,칼마21(자동차극장),2013-07-26,202833.261653939,440511.561175378,영화상영관,영화상영관,2026-04-22 22:10:54,I,03,폐업,,,2000-05-10,,,,2013-07-26 15:05:14,,2000-05-10,137-893,서울특별시 서초구 양재동 202,CDFF4220002000000007,3210000,,자동차극장,,서울특별시 서초구 바우뫼로12길 70 (양재동),,03,폐업,,,,34620530,,
,씨네맥스2관,2007-04-04,198416.687503983,442938.69995442,영화상영관,영화상영관,2026-04-22 22:10:54,I,03,폐업,,,2001-03-30,,,,2010-01-04 17:40:12,,2001-03-30,137-852,서울특별시 서초구 방배동 1823,CDFF4220002001000001,3210000,,영화관,,서울특별시 서초구 동작대로 134  (방배동),,03,폐업,,,,,,
,씨네맥스3관,2007-04-04,198416.687503983,442938.69995442,영화상영관,영화상영관,2026-04-22 22:10:54,I,03,폐업,,,2001-03-30,,,,2010-01-04 17:41:28,,2001-03-30,137-852,서울특별시 서초구 방배동 1823,CDFF4220002001000002,3210000,,영화관,,서울특별시 서초구 동작대로 134  (방배동),,03,폐업,,,,,,
문화시설,메가박스센트럴 7관,2014-12-11,,,영화상영관,영화상영관,2026-04-22 22:10:56,I,03,폐업,,,2006-01-27,,,,2014-12-11 10:27:01,,2006-01-27,,서울특별시 서초구 반포동 센트럴시티 지하1층,CDFF4220002006000001,3210000,,영화관,,,,03,폐업,,,,070-7017-9581,33,1
문화시설,메가박스센트럴 8관,2014-12-11,200250.447804795,444683.220506107,영화상영관,영화상영관,2026-04-22 22:10:56,I,03,폐업,,,2006-01-27,,,,2014-12-11 10:26:12,,2006-01-27,,서울특별시 서초구 반포동 19-3 센트럴시티 지하1층,CDFF4220002006000002,3210000,,영화관,,"서울특별시 서초구 신반포로 176 (반포동,센트럴시티 지하1층)",,03,폐업,,,,070-7017-9581,33,1
,엡스씨네마 1관,2003-02-28,,,영화상영관,영화상영관,2026-04-22 23:08:34,I,03,폐업,,,2000-11-13,,,,2004-07-08 11:11:46,,2000-11-13,403-010,인천광역시 부평구 부평동 205-2,CDFF4220002000000001,3540000,,영화관,,,,03,폐업,,,,,,
,엡스씨네마 2관,2003-02-28,,,영화상영관,영화상영관,2026-04-22 23:08:35,I,03,폐업,,,2000-12-05,,,,2004-07-08 11:12:31,,2000-12-05,403-010,인천광역시 부평구 부평동 205-2,CDFF4220002000000002,3540000,,영화관,,,,03,폐업,,,,,,
,키넥스5 1관,2007-12-14,,,영화상영관,영화상영관,2026-04-22 23:08:36,I,03,폐업,,,2000-09-26,,,,2007-12-14 16:08:11,,2000-09-26,403-010,인천광역시 부평구 부평동 738-21,CDFF4220002000000003,3540000,,영화관,,,,03,폐업,,,,,,
,키넥스5 2관,2007-12-14,,,영화상영관,영화상영관,2026-04-22 23:08:36,I,03,폐업,,,2000-09-26,,,,2007-12-14 16:09:18,,2000-09-26,403-010,인천광역시 부평구 부평동 738-21,CDFF4220002000000004,3540000,,영화관,,,,03,폐업,,,,,,
,키넥스5 3관,2007-12-14,,,영화상영관,영화상영관,2026-04-22 23:08:37,I,03,폐업,,,2000-09-26,,,,2007-12-14 16:11:18,,2000-09-26,403-010,인천광역시 부평구 부평동 738-21,CDFF4220002000000005,3540000,,영화관,,,,03,폐업,,,,,,
,키넥스5 4관,2007-12-14,,,영화상영관,영화상영관,2026-04-22 23:08:38,I,03,폐업,,,2000-09-26,,,,2007-12-14 16:12:49,,2000-09-26,403-010,인천광역시 부평구 부평동 738-21,CDFF4220002000000006,3540000,,영화관,,,,03,폐업,,,,,,
,키넥스5 5관,2007-12-14,,,영화상영관,영화상영관,2026-04-22 23:08:38,I,03,폐업,,,2000-09-26,,,,2007-12-14 16:13:20,,2000-09-26,403-010,인천광역시 부평구 부평동 738-21,CDFF4220002000000007,3540000,,영화관,,,,03,폐업,,,,,,
