건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,오디오가이,2019-10-15,197604.691668438,452864.475935742,유통관련업,대중문화예술기획업,2026-04-22 22:37:48,I,03,폐업,매니지먼트,45.89,,,2019-10-15 13:58:16,,2015-06-08,,서울특별시 종로구 통의동 **-** 국제항운(주),CDFF3241092015000005,3000000,,"서울특별시 종로구 효자로 **, 국제항운(주) B*호 (통의동)",03044,03,폐업,,,,,,
,제이파이브,2016-05-11,198838.912965902,452214.210961577,유통관련업,대중문화예술기획업,2026-04-22 22:38:02,I,03,폐업,"엔터테인먼트, 연예기획",,,,2016-05-12 17:29:08,,2015-09-04,,,CDFF3241092015000019,3000000,,"서울특별시 종로구 삼일대로 ***, ***,***호 (낙원동, 낙원상가)",03140,03,폐업,,,,02-762-7512,,
,(주)한국예술연구소,2017-06-07,199155.544853099,452083.125538906,유통관련업,대중문화예술기획업,2026-04-22 22:38:05,I,03,폐업,"엔터테인먼트업, 연예기획업",,,,2017-06-07 13:37:07,,2017-03-10,,서울특별시 종로구 돈의동 ***,CDFF3241092017000002,3000000,,"서울특별시 종로구 돈화문로*가길 *, *층 (돈의동, 피카디리플러스)",03139,03,폐업,,,,02-741-0538,,
,과수원뮤지컬컴퍼니,2025-04-15,200180.614971988,453354.910382443,유통관련업,대중문화예술기획업,2026-04-22 22:38:18,I,03,폐업,매니저업,,,,2025-04-15 17:13:35,,2015-08-11,,서울특별시 종로구 동숭동 *-** 해안빌딩,CDFF3241092020000004,3000000,,"서울특별시 종로구 대학로**길 **-**, 해안빌딩 ***호 (동숭동)",03086,03,폐업,,,,,,
,주식회사 부귀영화,2025-06-16,201359.53353905,452395.659064842,유통관련업,대중문화예술기획업,2026-04-22 22:38:24,I,03,폐업,엔터테인먼트,,,,2025-06-17 09:11:23,,2021-12-17,,서울특별시 종로구 숭인동 ** 롯데캐슬 천지인,CDFF3241092022000004,3000000,,"서울특별시 종로구 종로 ***, 천동 ****호 (숭인동, 롯데캐슬 천지인)",03113,03,폐업,,,,,,
,주식회사 긴자제이케이,2024-11-15,199130.598024414,452555.389513375,유통관련업,대중문화예술기획업,2026-04-22 22:38:24,I,03,폐업,연애매니지먼트업,64.45,,,2024-11-15 17:15:24,,2022-01-24,,서울특별시 종로구 와룡동 ** 한스빌딩,CDFF3241092022000005,3000000,,"서울특별시 종로구 돈화문로 **, 한스빌딩 *층 (와룡동)",03134,03,폐업,,,,02-3675-7080,,
,주식회사 인플라이,2023-02-07,200201.620353456,453446.954928403,유통관련업,대중문화예술기획업,2026-04-22 22:38:26,I,03,폐업,매니저업,,,,2023-02-09 10:13:20,,2021-07-08,,서울특별시 종로구 동숭동 *-** 우성빌딩,CDFF3241092022000012,3000000,,"서울특별시 종로구 동숭길 ***, 우성빌딩 *층 ***호 (동숭동)",03086,03,폐업,,,,,,
,(주)미디어가이드,2025-01-06,197567.747824202,452347.973860449,유통관련업,대중문화예술기획업,2026-04-22 22:38:31,I,03,폐업,방송 및 광고모델 에이전시,,,,2025-01-06 13:40:30,,2019-07-23,,서울특별시 종로구 내수동 ** 용비어천가,CDFF3241092024000017,3000000,,"서울특별시 종로구 새문안로*길 **, ***호 (내수동, 용비어천가)",03173,03,폐업,,,,,,
,주식회사 부귀영화,2025-06-16,201359.53353905,452395.659064842,유통관련업,대중문화예술기획업,2026-04-22 22:38:32,I,03,폐업,엔터테인먼트,,,,2025-06-17 09:47:32,,2021-12-17,,서울특별시 종로구 숭인동 ** 롯데캐슬 천지인,CDFF3241092025000004,3000000,,"서울특별시 종로구 종로 ***, 천동 ****호 (숭인동, 롯데캐슬 천지인)",03113,03,폐업,,,,,,
,담엔터테인먼트,2020-03-26,206844.935043066,423751.127559237,,,2026-04-22 22:37:48,I,03,폐업,,,,,2021-11-16 14:53:19,,2015-08-05,,경기도 용인시 수지구 성복동 ***-*,CDFF3241092015000006,3060000,,"경기도 용인시 수지구 성복*로**번길 **-**, ***호 (성복동)",16848,03,폐업,,,,,,
,프리시드엔터테인먼트,2018-09-20,207036.564595185,456548.746473116,,,2026-04-22 22:37:51,I,03,폐업,,,,,2021-08-24 08:47:43,,2016-05-17,,서울특별시 중랑구 묵동 ***-***,CDFF3241092016000002,3060000,,"서울특별시 중랑구 동일로***길 **, *층 (묵동, 여명어린이집)",02037,03,폐업,,,,02-977-9700,,
,고릴라제이 엔터테인먼트,2016-12-30,208072.57784615,454037.335434828,,,2026-04-22 22:37:52,I,03,폐업,,,,,2019-07-21 15:23:00,,2016-09-23,,서울특별시 중랑구 면목동 **-***,CDFF3241092016000003,3060000,,서울특별시 중랑구 겸재로**길 ** (면목동),02202,03,폐업,,,,,,
,가이아,2021-12-02,206870.065710623,453704.936747576,,,2026-04-22 22:38:04,I,03,폐업,,,,,2021-12-03 10:10:48,,2021-02-15,,서울특별시 중랑구 면목동 ***-*** ***호,CDFF3241092021000001,3060000,,"서울특별시 중랑구 겸재로**길 **-*, ***호 (면목동)",02231,03,폐업,,,,,,
,케이엠사운드,2025-11-28,207026.563405945,455807.538588639,,,2026-04-22 22:38:04,I,03,폐업,,,,,2025-12-09 21:43:16,,2021-07-13,,서울특별시 중랑구 중화동 ***-**,CDFF3241092021000004,3060000,,"서울특별시 중랑구 동일로***길 **-*, *층 (중화동)",02047,03,폐업,,,,,,
,레고리스엔터테인먼트,2020-06-05,206328.066671402,454557.460766165,,,2026-04-22 22:37:46,I,03,폐업,,,,,2021-02-02 13:42:34,,2015-08-03,,서울특별시 중랑구 중화동 ***-*,CDFF3241092015000004,3060000,,"서울특별시 중랑구 망우로 ***, *층 *호 (중화동, 삼성빌딩)",02115,03,폐업,,,,070-4028-0937,,
,탑클라우드,,206490.861618757,454416.301689459,,,2026-04-22 22:37:49,I,03,폐업,,,,,2020-10-14 14:41:21,,2015-09-10,,서울특별시 중랑구 상봉동 *** 금강산아파트 ***호,CDFF3241092015000007,3060000,,"서울특별시 중랑구 중랑천로**길 **, ***호 (상봉동, 금강산아파트)",02119,03,폐업,,,,,,
,주식회사 제이씨이엔티,,207177.56790833,453490.550861824,,,2026-04-22 22:37:56,I,03,폐업,,,,,2020-01-10 10:30:31,,2018-12-06,,서울특별시 중랑구 면목동 ***-**,CDFF3241092018000003,3060000,,서울특별시 중랑구 사가정로**길 ** (면목동),02223,03,폐업,,,,,,
,플레이노드,,200315.525649322,453201.94681626,유통관련업,대중문화예술기획업,2026-04-22 22:38:33,I,13,영업중,엔터테인먼트,49.58,,,2026-03-19 14:30:43,,2020-12-11,,서울특별시 종로구 동숭동 ***-**,CDFF3241092026000003,3000000,,"서울특별시 종로구 동숭길 **, *층 (동숭동)",03085,01,영업/정상,,,,,,
,하루에 모델(Harue Model),2026-01-03,207198.899373541,455158.034174483,유통관련업,대중문화예술기획업,2026-04-22 22:38:11,I,15,전출,매니저업,,,,2026-01-03 13:38:51,,2025-12-09,,서울특별시 중랑구 중화동 ***-** 세종디오빌,CDFF3241092025000003,3060000,,"서울특별시 중랑구 동일로***길 **, ***호 (중화동, 세종디오빌)",02094,05,제외/삭제/전출,,,,,,
,주식회사 레드앤블루,,200220.113435114,453354.41563801,유통관련업,대중문화예술기획업,2026-04-22 22:37:46,I,13,영업중,매니지먼트,128.32,,,2025-07-03 18:54:14,,2015-06-01,,서울특별시 종로구 동숭동 *-**,CDFF3241092015000003,3000000,,"서울특별시 종로구 대학로*가길 **, *층 (동숭동)",03086,01,영업/정상,,,,,,
,(주)위드에이치씨 (withHC),,199779.552100504,454185.615565081,유통관련업,대중문화예술기획업,2026-04-22 22:37:47,I,13,영업중,연예매니지먼트,127.26,,,2015-06-05 14:50:38,,2015-06-05,,서울특별시 종로구 명륜*가 * *층,CDFF3241092015000004,3000000,,"서울특별시 종로구 성균관로 **, *층 (명륜*가)",03066,01,영업/정상,,,,02-3676-2352,,
,프렌즈닷넷,,197617.321767591,456364.152893731,유통관련업,대중문화예술기획업,2026-04-22 22:37:50,I,13,영업중,"매니지먼트, 엔터테인먼트",237,,,2023-03-10 16:57:58,,2015-06-29,,서울특별시 종로구 평창동 **-* 이목빌딩 지하*층,CDFF3241092015000007,3000000,,"서울특별시 종로구 평창문화로 ***, 지하*층 (평창동, 이목빌딩)",03004,01,영업/정상,,,,070-8807-2443,,
,프레토 주식회사,,198852.959716775,452253.942584507,유통관련업,대중문화예술기획업,2026-04-22 22:37:54,I,13,영업중,"엔터테인먼트,연예매니지먼트,연예인대리",,,,2017-11-20 09:35:38,,2015-07-24,,서울특별시 종로구 낙원동 ***-* 낙원빌딩 ***호,CDFF3241092015000011,3000000,,"서울특별시 종로구 삼일대로 ***, ***호 (낙원동, 낙원빌딩)",03140,01,영업/정상,,,,02-745-0517,,
