사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
광진레미콘(주),1218121499,2종,,,-5990.76460298725,496199.902980092,2026-04-22 23:09:15,I,11,영업,,,대기배출업소관리,2024-03-19 14:34:16,1994-04-19,,인천광역시 옹진군 백령면 가을리 80-1,358000021199400001,3580000,,,,인천광역시 옹진군 백령면 백령남로 1072,,,01,영업/정상,,,032-836-1118,
백령1급자동차공업사,1215593602,5종,,,-1324.06279777277,499337.13236988,2026-04-22 23:09:15,I,11,영업,,,대기배출업소관리,2012-06-15 17:31:56,1997-08-02,,인천광역시 옹진군 백령면 진촌리 1494-3,358000021199700001,3580000,,,,인천광역시 옹진군 백령면 백령로 382,,,01,영업/정상,,,032-836-3238,
한국남동발전(주) 영흥본부,1218516465,1종,,,150103.616522664,415479.749399485,2026-04-22 23:09:15,I,11,영업,365,24,대기배출업소관리,2019-11-27 14:49:40,1997-12-02,,인천광역시 옹진군 영흥면 외리 1344,358000021199700002,3580000,,365,,인천광역시 옹진군 영흥면 영흥남로293번길 75,,,01,영업/정상,,,070-8898-3242,
분도카센타,1210456395,5종,,,-560.681749717578,498918.991580601,2026-04-22 23:09:16,I,11,영업,,,대기배출업소관리,2020-05-12 17:11:12,1999-09-04,,인천광역시 옹진군 백령면 진촌리 1132-10,358000021199900001,3580000,,,,인천광역시 옹진군 백령면 백령로297번길 18,,,01,영업/정상,,,032-836-6666,
동서에너지(주),1318135495,1종,,,-845.705263626799,497716.166477813,2026-04-22 23:09:21,I,11,영업,300,8,대기배출업소관리,2024-11-20 14:04:37,2001-09-26,,인천광역시 옹진군 백령면 진촌리 1255-2,358000021200100001,3580000,,,,인천광역시 옹진군 백령면 백령남로 135,,,01,영업/정상,,,032-836-7745,
(주)디와이동양콘도,2238501064,4종,,,137034.476331262,407991.441365862,2026-04-22 23:09:16,I,11,영업,,,대기배출업소관리,2008-12-24 16:49:36,2003-06-05,,인천광역시 옹진군 자월면 승봉리 784,358000021200300001,3580000,,,,인천광역시 옹진군 자월면 승봉로29번길 17-41,,,01,영업/정상,,,032-832-1818,
덕적소각시설,1218300824,3종,,,121628.491263505,413129.799420947,2026-04-22 23:09:16,I,11,영업,,,대기배출업소관리,2012-06-15 17:44:08,2004-12-18,,인천광역시 옹진군 덕적면 서포리 산 31,358000021200400001,3580000,,,,,,,01,영업/정상,,,032-899-2622,
연평소각시설,1218300824,2종,,,84720.5301448545,461960.63515788,2026-04-22 23:09:17,I,11,영업,,,대기배출업소관리,2012-06-15 17:40:05,2004-12-23,,인천광역시 옹진군 연평면 연평리 505-1,358000021200400002,3580000,,,,인천광역시 옹진군 연평면 연평로 746-46,,,01,영업/정상,,,032-899-2622,
해병대9518부대,1218304553,5종,,,85108.7024860313,462693.60729479,2026-04-22 23:09:17,I,11,영업,,,대기배출업소관리,2012-06-15 17:46:54,2005-02-02,,인천광역시 옹진군 연평면 연평리 551-2,358000021200500001,3580000,,,,,,,01,영업/정상,,,032-830-3446,
대청소각시설,1218300824,4종,,,-1036.61463691501,484547.709041216,2026-04-22 23:09:17,I,11,영업,,,대기배출업소관리,2008-12-24 17:04:15,2005-05-12,,인천광역시 옹진군 대청면 대청리 산 16-1,358000021200500002,3580000,,,,인천광역시 옹진군 대청면 대청북로 96,,,01,영업/정상,,,,
소청소각시설,1218300824,4종,,,2975.13611503793,476712.848143945,2026-04-22 23:09:18,I,11,영업,,,대기배출업소관리,2012-06-15 17:47:28,2006-07-28,,인천광역시 옹진군 대청면 소청리 92,358000021200600001,3580000,,,,,,,01,영업/정상,,,032-899-2622,
소연평소각시설,1218300824,4종,,,87187.614711296,457498.293144515,2026-04-22 23:09:18,I,11,영업,,,대기배출업소관리,2012-06-15 17:55:02,2006-11-28,,인천광역시 옹진군 연평면 연평리 931-4,358000021200600002,3580000,,,,인천광역시 옹진군 연평면 소연평로 161-94,,,01,영업/정상,,,032-899-2622,
(주)미래해운,,4종,,,84691.4454136903,462364.079376939,2026-04-22 23:09:14,I,11,영업,,,대기배출업소관리,2015-07-06 14:04:59,2009-04-13,,인천광역시 옹진군 연평면 연평리 527-3,358000021200900001,3580000,,,,인천광역시 옹진군 연평면 연평로 715-1,,,01,영업/정상,,,032-883-7156,
옹진군청(백령 소각시설),1218300824,2종,지방행정 집행기관,,-2182.46176533148,497471.368945168,2026-04-22 23:09:19,I,5,제외사항,300,8,대기배출업소관리,2024-05-20 15:20:58,2009-01-20,,인천광역시 옹진군 백령면 진촌리 2376 2376-1번지,358000021200900002,3580000,,300,,,,,05,제외/삭제/전출,,,032-899-2622,지방행정 집행기관
옹진군청(대청 소각시설),1218300824,3종,,,-1763.70482841112,484317.219819888,2026-04-22 23:09:19,I,11,영업,300,8,대기배출업소관리,2012-06-15 17:57:52,2009-07-17,,인천광역시 옹진군 대청면 대청리 산 16-26,358000021200900003,3580000,,300,,,,,01,영업/정상,,,032-899-2622,
태극모터스,1212231200,5종,자동차 수리 및 세차업,,-5155.56524678374,497582.471508737,2026-04-22 23:09:21,I,11,영업,300,8,대기배출업소관리,2020-05-12 17:11:21,2014-09-12,,인천광역시 옹진군 백령면 북포리 531-24,358000021201400001,3580000,,300,,인천광역시 옹진군 백령면 백령로 855,,,01,영업/정상,,,032-836-5800,자동차 수리 및 세차업
인천광역시 수산자원연구소,1218304698,5종,기타 일반 공공 행정,,151702.60221461,413994.800803659,2026-04-22 23:09:20,I,11,영업,180,9,대기배출업소관리,2015-12-29 17:05:02,2015-12-21,,,358000021201500001,3580000,,,,인천광역시 옹진군 영흥면 영흥남로247번길 313 (수산자원연구소),23121,,01,영업/정상,,,,기타 일반 공공 행정
주식회사 우리옹진레미콘,1218611792,5종,레미콘 제조업,,752.545119257811,498564.397488656,2026-04-22 23:09:20,I,11,영업,300,8,대기배출업소관리,2025-12-26 13:58:29,2016-06-15,,인천광역시 옹진군 백령면 진촌리 100-2,358000021201600001,3580000,,300,,인천광역시 옹진군 백령면 백령로260번길 306,23101,,01,영업/정상,,,032-888-5526,레미콘 제조업
덕적레미콘,4571200441,4종,,,124562.993631899,414383.051001354,2026-04-22 23:09:20,I,11,영업,300,8,대기배출업소관리,2021-12-07 09:51:23,2017-02-07,,,358000021201700001,3580000,,300,,인천광역시 옹진군 덕적면 덕적북로 62-1,23130,,01,영업/정상,,,032-833-3977,
승봉소각시설,7768300018,4종,지방행정 집행기관,,137430.815306798,408119.163408458,2026-04-22 23:09:21,I,11,영업,202,8,대기배출업소관리,2020-02-06 13:42:26,2020-02-05,,인천광역시 옹진군 자월면 승봉리 771-3,358000021202000001,3580000,,104,,,,,01,영업/정상,,,,지방행정 집행기관
동물장묘업,,5종,애완동물 장묘 및 보호 서비스업,,151744.354617442,418809.509868052,2026-04-22 23:09:14,I,11,영업,,,대기배출업소관리,2022-12-08 20:26:06,2022-08-11,,인천광역시 옹진군 영흥면 내리 1336-13,358000021202200001,3580000,,,,,,,01,영업/정상,,,,애완동물 장묘 및 보호 서비스업
현대자동차(주)고양하이테크센터,8908500467,4종,자동차 종합 수리업,,177664.49323877,462676.50721218,2026-04-22 03:03:03,U,11,영업,300,,대기배출업소관리,2026-04-21 16:47:52,2017-01-11,,,394000021201700001,3940000,,300,,"경기도 고양시 일산서구 킨텍스로 217-6 (대화동, 현대모터스튜디오고양)",10390,,01,영업/정상,,,031-8036-2342,자동차 종합 수리업
(주)미가특수,8048700816,5종,,,228517.199385965,463061.135564725,2026-04-22 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-04-21 13:48:05,2013-12-12,,경기도 남양주시 수동면 송천리 593-5,399000021201300021,3990000,,300,,경기도 남양주시 수동면 소래비로 227-23,,,01,영업/정상,,,031-593-2065,
