건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,성동구 무지개 눈썰매장,2025-03-14,,,,썰매장업,2026-04-22 22:31:41,I,03,폐업,,2025-03-14 13:38:19,,2024-12-20,,,서울특별시 성동구 행당동 76-3 무지개텃밭,,CDFH3301092024000001,3030000,사립,,,03,폐업,,,
,2975,(주)언지퍼,2005-07-28,,,,썰매장업,2026-04-22 22:31:34,I,03,폐업,1,2005-07-28 16:56:22,,2004-12-31,143-190,,서울특별시 광진구 자양동 423,,CDFH3301092004000001,3040000,사립,,,03,폐업,,,02-453-2094
,,한강시민공원뚝섬사계절썰매장,2008-02-20,,205930.90842787,447507.969485782,썰매장업,2026-04-22 22:31:34,I,03,폐업,0,2008-02-20 15:14:17,,2007-01-16,143-845,,서울특별시 광진구 자양동 112,,CDFH3301092007000001,3040000,사립,,,03,폐업,,,
,,어린이대공원눈썰매장,2009-02-13,,207139.204095368,449705.67643744,썰매장업,2026-04-22 22:31:35,I,03,폐업,0,2007-06-04 17:49:51,,2007-01-22,143-847,,서울특별시 광진구 능동 18 어린이대공원내,,CDFH3301092007000002,3040000,사립,,,03,폐업,,,02-3437-7501
,,수피아(뚝섬),2012-06-22,,205930.90842787,447507.969485782,썰매장업,2026-04-22 22:31:35,I,03,폐업,Y,2012-06-22 17:29:24,,2009-12-24,143-845,,서울특별시 광진구 자양동 112,,CDFH3301092009000001,3040000,사립,,,03,폐업,,,02-761-8204
,,어린이대공원아이랜드(주),2019-04-04,,207139.204095368,449705.67643744,썰매장업,2026-04-22 22:31:36,I,03,폐업,,2019-04-04 17:07:37,,2015-12-18,,,서울특별시 광진구 능동 18,,CDFH3301092015000001,3040000,사립,"서울특별시 광진구 능동로 216 (능동, 어린이대공원)",04991,03,폐업,,,02-454-4442
,,한강뚝섬눈썰매장,2018-12-17,,205930.90842787,447507.969485782,썰매장업,2026-04-22 22:31:36,I,03,폐업,Y,2018-12-17 18:30:48,,2017-12-15,,,서울특별시 광진구 자양동 112,,CDFH3301092017000001,3040000,사립,,,03,폐업,,,02-444-5358
,,한양대석사태권도장,2020-04-23,,205430.982295222,455612.996762285,썰매장업,2026-04-22 22:31:02,I,03,폐업,,2020-04-23 16:40:50,,2008-08-20,,,서울특별시 동대문구 이문동 255-282 2층,,CDFH3301092008000001,3050000,사립,"서울특별시 동대문구 이문로 184, 2층 (이문동)",02412,03,폐업,,,
,,한강시민공원여의도수영장(썰매장),2007-02-22,,193249.499819026,447795.437111319,썰매장업,2026-04-22 22:31:45,I,03,폐업,0,2008-01-24 17:54:51,,2007-01-02,150-010,,서울특별시 영등포구 여의도동 83-6,,CDFH3301092007000001,3180000,사립,,,03,폐업,,,
,,한강시민공원 여의도수영장내 썰매장,2008-02-28,,193249.499819026,447795.437111319,썰매장업,2026-04-22 22:31:45,I,03,폐업,0,2008-02-28 17:05:31,,2008-01-14,150-010,,서울특별시 영등포구 여의도동 83-6,,CDFH3301092008000001,3180000,사립,,,03,폐업,,,
,,여의 아이스파크,2017-06-16,,193078.153751051,447096.138540329,썰매장업,2026-04-22 22:31:46,I,03,폐업,,2017-06-16 14:47:07,,2016-12-29,,,서울특별시 영등포구 여의도동 2,,CDFH3301092016000001,3180000,사립,"서울특별시 영등포구 여의공원로 68 (여의도동, 여의도공원, 문화의마당)",07243,03,폐업,,,070-4242-1222
,,천우엔터테인먼트,2007-03-30,,202833.261653939,440511.561175378,썰매장업,2026-04-22 22:31:41,I,03,폐업,0,2007-05-31 17:35:33,,2006-12-22,137-915,,서울특별시 서초구 양재동 202 서울교육문화회관내 실외수영장(파도풀),,CDFH3301092006000001,3210000,사립,"서울특별시 서초구 바우뫼로12길 70  (양재동,서울교육문화회관내 실외수영장(파도풀))",,03,폐업,,,21498585
,,서울교육문화회관 튜브 눈썰매장,2008-02-25,,202833.261653939,440511.561175378,썰매장업,2026-04-22 22:31:41,I,03,폐업,0,2008-02-25 16:41:58,,2007-12-12,137-915,,서울특별시 서초구 양재동 202 서울교육문화회관 옥외수영장내,,CDFH3301092007000001,3210000,사립,"서울특별시 서초구 바우뫼로12길 70  (양재동,서울교육문화회관 옥외수영장내)",,03,폐업,,,
