사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,조제용연마기수,상세영업상태코드,상세영업상태명,시력표수,총면적,안경세척기수,가열기수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,렌즈절단기수,지번주소,관리번호,측정의자수,개방자치단체코드,동공거리측정기수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,표본렌즈수,휴업시작일자,휴업종료일자,소재지전화번호,정점굴절계기수
우주안경원,2017-09-18,198960.877015188,452149.495587908,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2018-09-04 15:36:36,,1990-12-05,110-320,1,서울특별시 종로구 낙원동 211번지,PHMB219903000034082200003,1,3000000,1,"서울특별시 종로구 수표로 115-1, 1층 1호 (낙원동)",03140,03,폐업,1,,,02-742-0976,1
혜화안경,2012-08-31,200012.482953711,453563.050943222,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2012-11-12 18:06:02,,1990-12-05,110-522,1,서울특별시 종로구 명륜2가 19번지,PHMB219903000034082200004,1,3000000,1,서울특별시 종로구 창경궁로34길 14 (명륜2가),,03,폐업,1,,,02-762-4012,1
광명당안경,2009-07-17,199016.52925105,452402.598415427,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2009-07-17 16:27:41,,1991-03-18,110-340,1,서울특별시 종로구 익선동 142번지 1호 13통 1반,PHMB219913000034082200001,1,3000000,1,서울특별시 종로구 돈화문로11나길 31-13 (익선동),,03,폐업,1,,,,1
명성안경,2021-03-30,200853.975051125,452530.812892124,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2021-03-29 17:38:45,,1991-05-24,,1,서울특별시 종로구 창신동 644번지,PHMB219913000034082200007,1,3000000,1,서울특별시 종로구 창신길 75 (창신동),03097,03,폐업,1,,,02-743-6245,1
동문안경원,2017-07-12,,,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2017-07-12 17:56:22,,1991-06-29,,1,서울특별시 종로구 종로6가 382번지 1호,PHMB219913000034082200012,1,3000000,1,"서울특별시 종로구 율곡로 308, A29호 (종로6가, 동대문지하쇼핑센터)",03099,03,폐업,1,,,02-2272-0295,1
뉴이태리안경,2024-04-11,200132.655350103,451961.427938307,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2024-04-11 14:30:53,,1991-06-29,,1,서울특별시 종로구 종로5가 332번지 18호 한일지하상가,PHMB219913000034082200013,1,3000000,1,"서울특별시 종로구 동호로 398 (종로5가, 마전교지하쇼핑센터)",03196,03,폐업,1,,,02-2273-3316,1
한미안경,2021-10-31,198549.377397696,451960.972726138,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2021-11-01 14:57:30,,1991-07-29,110-122,1,서울특별시 종로구 종로2가 102번지 1호,PHMB219913000034082200018,1,3000000,1,서울특별시 종로구 종로 62-1 (종로2가),03189,03,폐업,1,,,02-734-0590,1
협성안경원,2024-10-05,199311.329815998,451984.647550745,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2024-10-21 16:46:56,,1993-07-12,,1,서울특별시 종로구 종로3가 146번지 1호,PHMB219933000034082200002,1,3000000,1,서울특별시 종로구 종로 138-1 (종로3가),03193,03,폐업,1,,,22751879,1
대학안경,2024-12-02,199554.074424085,453721.462706742,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2024-12-02 17:26:22,,1995-06-03,110-745,1,서울특별시 종로구 명륜3가 53번지 성균관대학교 경영관 지하3층,PHMB219953000034082200001,1,3000000,1,"서울특별시 종로구 성균관로 25-2 (명륜3가,성균관대학교 경영관 지하3층)",03063,03,폐업,1,,,02-744-9173,1
세종이태리안경,2019-10-04,197573.030749573,452175.335781858,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2020-06-30 15:06:10,,1996-11-12,,1,서울특별시 종로구 당주동 100번지 세종빌딩 지하1층,PHMB219963000034082200001,1,3000000,1,"서울특별시 종로구 세종대로23길 54 (당주동, 세종빌딩)",03173,03,폐업,1,,,02-737-2182,1
안경박사,2017-06-27,201653.470133556,452406.746388058,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2017-06-27 16:55:18,,1998-12-26,,1,서울특별시 종로구 숭인동 207번지 25호,PHMB219983000034082200002,1,3000000,1,서울특별시 종로구 종로 378-1 (숭인동),03115,03,폐업,1,,,02-2233-4243,1
안경이야기,2025-07-11,198742.659391924,452814.32796848,2026-04-22 22:31:32,I,1,03,폐업,1,,1,1,2025-07-11 13:46:06,,1999-04-10,110-801,1,서울특별시 종로구 계동 146번지 1호,PHMB219993000034082200002,1,3000000,1,서울특별시 종로구 계동길 5 (계동),03059,03,폐업,1,,,02-744-6006,1
아이매니저,2013-11-21,198592.597470985,452190.992738652,2026-04-22 22:31:33,I,1,03,폐업,1,,1,1,2013-11-21 13:06:51,,1999-09-13,110-778,1,서울특별시 종로구 인사동 194번지 27호 태화빌딩 지하1층,PHMB219993000034082200003,1,3000000,1,"서울특별시 종로구 인사동5길 29 (인사동,태화빌딩 지하1층)",,03,폐업,1,,,02-730-2332,1
새문안안경,2013-07-30,,,2026-04-22 22:31:33,I,1,03,폐업,1,,1,1,2013-07-30 16:17:02,,2001-04-17,110-714,1,서울특별시 종로구 종로1가 교보생명빌딩 10층,PHMB220013000034082200001,1,3000000,1,,,03,폐업,1,,,02-733-3506,1
