사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
GS25 장승배기역점,2015-03-31,,,제7조의3제3항에따른경우,2026-04-22 22:31:06,I,2010-02-10,2,폐업처리,2015-03-31 16:13:15,,2010-02-10,156-030,서울특별시 동작구 상도동 366번지,2010319009905600013,3190000,,,03,폐업,,,
중국식품점,2014-10-13,194399.402143847,445562.990997436,2009년11월법개정전자료,2026-04-22 22:30:59,I,2008-08-14,2,폐업처리,2014-10-13 10:01:40,,2008-08-14,156-052,서울특별시 동작구 노량진동 258번지 32호,2008319009905600062,3190000,서울특별시 동작구 노량진로10길 26 (노량진동),,03,폐업,,,
꽃과나무,2011-02-25,193498.730079784,443833.932921653,제7조의3제2항에따른경우,2026-04-22 22:31:06,I,2010-02-24,2,폐업처리,2011-02-28 10:35:08,,2010-02-24,156-010,서울특별시 동작구 신대방동 705번지 신대방아파트상가 101동 105호,2010319009905600016,3190000,"서울특별시 동작구 보라매로 83, 101동 105호 (신대방동,신대방아파트상가)",,03,폐업,,,02-822-4574
훼미리마트 목동진도점,2011-10-07,188250.730419201,446981.701596493,2009년11월법개정전자료,2026-04-22 22:39:09,I,2009-08-03,2,폐업처리,2011-10-07 15:25:14,,2009-08-03,158-806,"서울특별시 양천구 목1동 408번지 53호 1층, 지층",2009314011405600077,3140000,"서울특별시 양천구 오목로 276-6 (목동,1층, 지층)",,03,폐업,,,
미니스톱 신림미림점,2022-06-29,193956.613331996,440364.215850511,제7조의3제2항에따른경우,2026-04-22 22:40:17,I,2019-02-28,2,폐업처리,2022-06-29 16:51:11,,2019-02-28,,서울특별시 관악구 신림동 306번지 6호,2019320022505600024,3200000,서울특별시 관악구 호암로18가길 1 (신림동),08821,03,폐업,,,
지에스(GS)25 관악세봉점,,195691.358641318,441553.182236914,제7조의3제2항에따른경우,2026-04-22 22:40:24,I,2024-11-25,0,정상영업,2024-11-26 09:22:23,,2024-11-25,,서울특별시 관악구 봉천동 1591-2 서울대입구삼성아파트,2024320022505600048,3200000,"서울특별시 관악구 관악로 125, 101동 101호 (봉천동, 서울대입구삼성아파트)",08833,01,영업/정상,,,
대천식품,,203522.689200061,463993.225879626,2009년11월법개정전자료,2026-04-22 22:32:59,I,2004-11-04,5,지정취소,2010-10-05 17:45:55,2010-08-02,2004-11-04,,서울특별시 도봉구 도봉동 593번지 1층,2004309008705615183,3090000,"서울특별시 도봉구 도봉로169길 97 (도봉동,1층)",,04,취소/말소/만료/정지/중지,,,
지에스 25 (GS25) 난곡로,,192427.198450417,441944.759298528,제7조의3제2항에따른경우,2026-04-22 22:40:17,I,2019-02-28,3,직권취소,2022-04-25 14:03:46,2022-04-25,2019-02-28,,서울특별시 관악구 신림동 1567번지 1호,2019320022505600019,3200000,"서울특별시 관악구 난곡로 288, 1층,2층 (신림동)",08772,04,취소/말소/만료/정지/중지,,,
마이홈공인중개사,2011-07-21,188567.626253635,449287.61318652,2009년11월법개정전자료,2026-04-22 22:32:55,I,2003-07-30,2,폐업처리,2011-07-21 13:54:22,,2003-07-30,,서울특별시 양천구 목동 530번지 13호,2003314010205633208,3140000,서울특별시 양천구 목동중앙본로 116 (목동),,03,폐업,,,26500000
양서마트,2005-03-09,185251.745918626,447532.498381367,,2026-04-22 22:33:00,I,,2,폐업처리,2008-02-21 00:00:00,,2004-03-12,,서울특별시 양천구 신월동 126번지 35호,2004314010205600027,3140000,서울특별시 양천구 곰달래로 11 (신월동),,03,폐업,,,
