건축물동수,건축물연면적,사업장명,업태구분명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,미르태권도합기도,태권도,2019-04-09,,195278.168777044,453767.730799759,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2019-04-09 15:18:36,,2013-05-15,120-854,,서울특별시 서대문구 홍제동 139-21 3층호,,CDFH3301022013000002,3120000,사립,"서울특별시 서대문구 통일로 410, 3층호 (홍제동)",03632,03,폐업,,,
,,중앙태권도,,2014-07-25,,191836.275479334,452295.332828958,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2014-07-25 17:43:04,,2013-10-21,120-811,1,서울특별시 서대문구 북가좌동 150,,CDFH3301022013000004,3120000,사립,서울특별시 서대문구 수색로 105 (북가좌동),,03,폐업,,,02-375-3500
,,정무문 검도,검도,2017-04-25,,195538.684257199,453417.830545762,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2017-04-27 13:26:11,,2014-02-14,120-854,1,서울특별시 서대문구 홍제동 24-1,,CDFH3301022014000001,3120000,사립,서울특별시 서대문구 통일로 366 (홍제동),03635,03,폐업,,,
,,"신촌 복싱, 킥복싱 클럽",권투,2016-02-03,,194618.731477599,450733.615442357,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2016-02-03 11:07:27,,2014-03-11,120-833,,서울특별시 서대문구 창천동 5-21,,CDFH3301022014000002,3120000,사립,서울특별시 서대문구 명물길 66 (창천동),03777,03,폐업,,,
,,용인대 인성 태권도,태권도,2021-02-02,,191836.275479334,452295.332828958,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2021-02-09 19:20:23,,2014-09-12,120-811,,서울특별시 서대문구 북가좌동 150,,CDFH3301022014000005,3120000,사립,"서울특별시 서대문구 수색로 102, 2층 (북가좌동)",03709,03,폐업,,,02-375-3500
,,연세태권도휘트니스,태권도,2020-07-02,,193353.297229971,453437.94781609,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2020-07-02 19:59:37,,2015-03-23,120-848,,서울특별시 서대문구 홍은동 356-39,,CDFH3301022015000001,3120000,사립,서울특별시 서대문구 가좌로 120 (홍은동),03659,03,폐업,,,02-303-5189
,,한국체대 나르샤 태권도장,태권도,2020-12-09,,192209.323632506,452067.039429636,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2020-12-09 17:59:05,,2015-06-12,120-130,,서울특별시 서대문구 북가좌동 487 511호,,CDFH3301022015000003,3120000,사립,"서울특별시 서대문구 수색로 56, 511호 (북가좌동)",03709,03,폐업,,,02-302-2279
,,용인대연희태권도,태권도,2017-04-25,,193860.58211819,451975.128845845,체육도장업,2026-04-22 22:32:09,I,03,폐업,,2017-04-27 13:36:42,,2015-10-23,,,,,CDFH3301022015000008,3120000,사립,"서울특별시 서대문구 증가로 18, 3층 (연희동, 연희빌딩)",03698,03,폐업,,,02-322-6067
,,경희스포츠(태권도),태권도,2018-03-08,,196111.168694145,452194.834634239,체육도장업,2026-04-22 22:32:10,I,03,폐업,,2018-03-12 11:44:01,,2015-12-08,,,,,CDFH3301022015000010,3120000,사립,"서울특별시 서대문구 독립문공원길 17, 2층 (현저동, 독립문극동아파트)",03733,03,폐업,,,02-313-0648
,,용인대 인성 태권도,태권도,2019-04-10,,196041.055038547,450824.65813996,체육도장업,2026-04-22 22:32:12,I,03,폐업,,2019-04-10 14:15:53,,2017-01-06,,,,,CDFH3301022017000001,3120000,사립,"서울특별시 서대문구 북아현로 29, 1차상가동 1층 112,113호 (북아현동)",03757,03,폐업,,,
