아세틸렌수,사업장명,폐업일자,원심주조기수,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,치과용프레스수,상세영업상태코드,상세영업상태명,기공용컴프레서수,기공용레스수,기공용모터수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,핀덱스수,포셀린로수,전기로수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,샌드기수,서베이어수,휴업시작일자,휴업종료일자,소재지전화번호,트리머수,초음파청소기수,진공매몰기수,진동기수
1,믿음치과기공소,2016-07-07,1,197456.301313202,449941.061751163,2026-04-22 22:32:02,I,1,03,폐업,1,1,2,2016-07-07 14:29:22,,1991-11-14,140-821,서울특별시 용산구 동자동 43번지 71호 4F,PHMB319913020033062300001,3020000,1,1,1,서울특별시 용산구 한강대로 373-1 (동자동),04320,03,폐업,1,1,,,02-715-4371,1,1,1,1
1,대웅치과기공소,2012-05-31,1,197425.680210855,449772.109072893,2026-04-22 22:32:03,I,1,03,폐업,1,1,2,2012-06-01 10:29:04,,1992-01-08,140-821,서울특별시 용산구 동자동 43번지 82호,PHMB319923020033062300001,3020000,1,1,1,서울특별시 용산구 한강대로 357 (동자동),,03,폐업,1,1,,,,1,1,1,1
1,반석치과기공소,2015-05-19,1,196709.864626491,449819.985932936,2026-04-22 22:32:03,I,1,03,폐업,1,1,2,2015-07-14 11:07:09,,1993-02-17,140-830,서울특별시 용산구 서계동 267번지 56호,PHMB319933020033062300002,3020000,1,1,1,서울특별시 용산구 효창원로 263 (서계동),,03,폐업,1,1,,,,1,1,1,1
1,미치과기공소,2011-04-26,2,,,2026-04-22 22:32:03,I,1,03,폐업,,1,8,2011-04-26 16:27:01,,1995-06-17,140-871,서울특별시 용산구 한강로2가 166번지 3호 3층,PHMB319953020033062300001,3020000,,3,3,,,03,폐업,,2,,,,1,2,,2
1,바이오치과기공소,2009-04-06,1,,,2026-04-22 22:32:03,I,1,03,폐업,,1,2,2009-04-06 18:34:31,,1996-07-08,140-875,서울특별시 용산구 한강로2가 194번지 2호,PHMB319963020033062300001,3020000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,선진치과기공소,2025-08-11,1,197747.102997967,450114.82369787,2026-04-22 22:32:04,I,1,03,폐업,1,1,2,2025-08-11 15:04:28,,1998-09-28,140-818,서울특별시 용산구 동자동 5번지 2호,PHMB319983020033062300002,3020000,1,1,1,서울특별시 용산구 후암로 91-1 (동자동),04324,03,폐업,1,1,,,,1,1,1,1
1,오닉스치과기공소,2010-11-22,1,197627.585517703,447931.215118902,2026-04-22 22:32:04,I,1,03,폐업,,1,2,2010-11-22 17:11:34,,2005-08-16,140-011,서울특별시 용산구 한강로1가 200번지 2호 2층,PHMB320053020033062300001,3020000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,덴트라치과기공소,2011-06-03,1,197024.494559849,448522.925233314,2026-04-22 22:32:04,I,1,03,폐업,,1,15,2011-06-03 17:44:23,,2006-03-16,140-846,서울특별시 용산구 원효로1가 28번지 10호 경동빌딩 4층,PHMB320063020033062300001,3020000,,2,1,,,03,폐업,,1,,,,1,1,,1
1,투스뱅크치과기공소,2023-07-20,1,199622.348154368,447084.44036503,2026-04-22 22:32:04,I,1,03,폐업,1,1,2,2023-07-20 13:20:07,,2006-06-20,,서울특별시 용산구 동빙고동 1번지 9호,PHMB320063020033062300002,3020000,1,1,1,"서울특별시 용산구 장문로6길 101, 2층 (동빙고동)",04393,03,폐업,1,1,,,02-6489-2822,1,1,1,1
1,처음치과기공소,2010-05-13,1,197522.760094007,447949.315826167,2026-04-22 22:32:04,I,1,03,폐업,,1,2,2010-05-13 14:23:26,,2007-01-26,140-011,서울특별시 용산구 한강로1가 243번지 6호 4층,PHMB320073020033062300001,3020000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,서향치과기공소,2025-09-30,1,197161.920834195,448812.870081648,2026-04-22 22:32:04,I,1,03,폐업,1,1,2,2025-09-30 11:17:46,,2007-03-26,140-846,서울특별시 용산구 원효로1가 5번지 25호,PHMB320073020033062300002,3020000,1,1,1,서울특별시 용산구 원효로93길 18-35 (원효로1가),04314,03,폐업,1,1,,,,1,1,1,1
1,라파치과기공소,2025-08-12,1,195936.18328447,447052.565741975,2026-04-22 22:32:04,I,1,03,폐업,1,1,2,2025-08-12 10:45:06,,2008-03-14,140-909,서울특별시 용산구 이촌동 203번지 69호,PHMB320083020033062300001,3020000,1,1,1,서울특별시 용산구 이촌로18길 21-6 (이촌동),04374,03,폐업,1,1,,,,1,1,1,1
1,퍼스트치과기공소,2009-06-01,1,197011.136687724,449376.579961282,2026-04-22 22:32:04,I,1,03,폐업,,1,4,2009-12-18 15:16:20,,2009-01-13,140-132,서울특별시 용산구 청파동2가 6번지 16호 1층,PHMB320093020033062300001,3020000,,1,1,,,03,폐업,,1,,,,1,1,,1
1,비타민치과기공소,2016-06-17,1,197731.992485033,450119.606517113,2026-04-22 22:32:04,I,1,03,폐업,1,1,5,2016-06-17 11:22:38,,2009-05-11,140-818,서울특별시 용산구 동자동 11번지 4층,PHMB320093020033062300002,3020000,1,1,1,서울특별시 용산구 후암로 93 (동자동),04324,03,폐업,1,2,,,,1,1,1,1
1,지르코리아 덴탈랩,2013-08-12,1,197169.11206659,448711.10481265,2026-04-22 22:32:04,I,1,03,폐업,1,1,5,2013-08-12 10:55:36,,2010-11-10,140-846,서울특별시 용산구 원효로1가 38번지 2호,PHMB320103020033062300001,3020000,1,1,4,"서울특별시 용산구 원효로93길 9-8, 1층 (원효로1가)",,03,폐업,1,1,,,,1,1,1,1
1,이-파샬치과기공소,2013-01-11,1,197320.871404544,447623.617929291,2026-04-22 22:32:04,I,1,03,폐업,1,2,10,2014-02-27 14:48:59,,2011-08-16,140-872,서울특별시 용산구 한강로2가 113번지 1호 희영빌딩 4층,PHMB320113020033062300002,3020000,1,1,1,"서울특별시 용산구 한강대로44길 14, 4층 (한강로2가)",,03,폐업,1,2,,,,1,1,1,1
1,랜드엘치과기공소,2019-02-12,1,196370.746398773,447841.698787531,2026-04-22 22:32:05,I,1,03,폐업,1,1,3,2019-02-12 11:34:09,,2011-11-10,140-879,서울특별시 용산구 한강로3가 16번지 9호,PHMB320113020033062300003,3020000,1,1,1,서울특별시 용산구 청파로 74 (한강로3가),04372,03,폐업,1,2,,,,1,1,1,1
1,베이직치과기공소,2013-09-30,1,197326.255684213,449037.30792556,2026-04-22 22:32:05,I,1,03,폐업,1,1,2,2014-02-27 14:25:14,,2011-12-29,140-133,서울특별시 용산구 청파동3가 60번지,PHMB320113020033062300005,3020000,1,1,1,서울특별시 용산구 청파로 269 (청파동3가),,03,폐업,1,1,,,,1,1,1,1
1,퍼스트치과기공소,2014-05-23,1,197031.686715338,448564.420980438,2026-04-22 22:32:05,I,1,03,폐업,1,1,6,2014-05-23 17:14:53,,2012-03-15,140-846,서울특별시 용산구 원효로1가 28번지 3호  3층,PHMB320123020033062300001,3020000,1,2,2,"서울특별시 용산구 원효로81길 5, 3층 (원효로1가)",,03,폐업,1,1,,,02-477-2803,1,1,1,1
1,지우치과기공소,2012-07-12,1,196768.132356945,446931.975248096,2026-04-22 22:32:05,I,1,03,폐업,1,1,3,2012-07-12 16:22:41,,2012-04-13,140-013,서울특별시 용산구 한강로3가 65번지 9호,PHMB320123020033062300002,3020000,1,1,1,서울특별시 용산구 한강대로 40 (한강로3가),,03,폐업,1,1,,,,1,1,1,1
1,플라톤 치과기공소,2014-03-31,1,196182.90634192,448006.017439332,2026-04-22 22:32:05,I,1,03,폐업,1,1,3,2014-03-31 16:09:07,,2012-07-05,140-848,서울특별시 용산구 원효로3가 82번지 2호   201호,PHMB320123020033062300004,3020000,1,1,1,"서울특별시 용산구 원효로41가길 9, 2층 1호 (원효로3가)",,03,폐업,1,1,,,,1,1,1,1
1,원치과기공소,2018-09-13,1,197607.978553329,448990.502482172,2026-04-22 22:32:05,I,1,03,폐업,1,1,3,2018-09-17 10:00:54,,2012-07-24,140-160,서울특별시 용산구 남영동 48번지 4호 306호,PHMB320123020033062300005,3020000,1,1,2,서울특별시 용산구 한강대로80길 21-9 (남영동),04352,03,폐업,1,1,,,,1,1,1,1
1,하이치과 기공소,2023-04-19,1,197601.349660946,448942.894407397,2026-04-22 22:32:05,I,1,03,폐업,1,1,4,2023-06-30 18:00:39,,2016-03-30,,서울특별시 용산구 남영동 52번지 6호,PHMB320163020033062300001,3020000,1,1,1,서울특별시 용산구 한강대로80길 15 (남영동),04352,03,폐업,1,1,,,,1,1,1,1
1,원데이치과기공소,2017-09-08,1,196624.028530468,448612.538602611,2026-04-22 22:32:05,I,1,03,폐업,2,1,5,2017-09-08 15:58:40,,2016-08-11,,서울특별시 용산구 효창동 5번지 116호,PHMB320163020033062300003,3020000,1,4,1,"서울특별시 용산구 효창원로62길 16 (효창동, 동호빌딩)",04317,03,폐업,2,1,,,02-3409-2809,1,1,1,1
1,라임디자인센터 치과기공소,2023-10-13,1,197011.737528847,447430.100250997,2026-04-22 22:32:06,I,1,03,폐업,1,1,2,2023-10-13 14:06:33,,2021-07-16,,,PHMB320213020033062300001,3020000,1,1,1,"서울특별시 용산구 한강대로 95, 지하2층 222호 (한강로2가, 래미안용산 더 센트럴)",04378,03,폐업,1,1,,,,1,1,1,1
1,대명치과기공소,2024-07-31,1,197601.349660946,448942.894407397,2026-04-22 22:32:06,I,1,03,폐업,1,1,2,2024-07-31 10:05:32,,2009-01-14,,서울특별시 용산구 남영동 52-6,PHMB320233020033062300001,3020000,1,1,1,"서울특별시 용산구 한강대로80길 15, 2층 (남영동)",04352,03,폐업,1,1,,,,1,1,1,1
1,메타덴탈랩치과기공소,2024-08-29,1,197474.573953897,447787.753374961,2026-04-22 22:32:07,I,1,03,폐업,1,1,2,2024-08-29 15:16:27,,2024-08-29,,서울특별시 용산구 한강로2가 30-1,PHMB320243020033062300001,3020000,1,1,1,"서울특별시 용산구 한강대로52길 17-7, 1층 (한강로2가)",04382,03,폐업,1,1,,,,1,1,1,1
