건물지상층수,건물소유구분명,건물지하층수,사업장명,욕실수,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,발한실여부,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,,0,베네짐 삼전점,1,찜질시설서비스영업,,,,,208083.998819485,444601.394384951,2026-04-22 22:32:54,I,01,영업,0,2026-02-12 17:00:39,2026-02-12,17.11,138-837,서울특별시 송파구 삼전동 9-8,N,0,3230000-202-2026-00001,3230000,"서울특별시 송파구 백제고분로 229, 지하1층 (삼전동)",05605,01,영업/정상,찜질시설서비스영업,N,,,,,
5,자가,1,수정사우나,2,공동탕업,2026-01-14,,,,209976.524409625,445404.925079176,2026-04-22 22:32:46,I,02,폐업,,2026-01-14 11:35:20,2006-10-16,450.00,138-830,서울특별시 송파구 방이동 111-8 지하1층,N,,3230000-202-2006-00004,3230000,"서울특별시 송파구 오금로19길 9, 지하1층 (방이동)",05641,03,폐업,공동탕업,N,,,1,,1
6,,4,서울레저관광사우나,0,공동탕업,2015-12-30,,,,211565.077399034,445013.127577724,2026-04-22 22:32:54,I,02,폐업,,2015-12-30 18:03:41,2003-12-05,"1,600.00",138-855,서울특별시 송파구 오금동 28,N,,3230000-202-2003-00075,3230000,서울특별시 송파구 위례성대로22길 27-22 (오금동),05655,03,폐업,공동탕업,N,02-404-7000,1,1,2,1
0,,0,성수탕,0,공동탕업,,,,,204923.683616606,448371.9861317,2026-04-22 22:31:55,I,01,영업,,2011-08-16 17:18:52,1967-10-28,149.64,133-827,서울특별시 성동구 성수동2가 331-163,N,,3030000-202-1967-00322,3030000,서울특별시 성동구 성덕정19길 11 (성수동2가),04776,01,영업/정상,공동탕업,N,02-462-8561,0,0,0,0
,,,금호한증막,2,한증막업,,,,,201742.272982354,449445.591516627,2026-04-22 22:31:53,I,01,영업,,2014-04-18 17:59:51,1967-10-30,119.34,133-809,서울특별시 성동구 금호동4가 615-616,N,,3030000-202-1967-00323,3030000,"서울특별시 성동구 독서당로 280-5, 616호 (금호동4가)",04737,01,영업/정상,한증막업,Y,02-2297-0720,,,,
,,,근화탕,,공동탕업,,,,,204405.200350815,448458.156755337,2026-04-22 22:32:07,I,01,영업,,2018-05-23 17:38:17,1970-12-04,143.50,133-819,서울특별시 성동구 성수동1가 259-0,N,,3030000-202-1970-00315,3030000,서울특별시 성동구 성덕정길 63-39 (성수동1가),04775,01,영업/정상,공동탕업,N,02-463-5562,,,,
0,,0,현대탕,0,공동탕업,,,,,204803.812658215,449077.928763942,2026-04-22 22:31:56,I,01,영업,,2024-01-05 10:07:40,1986-11-04,450.18,133-835,서울특별시 성동구 성수동2가 315-58,N,,3030000-202-1986-00305,3030000,서울특별시 성동구 연무장7길 16 (성수동2가),04782,01,영업/정상,공동탕업,N,02-463-7070,0,0,,
,,,현대대중목욕탕,,공동탕업,,,,,202665.642323691,449864.878502796,2026-04-22 22:31:57,I,01,영업,,2023-02-15 09:19:32,1989-11-08,482.41,133-852,서울특별시 성동구 응봉동 98 현대종합상가,N,,3030000-202-1989-00297,3030000,"서울특별시 성동구 독서당로 381, 현대종합상가 지하2층 (응봉동)",04720,01,영업/정상,공동탕업,N,02-2296-8384,,,,
0,,0,라성보석사우나,0,공동탕업,,,,,205039.907145725,449216.223655036,2026-04-22 22:32:02,I,01,영업,,2026-03-16 15:14:01,2001-09-05,"3,800.00",133-832,서울특별시 성동구 성수동2가 277-17,N,,3030000-202-2001-00345,3030000,서울특별시 성동구 성수이로 118 (성수동2가),04797,01,영업/정상,공동탕업,N,02-463-8046,0,0,0,0
,,,대성탕,,공동탕업,,,,,204615.311113314,448361.103638303,2026-04-22 22:31:52,I,01,영업,,2020-03-16 11:05:07,2002-10-01,227.99,133-828,서울특별시 성동구 성수동2가 508,N,,3030000-202-2002-00004,3030000,서울특별시 성동구 성수이로5길 15 (성수동2가),04775,01,영업/정상,공동탕업,N,02-469-7762,,,,
