사업장명,폐업일자,좌표X,좌표Y,민원종류명,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
주식회사연세유통,2014-08-19,205810.922953473,451847.699904699,제7조의3제2항에따른경우,2026-05-01 22:42:34,I,2013-04-19,2,폐업처리,2014-08-19 09:41:01,,2013-04-19,130-101,서울특별시 동대문구 장안1동 393번지 8호 1층,2013305014005600041,3050000,서울특별시 동대문구 답십리로66길 87 (장안동),,03,폐업,,,22491627
광운부동산,2003-01-24,,,,2026-05-01 22:42:38,I,,2,폐업처리,2008-02-21 00:00:00,,2002-07-30,,서울특별시 성북구 장위동 124번지 10호,2002307009905600235,3070000,,,03,폐업,,,02-000-0000
베스트올종암점,2026-03-10,202887.735294472,455516.204264925,2009년11월법개정전자료,2026-05-01 22:42:51,I,2009-02-26,2,폐업처리,2026-03-10 14:38:31,,2009-02-26,136-090,서울특별시 성북구 종암동 132번지  유림카이저팰리스 105호,2009307013405600020,3070000,"서울특별시 성북구 종암로 132 (종암동,유림카이저팰리스 105호)",,03,폐업,,,
대림식품,2007-02-20,,,,2026-05-01 22:41:43,I,,2,폐업처리,2008-02-21 00:00:00,,1998-07-30,,서울특별시 동대문구 용신동 65번지 1호,1998305008205602005,3050000,,,03,폐업,,,02-3295-1092
영보석,,206017.139022471,452305.451291955,2009년11월법개정전자료,2026-05-01 22:42:18,I,2007-11-09,0,정상영업,2007-11-09 10:24:29,,2007-11-09,130-840,서울특별시 동대문구 장안동 294번지 3호 21통 5반,2007305010005600140,3050000,서울특별시 동대문구 답십리로65길 10 (장안동),,01,영업/정상,,,22147225
수선가게,,204266.582922584,457446.62306628,,2026-05-01 22:42:34,I,,3,직권취소,2008-02-21 00:00:00,,2001-04-10,,서울특별시 성북구 장위동 190번지 8호,2001307009905600014,3070000,서울특별시 성북구 장월로31길 46 (장위동),,04,취소/말소/만료/정지/중지,,,
현대정보통신,2005-07-18,204978.221244079,452880.111029031,,2026-05-01 22:42:12,I,,2,폐업처리,2008-02-21 00:00:00,,2005-03-18,,서울특별시 동대문구 전농동 295번지 110호,2005305008205600052,3050000,서울특별시 동대문구 전농로 149 (전농동),,03,폐업,,,22121511
임재규,2008-01-28,203525.419791492,453394.848458985,2009년11월법개정전자료,2026-05-01 22:42:10,I,2004-10-06,2,폐업처리,2008-01-28 17:56:24,,2004-10-06,,서울특별시 동대문구 제기동 591호 달나라빌딩 1층,2004305008205600143,3050000,,,03,폐업,,,
(주)코리아세븐돈암센트레빌점,,202166.019028452,455524.351454451,제7조의3제2항에따른경우,2026-05-01 22:43:34,I,2012-10-04,0,정상영업,2012-10-04 10:04:22,,2012-10-04,136-060,서울특별시 성북구 돈암동 625번지 2호 외1필지 비알625 B2층 102호,2012307019705600021,3070000,"서울특별시 성북구 정릉로 376, B2층 102호 (돈암동, 비알625)",,01,영업/정상,,,1577-0711
성원공인중개사사무소,,201792.136156417,453371.360654076,제7조의3제2항에따른경우,2026-05-01 22:43:34,I,2012-10-17,0,정상영업,2012-10-17 10:30:27,,2012-10-17,136-084,서울특별시 성북구 보문동4가 74번지,2012307019705600029,3070000,서울특별시 성북구 보문로 82 (보문동4가),,01,영업/정상,,,02-925-2459
초원슈퍼,2018-10-19,201334.515564881,456865.916776218,2009년11월법개정전자료,2026-05-01 22:42:34,I,2001-03-13,2,폐업처리,2018-10-19 09:05:24,,2001-03-13,,서울특별시 성북구 길음동 635번지 168 호 신안아파트상가,2001307009905600008,3070000,"서울특별시 성북구 길음로 141 (길음동,신안아파트상가)",,03,폐업,,,02-915-9932
제일식당,2001-11-28,202167.988875288,452174.504810233,,2026-05-01 22:41:43,I,,2,폐업처리,2008-02-21 00:00:00,,1998-08-11,,서울특별시 동대문구 용신동 114번지 19호,1998305008205601073,3050000,서울특별시 동대문구 난계로26길 33 (신설동),,03,폐업,,,02-2235-0597
GS25장안사랑점,2020-09-14,206118.35425561,451723.178504242,2009년11월법개정전자료,2026-05-01 22:42:23,I,2009-07-23,2,폐업처리,2020-09-14 11:13:10,,2009-07-23,130-840,서울특별시 동대문구 장안2동 347번지 9호 1층,2009305010005600075,3050000,"서울특별시 동대문구 장한로18길 19 (장안동,1층)",,03,폐업,,,
식품,2001-07-12,205919.785350571,453010.179596752,,2026-05-01 22:41:36,I,,2,폐업처리,2008-02-21 00:00:00,,1984-11-28,,서울특별시 동대문구 전농동 2번지 2호,1984305008205608006,3050000,서울특별시 동대문구 사가정로 203-15 (전농동),,03,폐업,,,02-2242-6447
토큰,2003-02-27,205377.680647327,451586.55348063,,2026-05-01 22:42:06,I,,2,폐업처리,2008-02-21 00:00:00,,2002-08-31,,서울특별시 동대문구 답십리동 12번지 270호,2002305008205600123,3050000,서울특별시 동대문구 한천로 49 (답십리동),,03,폐업,,,02-2247-3363
가평상회,2004-03-18,203115.452010762,452818.14080782,,2026-05-01 22:42:09,I,,2,폐업처리,2008-02-21 00:00:00,,2004-01-10,,서울특별시 동대문구 용신동 709번지 32호,2004305008205600003,3050000,서울특별시 동대문구 왕산로26길 6-7 (용두동),,03,폐업,,,
위플러스경희대점,2011-09-08,204667.11238476,454265.383154251,제7조의3제2항에따른경우,2026-05-01 22:42:25,I,2010-03-22,2,폐업처리,2011-09-08 09:02:40,,2010-03-22,130-872,서울특별시 동대문구 회기동 61번지 18호,2010305010005600029,3050000,서울특별시 동대문구 회기로 160 (회기동),,03,폐업,,,
스피드뱅크,2004-04-21,201489.50616023,453668.59146928,,2026-05-01 22:42:43,I,,2,폐업처리,2008-02-21 00:00:00,,2003-11-27,,서울특별시 성북구 보문동2가 74번지 8호,2003307009905683112,3070000,서울특별시 성북구 지봉로21길 10 (보문동2가),,03,폐업,,,
상호없음,,200442.592150405,456265.278748184,2009년11월법개정전자료,2026-05-01 22:43:40,I,1900-01-01,0,정상영업,2014-04-04 15:08:52,,1900-01-01,136-850,서울특별시 성북구 정릉동 684번지 1호,2014307021605600111,3070000,서울특별시 성북구 솔샘로6길 16-16 (정릉동),,01,영업/정상,,,02-914-1443
위드미 장안신일점,2020-02-05,206560.736934242,453035.442446894,제7조의3제2항에따른경우,2026-05-01 22:42:41,I,2016-06-02,2,폐업처리,2020-02-05 16:50:46,,2016-06-02,,서울특별시 동대문구 장안동 315번지 18호,2016305014005600050,3050000,"서울특별시 동대문구 사가정로 272, 1층 (장안동)",02519,03,폐업,,,
상호없음,,,,2009년11월법개정전자료,2026-05-01 22:43:41,I,1900-01-01,0,정상영업,2014-04-09 13:21:00,,1900-01-01,136-120,서울특별시 성북구 상월곡동 73번지 21호,2014307021605600211,3070000,,,01,영업/정상,,,02-913-3766
