축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,주사육업종,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
2826,가축사육업,영우농장3,2026-01-22,219260.424434408,392461.639607205,2026-04-28 22:01:14,I,0002,폐업,2026-01-23 09:16:13,,2023-06-05,,,경기도 안성시 대덕면 명당리 ***-*,408000003320230009,4080000,한우,L00,경기도 안성시 대덕면 선인장길 ***-**,17542,,03,폐업,,,
243,가축사육업,남해목장,2013-01-11,212364.428235965,395036.17463396,2026-04-28 22:00:54,I,0002,폐업,2013-02-07 08:57:37,,2005-03-19,0,456-812,경기도 안성시 원곡면 지문리 ***-*,408000003320050203,4080000,한우,000,경기도 안성시 원곡면 지문로 ***-*,,,03,폐업,,,
889,가축사육업,을삼축산,2013-01-18,241284.934637402,401171.11306338,2026-04-28 22:00:59,I,0002,폐업,2013-01-18 18:19:56,,2005-06-21,0,456-914,경기도 안성시 일죽면 화곡리 ***-*,408000003320050849,4080000,한우,000,경기도 안성시 일죽면 일죽신흥로 **-*,,,03,폐업,,,
919,가축사육업,민해목장,,237491.091809413,401674.045882096,2026-04-28 22:01:00,I,0000,정상,2022-08-31 16:31:55,,2005-06-23,0,456-912,경기도 안성시 일죽면 방초리 ****-*,408000003320050879,4080000,젖소,000,경기도 안성시 일죽면 한다리길 **-**,,,01,영업/정상,,,
497,가축사육업,한구농장,,224785.654515355,386903.600623748,2026-04-28 22:00:55,I,0004,말소,2023-04-28 15:19:53,,2005-04-16,0,456-290,경기도 안성시 중리동 ***,408000003320050457,4080000,한우,000,경기도 안성시 중리길 **-** (중리동),,,04,취소/말소/만료/정지/중지,,,
930,가축사육업,영국농장,2012-07-12,234448.979958124,398450.5463552,2026-04-28 22:01:00,I,0002,폐업,2012-07-10 11:57:06,,2005-06-29,0,456-883,경기도 안성시 삼죽면 용월리 ***-*,408000003320050890,4080000,한우,000,경기도 안성시 삼죽면 벌터길 **-*,,,03,폐업,,,
1374,가축사육업,별이네농장,2017-08-29,225424.053067225,399466.872117324,2026-04-28 22:01:05,I,0002,폐업,2017-08-29 16:19:57,,2007-06-01,0,456-921,경기도 안성시 고삼면 쌍지리 ***,408000003320070066,4080000,육우,000,경기도 안성시 고삼면 고삼호수로 ***-**,17504,,03,폐업,,,
1484,가축사육업,광명 목장,2021-08-13,227827.005482861,387345.43097366,2026-04-28 22:01:06,I,0002,폐업,2021-08-13 17:38:34,,2008-01-22,0,456-861,경기도 안성시 금광면 오산리 **-*,408000003320080010,4080000,육우,000,경기도 안성시 금광면 금광오산로 ***-**,,,03,폐업,,,
1849,가축사육업,이수웅농장,2019-09-17,214982.953293739,394384.255917513,2026-04-28 22:01:09,I,0002,폐업,2019-09-18 10:49:58,,2009-03-30,0,456-812,경기도 안성시 원곡면 칠곡리 ***-*,408000003320090081,4080000,한우,000,경기도 안성시 원곡면 금노길 **-**,,,03,폐업,,,
2204,가축사육업,애수농장,2012-05-17,225473.707944251,400736.280122411,2026-04-28 22:01:11,I,0002,폐업,2012-05-17 14:21:53,,2011-07-06,,456-921,경기도 안성시 고삼면 쌍지리 **** 외*필지,408000003320110108,4080000,육우,000,경기도 안성시 고삼면 쌍지길 ***-* (외*필지),,,03,폐업,,,
2651,가축사육업,평안농장,,243177.087577518,399246.082457424,2026-04-28 22:01:13,I,0000,정상,2018-05-01 16:42:45,,2018-05-01,,,경기도 안성시 일죽면 주천리 ***-*,408000003320180012,4080000,한우,000,경기도 안성시 일죽면 주래본죽로 ***-**,17528,,01,영업/정상,,,
2567,가축사육업,번성팜,,239328.657075175,399940.659820782,2026-04-28 22:01:13,I,0000,정상,2016-08-01 11:26:01,,2016-08-01,,,경기도 안성시 죽산면 매산리 ***,408000003320160034,4080000,돼지,000,경기도 안성시 죽산면 하구산길 ***,17518,,01,영업/정상,,,
2621,가축사육업,대평원목장,,244057.377701838,398608.216622688,2026-04-28 22:01:13,I,0000,정상,2017-09-25 21:56:26,,2017-09-25,,,경기도 안성시 일죽면 주천리 **-* 외*필지,408000003320170033,4080000,젖소,000,,,,01,영업/정상,,,
