사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
무실초등학교,,281628.380291001,426280.498745152,2026-04-28 21:26:57,I,18,사용중,강원특별자치도 원주시 무실동 1652 무실초등학교,무실초등학교,공공용시설,2026-04-27 10:12:15,,2026-04-30,150,강원특별자치도 원주시 무실동 1652 무실초등학교,4191000-E202600001,4191000,,"강원특별자치도 원주시 만대로 155, 무실초등학교 (무실동)",26385,01,영업/정상
봉대초등학교 #1,,287493.036550859,426237.066881755,2026-04-28 21:26:57,I,18,사용중,강원특별자치도 원주시 반곡동 1964-4 봉대초등학교,봉대초등학교 #1,공공용시설,2026-04-27 10:11:33,,2026-04-30,100,강원특별자치도 원주시 반곡동 1964-4 봉대초등학교,4191000-E202600002,4191000,,"강원특별자치도 원주시 혁신로 300, 봉대초등학교 (반곡동)",26460,01,영업/정상
봉대초등학교 #2,,287493.036550859,426237.066881755,2026-04-28 21:26:57,I,18,사용중,강원특별자치도 원주시 반곡동 1964-4 봉대초등학교,봉대초등학교 #2,공공용시설,2026-04-27 10:17:53,,2026-04-30,100,강원특별자치도 원주시 반곡동 1964-4 봉대초등학교,4191000-E202600003,4191000,,"강원특별자치도 원주시 혁신로 300, 봉대초등학교 (반곡동)",26460,01,영업/정상
미성크로바 재건축(2022-1),2025-09-29,209393.076054654,446147.977949052,2026-04-28 22:31:41,I,19,사용중지,서울특별시 송파구 신천동 17-6,미성크로바 재건축(2022-1),공공용시설,2025-12-16 12:21:41,2025-09-29,2023-05-02,45,서울특별시 송파구 신천동 17-6,3230000-E202300004,3230000,2025-09-29,,,04,취소/말소/만료/정지/중지
고덕가든,2024-11-18,212960.293833107,451087.389565288,2026-04-28 22:33:51,I,19,사용중지,서울특별시 강동구 고덕동 593번지,고덕가든,공공용시설,2025-12-30 17:08:27,2024-11-18,2004-04-06,60,서울특별시 강동구 고덕동 593번지,3240000-E200400002,3240000,2024-11-18,서울특별시 강동구 아리수로 181-19 (고덕동),,04,취소/말소/만료/정지/중지
한남사우나,2024-11-18,212963.662827957,448994.941210754,2026-04-28 22:33:52,I,19,사용중지,서울특별시 강동구 길동 47번지,한남사우나,공공용시설,2025-12-30 17:04:04,2024-11-18,2005-11-02,80,서울특별시 강동구 길동 47번지,3240000-E200500009,3240000,2024-11-18,서울특별시 강동구 명일로 273 (길동),,04,취소/말소/만료/정지/중지
삼익파크 511동,2024-11-18,213062.032183456,449040.28627396,2026-04-28 22:33:52,I,19,사용중지,서울특별시 강동구 길동 53번지,삼익파크 511동,공공용시설,2025-12-30 17:04:24,2024-11-18,2006-01-02,50,서울특별시 강동구 길동 53번지,3240000-E200600005,3240000,2024-11-18,서울특별시 강동구 명일로 286 (길동),,04,취소/말소/만료/정지/중지
영동일고교 내,,207867.335456925,445303.571602941,2026-04-28 22:31:41,I,18,사용중,서울특별시 송파구 잠실동 35번지 1호,영동일고교 내,정부지원시설,2026-01-18 13:35:40,,1980-01-01,432,서울특별시 송파구 잠실동 35번지 1호,3230000-E198000002,3230000,,"서울특별시 송파구 석촌호수로 93 (잠실동, 영동일고등학교)",05555,01,영업/정상
구룡사우나,,213577.583827273,443846.407056646,2026-04-28 22:31:41,I,18,사용중,서울특별시 송파구 마천동 207번지 2호,구룡사우나,공공용시설,2026-01-16 16:27:06,,1982-09-25,94,서울특별시 송파구 마천동 207번지 2호,3230000-E198200001,3230000,,"서울특별시 송파구 성내천로 265 (마천동, 구룡목욕탕)",05749,01,영업/정상
석정사우나,,210185.598338404,447414.523518115,2026-04-28 22:31:40,I,18,사용중,서울특별시 송파구 풍납동 403번지 2호,석정사우나,공공용시설,2026-01-16 14:27:45,,1987-12-01,88,서울특별시 송파구 풍납동 403번지 2호,3230000-E198700001,3230000,,"서울특별시 송파구 토성로 58 (풍납동, 도원빌딩)",05537,01,영업/정상
장미C상가(장미전철상가),,208707.089897534,446299.352775446,2026-04-28 22:31:40,I,18,사용중,서울특별시 송파구 신천동 7번지,장미C상가(장미전철상가),공공용시설,2026-01-18 12:45:44,,1989-02-01,40,서울특별시 송파구 신천동 7번지,3230000-E198900003,3230000,,"서울특별시 송파구 올림픽로35길 104 (신천동, 장미아파트)",05504,01,영업/정상
대한제당,,209083.899741533,445916.209435271,2026-04-28 22:31:41,I,18,사용중,서울특별시 송파구 신천동 7번지 23호,대한제당,공공용시설,2026-01-18 12:48:03,,1991-10-01,62,서울특별시 송파구 신천동 7번지 23호,3230000-E199100002,3230000,,"서울특별시 송파구 올림픽로 299 (신천동, 대한제당)",05510,01,영업/정상
수정사우나,,209976.524409625,445404.925079176,2026-04-28 22:31:41,I,18,사용중,서울특별시 송파구 방이동 111-8,수정사우나,공공용시설,2026-04-03 14:26:29,,1991-01-01,60,서울특별시 송파구 방이동 111-8,3230000-E199100004,3230000,,서울특별시 송파구 오금로19길 9 (방이동),05641,01,영업/정상
혜성빌딩,,212093.504345528,444324.297234108,2026-04-28 22:31:40,I,18,사용중,서울특별시 송파구 오금동 150번지 4호,혜성빌딩,공공용시설,2026-01-16 17:11:25,,1991-12-01,60,서울특별시 송파구 오금동 150번지 4호,3230000-E199100005,3230000,,서울특별시 송파구 동남로 286 (오금동),,01,영업/정상
