신청일자,항목값1,사업장명,업소구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
2020-04-09,관급봉투,(주)이마트 남양주점,지정,,197503.140313534,450941.074201187,2026-04-28 21:23:10,I,2020-04-16,11,영업,2026-04-27 15:51:57,2020-04-16,경기도 남양주시 호평동 637 남양주 호평이마트,,서울특별시 중구 순화동 53 오렌지 센터,399000014202000069,3990000,서울특별시 중구 세종대로7길 37 (순화동),04511,,01,영업/정상,,,031-590-1054
2020-02-24,관급봉투,세븐일레븐 남양주호평점,지정,,221248.462907051,461421.958423616,2026-04-28 21:23:10,I,2020-02-24,11,영업,2026-04-27 16:06:59,2020-02-24,경기도 남양주시 호평동 628-5,,경기도 남양주시 호평동 628-5,399000014202000070,3990000,"경기도 남양주시 늘을1로16번안길 13-16, 1층 (호평동)",12149,,01,영업/정상,,,
2020-03-16,관급봉투,한살림서울소비자생활협동조합 호평매장,지정,,221613.83097221,461347.012358297,2026-04-28 21:23:10,I,2020-03-16,11,영업,2026-04-27 16:09:07,2020-03-16,경기도 남양주시 호평동 654-6,,경기도 남양주시 호평동 654-6,399000014202000071,3990000,"경기도 남양주시 호평로46번안길 4-21, 1층 (호평동)",12150,,01,영업/정상,,,
2020-04-02,관급봉투,씨유 평내메인점,지정,,220667.794203159,460363.34357979,2026-04-28 21:23:10,I,2020-04-02,11,영업,2026-04-27 16:15:59,2020-04-02,경기도 남양주시 평내동 578-3 메인프라자,,경기도 남양주시 평내동 578-3 메인프라자,399000014202000072,3990000,"경기도 남양주시 평내로29번길 41, 메인프라자 1층 110호 (평내동)",12223,,01,영업/정상,,,
2020-04-21,관급봉투,금메달식자재마트,지정,,221729.117875156,461696.72698768,2026-04-28 21:23:10,I,2020-04-21,11,영업,2026-04-27 16:17:58,2020-04-21,,,경기도 남양주시 호평동 186,399000014202000073,3990000,경기도 남양주시 호평로67번길 16-4 (호평동),12147,,01,영업/정상,,,
2020-04-21,관급봉투,세븐일레븐 호평대주파크빌점,지정,,221604.447907624,462148.035534543,2026-04-28 21:23:10,I,2020-04-21,11,영업,2026-04-27 16:32:13,2020-04-21,경기도 남양주시 호평동 613 호평마을대주파크빌 상가,,경기도 남양주시 호평동 613 호평마을대주파크빌 상가,399000014202000074,3990000,"경기도 남양주시 늘을2로 96, 호평마을대주파크빌 상가 110호 (호평동)",12144,,01,영업/정상,,,
2020-07-21,관급봉투,씨유 평내대명루첸점,지정,,220755.218182998,461073.937970172,2026-04-28 21:23:10,I,2020-07-21,11,영업,2026-04-27 16:35:27,2020-07-21,경기도 남양주시 평내동 661 평내호평역 대명루첸 포레스티움,,경기도 남양주시 평내동 661 평내호평역 대명루첸 포레스티움,399000014202000075,3990000,"경기도 남양주시 경춘로 1305, 상가동 103,104호 (평내동, 평내호평역 대명루첸 포레스티움)",12217,,01,영업/정상,,,
2020-08-21,관급봉투,세븐일레븐 평내삼거리점,지정,,220911.024468217,460864.073029962,2026-04-28 21:23:10,I,2020-08-21,11,영업,2026-04-27 16:36:47,2020-08-21,경기도 남양주시 평내동 202-5 중앙빌딩,,경기도 남양주시 평내동 202-5 중앙빌딩,399000014202000076,3990000,"경기도 남양주시 경춘로1306번길 2, 중앙빌딩 103,104호 (평내동)",12218,,01,영업/정상,,,
2020-08-27,관급봉투,세븐일레븐 호평주공점,지정,,221018.066958788,461340.72325583,2026-04-28 21:23:10,I,2020-08-27,11,영업,2026-04-27 16:41:09,2020-08-27,경기도 남양주시 호평동 624 주공153마트,,경기도 남양주시 호평동 624 주공153마트,399000014202000077,3990000,"경기도 남양주시 늘을1로 29, 주공153마트 101호 (호평동)",12142,,01,영업/정상,,,
2020-09-03,관급봉투,씨유 호평그랑시아점,지정,,221012.329291588,461758.375686909,2026-04-28 21:23:10,I,2020-09-03,11,영업,2026-04-27 16:40:28,2020-09-03,경기도 남양주시 호평동 479-9 다산그랑시아,,경기도 남양주시 호평동 479-9 다산그랑시아,399000014202000078,3990000,"경기도 남양주시 늘을1로 65-12, 101동 101호 (호평동, 다산그랑시아)",12142,,01,영업/정상,,,
