사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
투윤컴퍼니,,175449.915234411,447704.980176455,2026-04-28 22:32:30,I,13,영업중,2025-06-18 09:29:39,,2023-02-27,,인천광역시 계양구 작전동 ***-**,PHMG120253550020047000029,3550000,"인천광역시 계양구 계양대로 **, *층 ***호 (작전동)",21091,01,영업/정상,,,,99
감성을입다,,176019.689998955,448532.062945231,2026-04-28 22:32:29,I,13,영업중,2024-11-04 09:12:17,,2024-10-31,,인천광역시 계양구 계산동 **-* 인정프린스아파트,PHMG120243550020047000073,3550000,"인천광역시 계양구 계산새로*번길 **, ***동 ***호 (계산동, 인정프린스아파트)",21059,01,영업/정상,,,,104.55
(주)메디웨이브,,197034.02843741,450305.644873169,2026-04-28 22:32:40,I,13,영업중,2020-10-28 17:58:10,,2014-11-27,,서울특별시 중구 만리동*가 **-* 서울역 디오빌,PHMG120203010033047000102,3010000,"서울특별시 중구 만리재로 ***, 서울역 디오빌 ***호 (만리동*가)",04501,01,영업/정상,,,02-719-3277,
신세계(뉴월드),2021-05-31,201250.876993355,451908.773811626,2026-04-28 22:32:42,I,03,폐업,2021-05-31 11:29:16,,2021-05-24,,서울특별시 중구 신당동 ***-** 청평화시장,PHMG120213010033047000108,3010000,"서울특별시 중구 청계천로 ***, 청평화시장 *층 가열**호 (신당동)",04568,03,폐업,,,,
㈜해피의료기,2006-12-11,,,2026-04-28 22:31:56,I,03,폐업,2009-04-22 11:38:54,,2006-03-08,407-300,인천광역시 계양구 임학동 *-**(*F),PHMG120063550020047000007,3550000,,,03,폐업,,,032-555-7525,
지바프로,,176473.122532504,448843.518393659,2026-04-28 22:32:30,I,13,영업중,2025-08-07 09:02:20,,2025-08-06,,인천광역시 계양구 계산동 ** 계산주공아파트,PHMG120253550020047000044,3550000,"인천광역시 계양구 경명대로****번길 *, ***동 ***호 (계산동, 계산주공아파트)",21057,01,영업/정상,,,,41.3
위사카,2022-01-26,177129.065292383,447809.905922551,2026-04-28 22:32:21,I,03,폐업,2022-01-26 18:27:17,,2021-09-09,,인천광역시 계양구 작전동 ***-* 도두리마을대동아파트,PHMG120213550020047000081,3550000,"인천광역시 계양구 도두리로 **, ***동 ****호 (작전동, 도두리마을대동아파트)",21081,03,폐업,,,,
비엠(BM)헬스케어(브레인온),2022-11-18,175443.600387486,448501.590640248,2026-04-28 22:32:21,I,03,폐업,2022-11-19 11:40:13,,2019-07-26,,인천광역시 계양구 계산동 ***-**,PHMG120213550020047000076,3550000,"인천광역시 계양구 계양대로 ***, *층 (계산동)",21055,03,폐업,,,,154.7
신명치과상사,2021-06-15,197486.418122228,450683.054495595,2026-04-28 22:31:56,I,03,폐업,2021-06-15 13:15:16,,1994-12-29,,서울특별시 중구 봉래동*가 ***번지 *호 신성빌딩 ***호,PHMG119943010033047000008,3010000,"서울특별시 중구 세종대로*길 **, ***호 (봉래동*가, 신성빌딩)",04512,03,폐업,,,02-756-6366,
다이소 롯데던던동대문점,,200548.038848161,451497.626572161,2026-04-28 22:32:46,I,13,영업중,2025-11-04 13:53:23,,2025-09-25,,서울특별시 중구 을지로*가 **-** 동대문패션TV,PHMG120253010033047000058,3010000,"서울특별시 중구 을지로 ***, 동대문패션TV *층 (을지로*가)",04561,01,영업/정상,,,02-405-8402,
이마트24인천코아루점,,176763.216208234,448874.492576232,2026-04-28 22:32:23,I,13,영업중,2022-02-17 14:30:24,,2022-02-17,,인천광역시 계양구 용종동 ***-* 인천 계양 코아루 센트럴파크,PHMG120223550020047000067,3550000,"인천광역시 계양구 계양문화로 ***, ***동 ***호 (용종동, 인천 계양 코아루 센트럴파크)",21060,01,영업/정상,,,,
(주)롯데하이마트 계양점,,176599.816295302,448767.427225648,2026-04-28 22:32:03,I,13,영업중,2020-11-27 10:25:17,,2015-03-16,407-054,인천광역시 계양구 계산동 ****번지 *호 (주)롯데하이마트 계양점 *층,PHMG120153550020047000016,3550000,"인천광역시 계양구 장제로 ***, *층 (계산동, (주)롯데하이마트 계양점 )",21060,01,영업/정상,,,032-552-7200,6987.58
에이치케이이노엔(주),,198921.241301241,451495.985361171,2026-04-28 22:32:26,I,15,전출,2025-02-19 11:00:54,,2014-04-11,,서울특별시 중구 을지로*가 ***,PHMG120143010033047000030,3010000,"서울특별시 중구 을지로 ***, A동 *층, *층, *층 (을지로*가)",04551,05,제외/삭제/전출,,,02-6740-0212,
삼성산업안전(주),,199090.091049701,451723.585099121,2026-04-28 22:32:44,I,13,영업중,2026-03-24 17:08:01,,2022-03-21,,서울특별시 중구 수표동 **-*,PHMG120223010033047000119,3010000,"서울특별시 중구 수표로 **-**, 청계파크뷰 *층 ***호, ***호, 지하*층 엘***호, 엘***호 (수표동)",04543,01,영업/정상,,,02-2269-2057,
