건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,한실수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,양실수
2,,0,레모니맨션,여관업,,,,,202280.236452432,457742.032131223,2026-04-28 03:03:03,U,01,영업,,0,2026-04-27 10:55:43,1973-09-01,53.38,142-815,서울특별시 강북구 미아동 318-18 (학당길 4-1),N,,3080000-201-1973-00195,3080000,서울특별시 강북구 도봉로37길 17-5 (미아동),01175,01,영업/정상,여관업,02-0987-2835,1,0,1,0,5
0,,0,부광여인숙,여인숙업,,,,,175244.812650015,443188.517627688,2026-04-28 03:03:03,U,01,영업,,0,2026-04-27 08:58:09,1973-05-25,.00,403-859,인천광역시 부평구 부평동 534-69 외1필지,N,,3540000-201-2002-00308,3540000,"인천광역시 부평구 경원대로1368번길 12 (부평동,외1필지)",21404,01,영업/정상,여인숙업,032-502-1927,0,0,0,0,15
36,,4,(주)랜드마크스테이 인 송도,숙박업(생활),,,,,167003.10559807,433722.158523982,2026-04-28 03:03:03,U,01,영업,0,0,2026-04-27 14:28:01,2021-06-23,"10,706.56",406-081,인천광역시 연수구 송도동 29-2 송도랜드마크푸르지오시티,N,0,3520000-214-2021-00004,3520000,"인천광역시 연수구 아트센터대로168번길 101, 송도랜드마크푸르지오시티 (송도동)",22006,01,영업/정상,숙박업(생활),032-213-2101,4,0,36,0,394
7,,1,온앤오프호텔,여관업,,,,,175898.362670077,443553.014027999,2026-04-28 03:03:03,U,01,영업,,0,2026-04-27 09:55:26,2006-10-16,"1,390.27",403-010,"인천광역시 부평구 부평동 527-13 ,527-22",N,,3540000-201-2006-00004,3540000,인천광역시 부평구 장제로91번길 30 (부평동),21396,01,영업/정상,여관업,032-505-5181,7,1,0,0,34
0,,0,호텔 휴스테이,여관업,,,,,175708.225294378,443388.031233641,2026-04-28 03:03:03,U,01,영업,,0,2026-04-27 09:38:10,1987-11-16,162.50,403-821,인천광역시 부평구 부평동 155-8 외 1필지,N,,3540000-201-2002-00060,3540000,인천광역시 부평구 시장로20번길 20 (부평동),21395,01,영업/정상,여관업,,0,0,0,0,20
0,,0,델루나호텔,여관업,,,,,175763.902156684,443351.933034122,2026-04-28 03:03:03,U,01,영업,,0,2026-04-27 13:18:55,1989-08-19,601.68,403-824,인천광역시 부평구 부평동 587-5,N,,3540000-201-2002-00066,3540000,인천광역시 부평구 경원대로1417번길 18 (부평동),21395,01,영업/정상,여관업,032-528-5027,0,0,0,0,19
8,,1,더 화인(The fine),여관업,,,,,204236.661609428,471018.436871951,2026-04-28 03:03:03,U,01,영업,,0,2026-04-27 10:44:06,2003-12-17,"2,256.13",480-843,경기도 의정부시 의정부동 192-3,N,,3820000-201-2003-00019,3820000,경기도 의정부시 호국로1298번길 39-6 (의정부동),11692,01,영업/정상,여관업,031-856-9956,1,0,8,0,46
4,,1,수원스테이쉼,여관업,,,,,201210.672899091,420973.166488833,2026-04-28 03:03:03,U,01,영업,,7,2026-04-27 14:25:39,1999-01-19,543.86,440-818,경기도 수원시 장안구 영화동 278-7,N,,3750000-201-1999-00001,3740000,경기도 수원시 장안구 정조로922번길 21 (영화동),16269,01,영업/정상,여관업,031-252-2787,2,0,4,0,10
15,,4,잭슨나인스 호텔,일반호텔,,,,,262762.787471616,485918.488669297,2026-04-28 03:03:03,U,01,영업,0,2,2026-04-27 09:14:29,2022-12-15,"2,468.45",,강원특별자치도 춘천시 근화동 265-1 더잭슨나인스호텔,N,0,4181000-201-2022-00008,4181000,"강원특별자치도 춘천시 중앙로 193, 더잭슨나인스호텔 (근화동)",24360,01,영업/정상,일반호텔,033-253-0000,1,0,15,0,90
2,자가,0,블루문펜션,숙박업(생활),,,,,230826.022117794,471597.471991442,2026-04-28 03:03:03,U,01,영업,1,0,2026-04-27 13:41:11,2020-07-03,470.92,477-824,"경기도 가평군 상면 행현리 621-1 (1~2동), 621-2, 621-6, 621-7",N,0,4160000-214-2020-00017,4160000,"경기도 가평군 상면 수목원로386번길 43 (행현리 621-1(1~2동), 621-2, 621-6, 621-7)",12448,01,영업/정상,숙박업(생활),,1,0,2,0,10
