사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,다른겸업여부,도로명주소,도로명우편번호,재개업일자,수리대상의료기기의유형,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
파나테크,2023-07-26,,,2026-04-28 22:31:43,I,03,폐업,2023-07-26 15:42:21,,2004-11-11,140-849,서울특별시 용산구 원효로3가 산 51번지 30호 원효전자상가 4동 211호,PHMG320043020033047400001,3020000,,,,,,03,폐업,,,,
하나덴탈,2015-04-06,197894.485923645,449297.018186721,2026-04-28 22:31:43,I,03,폐업,2015-04-07 09:51:15,,2005-05-18,140-901,서울특별시 용산구 후암동 산 175번지 9호 용암빌딩 202호,PHMG320053020033047400002,3020000,,서울특별시 용산구 두텁바위로 43 (후암동),,,,03,폐업,,,,
티지아이씨디지탈(주),2011-10-24,,,2026-04-28 22:31:43,I,03,폐업,2012-02-09 14:42:04,,2006-06-23,140-879,"서울특별시 용산구 한강로3가 산 16번지 58호 용산전자오피스텔 301,302,303호",PHMG320063020033047400001,3020000,,,,,,03,폐업,,,32723500,
(주)필립스전자,2013-01-14,,,2026-04-28 22:31:43,I,03,폐업,2013-01-15 17:56:43,,2007-06-04,140-856,서울특별시 용산구 이태원2동 산 260번지 199호,PHMG320073020033047400001,3020000,,,,,,03,폐업,,,34459010,
시스템에어컨엔지니어링(주),2011-08-24,,,2026-04-28 22:31:43,I,03,폐업,2012-02-09 14:17:08,,2008-11-28,140-818,서울특별시 용산구 동자동 산 12번지 게이트웨이타워,PHMG320083020033047400003,3020000,,,,,,03,폐업,,,,
지반토스 유한회사,2022-01-26,201286.596267126,442791.494155941,2026-04-28 22:31:43,I,03,폐업,2022-01-26 15:39:28,,2008-02-12,,,PHMG320083020033047400004,3020000,N,"서울특별시 서초구 서초중앙로 62 (서초동, 우일빌딩)",06640,,보청기,03,폐업,,,34507175,
지반토스 유한회사,2022-01-26,201286.596267126,442791.494155941,2026-04-28 22:31:43,I,03,폐업,2022-01-26 15:40:02,,2008-02-12,,,PHMG320083020033047400005,3020000,N,서울특별시 서초구 서초중앙로 62 (반포동),06593,,보청기,03,폐업,,,,
(주)바이오로보틱스,2012-03-07,,,2026-04-28 22:31:43,I,03,폐업,2012-11-26 11:16:20,,2012-03-07,140-896,서울특별시 용산구 효창동 산 5번지 36호,PHMG320093020033047400001,3020000,,,,,,03,폐업,,,,
(유)시로나덴탈시스템즈코리아,2012-03-16,,,2026-04-28 22:31:43,I,03,폐업,2012-11-26 11:14:59,,2012-03-16,140-210,서울특별시 용산구 한남동 산 28번지 2호 한남프라자1층,PHMG320103020033047400001,3020000,Y,,,,,03,폐업,,,070-4035-5454,
(주)바텍코리아,2015-02-11,196288.764257138,447946.79077447,2026-04-28 22:31:43,I,03,폐업,2016-08-03 16:16:27,,2012-02-28,,,PHMG320123020033047400003,3020000,Y,서울특별시 용산구 원효로 138 (원효로3가),04366,,"방사선진료장치,",03,폐업,,,,
(주)필립스전자,2016-08-03,199214.10239741,448891.794439538,2026-04-28 22:31:43,I,03,폐업,2016-08-05 10:29:39,,2014-02-20,140-856,서울특별시 용산구 이태원동,PHMG320143020033047400001,3020000,Y,서울특별시 용산구 소월로 272 (이태원동),04342,,"진료용일반장비, 진단용장치, 수술용장치, 생명유지장치, 내장기능대용기, 생체현상측정기, 시술용기계기구, 체외용의료용품",03,폐업,,,,
(주)아시안스타,2018-05-14,198813.164235318,448200.24615366,2026-04-28 22:31:43,I,03,폐업,2018-05-14 16:41:06,,2014-03-17,140-861,서울특별시 용산구 이태원동,PHMG320143020033047400002,3020000,,서울특별시 용산구 녹사평대로 206 (이태원동),04345,,의료용 레이저 조사기,03,폐업,,,,
지스캔 주식회사,2016-11-07,196060.559012563,447732.807254308,2026-04-28 22:31:43,I,03,폐업,2016-11-08 11:05:28,,2015-09-04,,,PHMG320153020033047400001,3020000,,"서울특별시 용산구 청파로 40 (한강로3가, 삼구빌딩)",04373,,의료용 다기능 측정기록장치(IBS-2000),03,폐업,,,,
(주)용산서비스,2019-04-30,196370.746398773,447841.698787531,2026-04-28 22:31:43,I,03,폐업,2019-04-30 13:21:04,,2017-02-15,,,PHMG320173020033047400001,3020000,Y,"서울특별시 용산구 청파로 74, 본관C-312호 (한강로3가, 전자랜드)",04372,,"의료용 물질생성기, 의료용 진동기",03,폐업,,,02-706-6435,
엠에이디매직,2020-06-26,195956.83241222,447651.530984522,2026-04-28 22:31:43,I,03,폐업,2020-06-26 11:30:01,,2018-05-18,,,PHMG320183020033047400002,3020000,Y,"서울특별시 용산구 이촌로 5, 지하1층 109호 (한강로3가, 한강그랜드오피스텔)",04373,,환자운반차,03,폐업,,,,
주식회사 아시안스타,2025-08-19,198813.164235318,448200.24615366,2026-04-28 22:31:43,I,03,폐업,2025-08-19 17:01:48,,2024-05-10,,서울특별시 용산구 이태원동 534 천우빌딩,PHMG320243020033047400001,3020000,,"서울특별시 용산구 녹사평대로 206, 천우빌딩 2층 (이태원동)",04345,,고강도집속형초음파수술기,03,폐업,,,,
