영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,자가,GS25 뉴송정금강점,,193356.354779703,423808.543445065,2026-04-28 03:03:03,U,01,영업,0,,,,,,,,,2026-04-27 10:25:53,2025-07-04,3.30,435-070,"경기도 군포시 도마교동 *** 금강펜테리움센트럴파크 *차 상가동 ***,***호",N,,4020000-134-2025-00059,,4020000,"경기도 군포시 송부로**번길 **, 상가동 ***,***호 (도마교동, 금강펜테리움센트럴파크 *차)",15885,01,영업/정상,영업장판매,,,,
,,주식회사 자연드림,,174549.93104107,444466.74485426,2026-04-28 03:03:03,U,01,영업,0,,,,,,,,,2026-04-27 17:39:43,2013-04-26,,403-835,인천광역시 부평구 산곡동 ***-* 오남프라자 *층,N,,3540000-134-2013-00082,,3540000,"인천광역시 부평구 부영로***번길 ** (산곡동, 오남프라자 *층)",21377,01,영업/정상,영업장판매,032-515-2219,,,
,,하이브마켓,2026-04-27,187437.037841856,446140.068718483,2026-04-28 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-27 15:20:05,2024-10-07,,158-070,서울특별시 양천구 신정동 *** 목동신시가지아파트**단지,N,,3140000-134-2024-00115,,3140000,"서울특별시 양천구 목동서로 ***, ****동 ***호 (신정동, 목동신시가지아파트**단지)",08090,03,폐업,전자상거래(통신판매업),,,,
,자가,롯데쇼핑(주)롯데마트검단점,,170301.890390416,454745.482573844,2026-04-28 03:03:03,U,01,영업,17,,,,,,,,,2026-04-27 16:34:33,2009-12-17,17.00,404-260,인천광역시 서구 마전동 ****-* 롯데마트,N,,3560000-134-2009-00103,,3560000,"인천광역시 서구 원당대로 ***, 롯데마트 지하*층 일부호 (마전동)",22637,01,영업/정상,영업장판매,032-560-2500,,,
,자가,로렐컴퍼니,2026-04-27,211734.001815154,443555.311647511,2026-04-28 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-27 13:33:36,2025-03-18,3.30,138-812,서울특별시 송파구 가락동 ***,N,,3230000-134-2025-00060,,3230000,"서울특별시 송파구 오금로**길 **, *층 ****호 (가락동)",05782,03,폐업,전자상거래(통신판매업),,,,
,,롯데쇼핑(주)롯데슈퍼광명소하점,,190327.345575609,438471.587763776,2026-04-28 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-27 16:16:58,2011-08-17,2.00,423-050,경기도 광명시 소하동 **** 신촌프라자 *층,N,,3900000-134-2011-00067,,3900000,"경기도 광명시 하안로 *** (소하동, 신촌프라자 *층)",14318,01,영업/정상,영업장판매,02-898-5601,,,
,,롯데쇼핑(주)롯데인천동양점,,178403.855747037,450823.895181219,2026-04-28 03:03:03,U,01,영업,3.3,,,,,,,,,2026-04-27 15:50:44,2012-09-19,3.30,407-340,인천광역시 계양구 동양동 *** *층 일부,N,,3550000-134-2012-00089,,3550000,"인천광역시 계양구 당미*길 * (동양동,*층 일부)",21012,01,영업/정상,영업장판매,02-2290-5853,,,
,,수퍼에이,2026-04-27,191763.58658744,461226.7243924,2026-04-28 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-27 13:50:58,2022-10-17,,412-815,경기도 고양시 덕양구 지축동 ***-**,N,,3940000-134-2022-00942,,3940000,"경기도 고양시 덕양구 삼송로 ***-**, 헤리티지 **동 ***호 (지축동)",10583,03,폐업,전자상거래(통신판매업),,,,
,,롯데쇼핑(주) 롯데마트 상록점,,187595.980278835,421479.053985183,2026-04-28 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-04-27 14:29:16,2012-11-02,6.40,426-814,경기도 안산시 상록구 본오동 *** 지하*층,N,,3930000-134-2012-00174,,3930000,"경기도 안산시 상록구 반석로 **, 지하*층 (본오동)",15540,01,영업/정상,영업장판매,031-8086-0831,,,
,,요니와이,2026-04-27,,,2026-04-28 03:03:03,U,02,폐업,0,,,,,,,,,2026-04-27 06:27:06,2024-08-07,,413-080,경기도 파주시 다율동 **** 해오름마을*단지 제일풍경채 그랑베뉴*차,N,,4060000-134-2024-00258,,4060000,"경기도 파주시 청암로 ***, ***동 ****호 (다율동, 해오름마을*단지 제일풍경채 그랑베뉴*차)",10865,03,폐업,전자상거래(통신판매업),,,,
