사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,지정일자,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,약국영업면적,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
동서약국,1998-11-05,,,2026-04-28 22:31:05,I,1961-02-13,03,폐업,2009-07-09 10:27:28,,1961-02-13,131-221,서울특별시 중랑구 상봉1동 390번지 1호,PHMD119613060034084000001,3060000,0,,,03,폐업,,,02-434-9140
신당약국,2002-12-30,207518.303074017,453042.673964201,2026-04-28 22:31:05,I,1980-07-04,03,폐업,2010-01-06 13:57:36,,1980-07-04,131-207,서울특별시 중랑구 면목7동 651번지 9호,PHMD119613060034084000002,3060000,0,,,03,폐업,,,02-434-2454
가야약국,2003-01-03,207227.540778081,455590.803853851,2026-04-28 22:31:05,I,1964-02-13,03,폐업,2009-07-09 10:15:47,,1964-02-13,131-875,서울특별시 중랑구 중화1동 16번지 5호,PHMD119643060034084000001,3060000,0,,,03,폐업,,,02-435-0519
강우약국,1999-04-29,208038.285435976,454597.911471709,2026-04-28 22:31:05,I,1966-05-30,03,폐업,2014-01-16 09:18:26,,1966-05-30,131-817,서울특별시 중랑구 면목본동 90번지 50호,PHMD119663060034084000001,3060000,0,,,03,폐업,,,02-435-0832
금란프라자약국,2001-08-02,209039.984324905,455312.042928242,2026-04-28 22:31:13,I,2000-03-07,03,폐업,2009-07-17 10:50:38,,2000-03-07,131-802,서울특별시 중랑구 망우본동 202번지 9호,PHMD120003060034084000009,3060000,0,,,03,폐업,,,02-494-4023
성경약국,2002-03-14,206609.39082744,455004.076353875,2026-04-28 22:31:13,I,2000-03-27,03,폐업,2009-07-17 10:54:01,,2000-03-27,131-880,서울특별시 중랑구 중화2동 316번지 82호,PHMD120003060034084000010,3060000,0,,,03,폐업,,,02-2209-4996
행복한약국,2005-02-28,,,2026-04-28 22:31:13,I,2000-04-18,03,폐업,2009-07-17 10:55:38,,2000-04-18,131-865,서울특별시 중랑구 신내1동 666번지 710호,PHMD120003060034084000011,3060000,0,,,03,폐업,,,02-3423-2077
미즈약국,2001-05-07,208576.563459167,455256.135495293,2026-04-28 22:31:13,I,2000-04-21,03,폐업,2009-07-17 10:57:07,,2000-04-21,131-810,서울특별시 중랑구 망우본동 488번지 4호,PHMD120003060034084000012,3060000,0,,,03,폐업,,,02-495-1131
백민약국,2001-03-06,207423.898976834,457122.700436003,2026-04-28 22:31:13,I,2000-04-21,03,폐업,2009-07-17 10:59:27,,2000-04-21,131-846,서울특별시 중랑구 묵1동 13번지 신내아파트 상가동 105호,PHMD120003060034084000013,3060000,0,,,03,폐업,,,02-3422-1377
사가정약국,2001-10-31,207681.148332051,453197.060369517,2026-04-28 22:31:13,I,2000-05-15,03,폐업,2009-07-17 11:01:43,,2000-05-15,131-831,서울특별시 중랑구 면목3.8동 604번지 4호,PHMD120003060034084000014,3060000,0,,,03,폐업,,,02-432-8803
새열린약국,2000-08-31,208183.558935157,454911.24852306,2026-04-28 22:31:13,I,2000-05-26,03,폐업,2009-07-17 11:03:40,,2000-05-26,131-809,서울특별시 중랑구 망우본동 506번지 1호,PHMD120003060034084000015,3060000,0,,,03,폐업,,,02-2207-3355
양지약국,2001-03-06,206814.61345332,456135.882474094,2026-04-28 22:31:13,I,2000-05-29,03,폐업,2009-07-17 11:05:13,,2000-05-29,131-853,서울특별시 중랑구 묵2동 245번지 4호,PHMD120003060034084000016,3060000,0,,,03,폐업,,,02-972-6254
은혜약국,2002-08-12,208730.442724242,454872.900111092,2026-04-28 22:31:13,I,2000-07-05,03,폐업,2009-07-17 11:08:06,,2000-07-05,131-809,서울특별시 중랑구 망우본동 465번지 15호,PHMD120003060034084000017,3060000,0,,,03,폐업,,,02-494-6331
인제약국,2002-01-25,206689.364439191,454613.651437081,2026-04-28 22:31:13,I,2000-07-13,03,폐업,2009-07-17 11:10:00,,2000-07-13,131-861,서울특별시 중랑구 상봉2동 129번지 3호,PHMD120003060034084000018,3060000,0,,,03,폐업,,,02-434-6870
이화약국,2000-08-30,207978.489613092,455897.218274738,2026-04-28 22:31:13,I,2000-07-26,03,폐업,2009-07-17 11:19:09,,2000-07-26,131-863,서울특별시 중랑구 상봉1동 481번지 신내12단지 상가2층 108호,PHMD120003060034084000019,3060000,0,,,03,폐업,,,02-3421-0885
수정약국,2003-04-30,206936.570187916,455280.600452321,2026-04-28 22:31:13,I,2000-08-01,03,폐업,2009-07-17 11:20:36,,2000-08-01,131-881,서울특별시 중랑구 중화2동 303번지 14호 그린빌딩 3층,PHMD120003060034084000020,3060000,0,,,03,폐업,,,02-494-5606
동부약국,2004-07-16,209474.519086574,455383.920022737,2026-04-28 22:31:13,I,2000-08-10,03,폐업,2009-07-17 11:22:38,,2000-08-10,131-802,서울특별시 중랑구 망우본동 135번지 9호,PHMD120003060034084000021,3060000,0,,,03,폐업,,,02-2209-8073
5층약국,2005-10-31,208822.513981876,454841.336257396,2026-04-28 22:31:13,I,2000-08-18,03,폐업,2009-07-17 11:24:19,,2000-08-18,131-805,서울특별시 중랑구 망우본동 403번지 66호,PHMD120003060034084000022,3060000,0,,,03,폐업,,,02-2207-4345
햇빛약국,2001-06-30,206544.310283401,454555.027249222,2026-04-28 22:31:13,I,2000-08-24,03,폐업,2009-07-17 11:26:25,,2000-08-24,131-861,서울특별시 중랑구 상봉2동 130번지 99호,PHMD120003060034084000023,3060000,0,,,03,폐업,,,02-437-6693
중화약국,2000-09-05,206819.099731122,456165.641889191,2026-04-28 22:31:13,I,2000-08-29,03,폐업,2009-07-17 11:28:14,,2000-08-29,131-853,서울특별시 중랑구 묵2동 245번지 3호,PHMD120003060034084000024,3060000,0,,,03,폐업,,,02-977-9562
이화약국,2000-09-28,207978.489613092,455897.218274738,2026-04-28 22:31:13,I,2000-09-05,03,폐업,2010-01-08 10:25:50,,2000-09-05,131-863,서울특별시 중랑구 상봉1동 481번지 신내12단지 108호,PHMD120003060034084000025,3060000,0,,,03,폐업,,,02-3421-0885
보건약국,2005-05-16,207681.148332051,453197.060369517,2026-04-28 22:31:13,I,2000-09-07,03,폐업,2009-07-17 11:31:15,,2000-09-07,131-831,서울특별시 중랑구 면목3.8동 604번지 4호,PHMD120003060034084000026,3060000,0,,,03,폐업,,,
초목생약국,2001-12-28,207461.714560571,452544.850851529,2026-04-28 22:31:13,I,2000-09-28,03,폐업,2009-07-17 11:34:54,,2000-09-28,131-830,서울특별시 중랑구 면목4동 372번지 20호,PHMD120003060034084000028,3060000,0,,,03,폐업,,,02-2209-8966
이화약국,2000-10-19,207978.489613092,455897.218274738,2026-04-28 22:31:13,I,2000-09-29,03,폐업,2010-01-08 10:29:36,,2000-09-29,131-863,서울특별시 중랑구 상봉1동 481번지 신내12단지 108호,PHMD120003060034084000029,3060000,0,,,03,폐업,,,02-3421-0885
솔빛약국,2002-10-31,207605.319631481,454476.402983363,2026-04-28 22:31:13,I,2000-10-06,03,폐업,2009-07-17 11:38:04,,2000-10-06,131-817,서울특별시 중랑구 면목본동 91번지 69호 3층,PHMD120003060034084000030,3060000,0,,,03,폐업,,,02-496-9053
태양약국,2002-12-30,206859.162457338,456998.29355939,2026-04-28 22:31:13,I,2000-10-31,03,폐업,2009-07-17 11:40:16,,2000-10-31,131-848,서울특별시 중랑구 묵1동 164번지 1호,PHMD120003060034084000031,3060000,0,,,03,폐업,,,02-973-2214
묵동고려약국,2001-01-22,206718.673280218,456725.062277459,2026-04-28 22:31:13,I,2000-12-13,03,폐업,2009-07-17 11:41:53,,2000-12-13,131-851,서울특별시 중랑구 묵2동 238번지 9호 1층,PHMD120003060034084000032,3060000,0,,,03,폐업,,,02-974-8199
