사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,판매점영업면적,휴업시작일자,휴업종료일자,소재지전화번호
세븐일레븐 마곡르보아점,2018-07-18,183831.936163085,451671.901163216,2026-04-28 22:00:58,I,03,폐업,2018-07-18 15:33:40,,2016-02-17,,,PHMH320163150037087500013,3150000,"서울특별시 강서구 마곡중앙5로 87 (마곡동, 우성르보아투)",07599,03,폐업,50,,,
씨유 발산열린점,2025-03-07,185590.150482304,450885.185701751,2026-04-28 22:00:58,I,03,폐업,2025-03-10 11:37:20,,2016-02-22,,,PHMH320163150037087500014,3150000,"서울특별시 강서구 마곡중앙6로 93 (마곡동, 열린프라자)",07803,03,폐업,50,,,
씨유 화곡정원점,2018-08-07,186853.073777308,450149.128774823,2026-04-28 22:00:58,I,03,폐업,2018-08-07 17:44:24,,2016-02-22,,,PHMH320163150037087500015,3150000,"서울특별시 강서구 공항대로46길 57 (화곡동, 정원빌딩)",07654,03,폐업,,,,
GS25 강서우장점,2020-02-24,185353.403091544,449419.697132348,2026-04-28 22:00:58,I,03,폐업,2020-02-25 15:14:51,,2016-03-04,,,PHMH320163150037087500017,3150000,서울특별시 강서구 강서로45다길 21 (화곡동),07705,03,폐업,90,,,
지에스25 강서메르디앙,2018-12-12,186097.62351214,450527.175342747,2026-04-28 22:00:58,I,03,폐업,2018-12-12 17:44:22,,2016-03-16,,,PHMH320163150037087500018,3150000,서울특별시 강서구 공항대로38길 106 (내발산동),07651,03,폐업,44,,,
씨유 발산진흥점,2017-08-31,185120.55374291,450080.859549327,2026-04-28 22:00:58,I,03,폐업,2017-08-31 17:13:47,,2016-03-18,,,PHMH320163150037087500019,3150000,서울특별시 강서구 강서로47길 67 (내발산동),07638,03,폐업,80,,,
(주)코리아세븐 방화새싹공원점,2023-12-05,183036.405903574,451927.409191809,2026-04-28 22:01:04,I,03,폐업,2023-12-05 14:14:12,,2016-04-07,,,PHMH320163150037087500021,3150000,서울특별시 강서구 양천로14길 86 (방화동),07610,03,폐업,49,,,
지에스25 공항화물청사,2021-01-29,183007.220061564,450515.642035894,2026-04-28 22:00:58,I,03,폐업,2021-02-01 16:52:17,,2016-04-15,,,PHMH320163150037087500024,3150000,"서울특별시 강서구 하늘길 233 (공항동, 포트골프)",07505,03,폐업,90,,,
지에스25 등촌투웨니,2018-06-29,187936.189010435,450125.978645866,2026-04-28 22:00:58,I,03,폐업,2018-06-29 16:38:05,,2016-04-15,,,PHMH320163150037087500025,3150000,"서울특별시 강서구 공항대로59다길 14 (등촌동, 그린빌)",07563,03,폐업,39,,,
세븐일레븐 화곡중앙점,2024-03-29,185841.426327403,448686.229861694,2026-04-28 22:00:58,I,03,폐업,2024-03-29 18:01:19,,2016-04-25,,,PHMH320163150037087500026,3150000,서울특별시 강서구 강서로31길 10 (화곡동),07715,03,폐업,64,,,
