건축물동수,건축물연면적,사업장명,탈의실면적,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지도자수,휴게실면적,지번주소,회원모집총인원,관리번호,사무실면적,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,오성헬스클럽,,2008-05-23,,205957.334963839,448148.563344309,체력단련장업,2026-04-28 22:31:36,I,03,폐업,0,2008-05-23 09:22:05,,1992-10-01,,143-862,,,서울특별시 광진구 자양동 553-428,,CDFH3301061992000001,,3040000,사립,서울특별시 광진구 뚝섬로 523  (자양동),,03,폐업,,,
0,0,골드헬스크럽,,1999-02-18,,205972.304691027,449529.700851672,체력단련장업,2026-04-28 22:31:36,I,03,폐업,,2003-05-13 11:23:25,,1993-01-26,,143-916,0,,서울특별시 광진구 화양동 21-4,,CDFH3301061993000001,,3040000,사립,서울특별시 광진구 광나루로 346  (화양동),,03,폐업,,,
,,하나헬스크럽,,2002-06-14,,208016.594414211,449907.93399114,체력단련장업,2026-04-28 22:31:36,I,03,폐업,0,2003-12-22 11:33:54,,1994-03-29,,143-817,,,서울특별시 광진구 구의동 55-10 지층,,CDFH3301061994000001,,3040000,사립,"서울특별시 광진구 자양로45길 5  (구의동,지층)",,03,폐업,,,
,,원프러스휘트니스,,2003-10-31,,207912.732166367,449925.285277051,체력단련장업,2026-04-28 22:31:36,I,03,폐업,0,2003-12-29 16:43:37,,1995-04-06,,143-817,,,서울특별시 광진구 구의동 53-6,,CDFH3301061995000003,,3040000,사립,서울특별시 광진구 천호대로 667  (구의동),,03,폐업,,,
,,극동헬스크럽,,2005-11-08,,207055.507996434,450542.187939719,체력단련장업,2026-04-28 22:31:36,I,03,폐업,0,2005-11-08 11:35:50,,1995-04-08,,143-898,,,서울특별시 광진구 중곡동 157-4,,CDFH3301061995000004,,3040000,사립,서울특별시 광진구 천호대로 561  (중곡동),,03,폐업,,,
0,0,쾌남헬스,,2001-01-27,,207771.329956322,450223.753609897,체력단련장업,2026-04-28 22:31:36,I,03,폐업,,2003-05-13 11:23:25,,1995-04-28,,143-888,0,,서울특별시 광진구 중곡동 93-46,,CDFH3301061995000005,,3040000,사립,서울특별시 광진구 용마산로 8  (중곡동),,03,폐업,,,
0,0,삼산헬스클럽,,1999-12-30,,207541.359908776,447754.585448225,체력단련장업,2026-04-28 22:31:36,I,03,폐업,,2003-05-13 11:23:25,,1995-05-09,,143-875,0,,서울특별시 광진구 자양동 681-40,,CDFH3301061995000006,,3040000,사립,서울특별시 광진구 자양로 42  (자양동),,03,폐업,,,44446313
,,다이나믹헬스,,2008-04-15,,205969.435150896,449587.738415801,체력단련장업,2026-04-28 22:31:36,I,03,폐업,0,2008-04-15 10:21:12,,1995-10-07,,143-840,,,서울특별시 광진구 군자동 355-12,,CDFH3301061995000007,,3040000,사립,서울특별시 광진구 광나루로 345  (군자동),,03,폐업,,,
,,슈헬스크럽,,2016-01-04,,208009.547522976,449968.787570106,체력단련장업,2026-04-28 22:31:36,I,03,폐업,0,2016-01-04 13:28:29,,1996-05-08,,143-817,,,서울특별시 광진구 구의동 50-16 (4층),,CDFH3301061996000004,,3040000,사립,"서울특별시 광진구 자양로45길 16  (구의동,(4층))",,03,폐업,,,
,,실로암헬스,,2004-03-25,,207487.025205602,451864.561543605,체력단련장업,2026-04-28 22:31:36,I,03,폐업,0,2004-05-10 16:44:52,,1996-09-18,,143-900,,,서울특별시 광진구 중곡동 169-80,,CDFH3301061996000007,,3040000,사립,서울특별시 광진구 용마산로 171  (중곡동),,03,폐업,,,
