"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보x(epsg5174)","좌표정보y(epsg5174)","자산규모","부채총액","자본금","판매방식명",
"1","통신판매업","08_26_04_P","3730000","2025373016230200503","2025-12-31","","01","영업/정상","01","정상영업","","","","","","","","울산광역시 울주군 범서읍 구영리 ***-* 구영*주공아파트 ***동 ***호","울산광역시 울주군 범서읍 점촌*길 **, ***동 ***호 (구영*주공아파트)","44923","오브조이(OF JOY)","2025-12-31 13:42:06","I","2026-01-03 00:20:02","의류/패션/잡화/뷰티","402925.918175946","232595.593221524","0","0","0","인터넷",
"2","통신판매업","08_26_04_P","3730000","2025373016230200504","2024-09-02","","01","영업/정상","01","정상영업","","","","","","","","울산광역시 울주군 상북면 지내리 ***","울산광역시 울주군 상북면 재궁골길 **-*","44903","정오상사","2025-12-31 14:30:19","I","2026-01-03 00:20:02","종합몰","391953.540541603","235471.796838982","0","0","0","인터넷",
"3","통신판매업","08_26_04_P","5350000","2025535037430201278","2024-07-11","","01","영업/정상","01","정상영업","","","","","","","","경상남도 김해시 주촌면 농소리 ***-* 김해중소기업비즈니스센터","경상남도 김해시 주촌면 골든루트로 **-**, 김해중소기업비즈니스센터 ***호","50969","(주)더원플러스","2025-12-31 16:50:01","I","2026-01-03 00:20:02","가구/수납용품","366708.022145427","191976.554297444","0","0","0","인터넷",
"4","통신판매업","08_26_04_P","3130000","2025313027830203182","2025-12-30","","03","폐업","03","폐업처리","2025-12-31","","","","","","","서울특별시 마포구 서교동 ***-** 기린빌딩 *층 ****호","서울특별시 마포구 어울마당로 ***, 기린빌딩 *층 ****호 (서교동)","04053","주식회사 아니모필로소피아","2025-12-31 11:36:37","I","2026-01-03 00:20:02","종합몰 의류/패션/잡화/뷰티","193260.779825462","450395.053477987","0","0","0","인터넷",
"5","통신판매업","08_26_04_P","3130000","2025313027830203187","2019-08-16","","01","영업/정상","01","정상영업","","","","","3661-0773","","","서울특별시 마포구 당인동 **-** 현대타운 B동 제*층 제***호","서울특별시 마포구 어울마당로 *, B동 제*층 제***호 (당인동, 현대타운)","04074","가연통상","2025-12-31 10:31:49","I","2026-01-03 00:20:02","기타","192779.188717141","449284.798928513","0","0","0","인터넷",
"6","통신판매업","08_26_04_P","3130000","2025313027830203188","2022-10-31","","01","영업/정상","01","정상영업","","","","","","","","서울특별시 마포구 동교동 ***-* LC TOWER ***호","서울특별시 마포구 양화로 ***, LC TOWER ***호 (동교동)","04051","(주) 쇼니버스","2025-12-31 14:32:29","I","2026-01-03 00:20:02","의류/패션/잡화/뷰티","193383.415924936","450602.382290296","0","0","0","인터넷, 기타",
"7","통신판매업","08_26_04_P","5690000","2025569040830200811","2025-12-31","","01","영업/정상","01","정상영업","","","","","","","","세종특별자치시 나성동 *** 센트럴타워","세종특별자치시 나성북로 **, 센트럴타워 ***-***호 H**호 (나성동)","30128","아이에듀","2025-12-31 15:14:05","I","2026-01-03 00:20:02","교육/도서/완구/오락","223130.16408512","332120.976177086","0","0","0","기타",
"8","통신판매업","08_26_04_P","3390000","2025339010930200607","2022-11-01","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 사상구 괘법동 *** 산업용품유통상가","부산광역시 사상구 괘감로 **, 산업용품유통상가 *동 ***호 (괘법동)","46977","에스에이툴","2025-12-31 17:16:14","I","2026-01-03 00:20:02","종합몰","380291.656000926","186303.922053702","0","0","0","인터넷",
"9","통신판매업","08_26_04_P","3390000","2025339010930200608","2025-12-31","","01","영업/정상","01","정상영업","","","","","","","","부산광역시 사상구 주례동 *** 조양아파트","부산광역시 사상구 냉정로 **, *동 *층 **호 (주례동, 조양아파트)","47014","반드시닷컴","2025-12-31 17:13:40","I","2026-01-03 00:20:02","종합몰","382691.209043739","185086.183048636","0","0","0","인터넷",
"10","통신판매업","08_26_04_P","3450000","2025345016030201371","2023-02-17","","01","영업/정상","01","정상영업","","","","","","","","대구광역시 북구 침산동 ***-*","대구광역시 북구 침산남로**길 *, 비동 ***-에이***호 (침산동)","41559","주식회사 스테파니","2025-12-31 16:44:46","I","2026-01-03 00:20:02","종합몰","343243.771524096","266628.656676346","0","0","0","인터넷",
