사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
씨유 관악쑥고개점,2026-05-22,195028.352727091,441904.834130019,2026-05-23 03:03:03,U,03,폐업,2026-05-22 18:26:34,,2023-07-26,,서울특별시 관악구 봉천동 ****-*,PHMG120233200033047000083,3200000,"서울특별시 관악구 쑥고개로 **, *층 (봉천동)",08831,03,폐업,,,,
코리아세븐 경기광주도척방도점,,229604.679502178,420571.356014539,2026-05-23 03:03:03,U,13,영업중,2026-05-22 12:09:41,,2023-01-31,,경기도 광주시 도척면 방도리 ***-*,PHMG120235540016047000016,5540000,경기도 광주시 도척면 마도로 ***,12818,01,영업/정상,,,1577-0711,100
(주)코리아세븐 진접센트레빌점,,217468.731614613,470914.352454117,2026-05-23 03:03:03,U,13,영업중,2026-05-22 14:33:28,,2021-05-04,,경기도 남양주시 진접읍 부평리 ***-*,PHMG120213990310047000037,3990000,"경기도 남양주시 진접읍 부평로 **, ***, ***호",12020,01,영업/정상,,,02-3284-8120,66
(주)코리아세븐 성남도촌휴먼시아점,,213012.372144209,434623.962185297,2026-05-23 03:03:03,U,13,영업중,2026-05-22 16:53:34,,2024-02-27,,경기도 성남시 중원구 도촌동 *** LH 동분당 센트럴파크,PHMG120213780063047000032,3780000,"경기도 성남시 중원구 도촌남로 **, ***-***호 (도촌동, LH 동분당 센트럴파크)",13428,01,영업/정상,,,1577-0711,
(주)코리아세븐 S4오남점,,216747.787603187,466814.06280849,2026-05-23 03:03:03,U,13,영업중,2026-05-22 13:52:44,,2022-04-21,,경기도 남양주시 오남읍 양지리 ***-*,PHMG120223990310047000136,3990000,"경기도 남양주시 오남읍 진건오남로 지하***, 지하*층 대합실",12036,01,영업/정상,,,02-3284-8120,
하미팜,2026-05-22,187615.606849158,421895.008282583,2026-05-23 03:03:03,U,03,폐업,2026-05-22 09:52:01,,2025-01-31,,경기도 안산시 상록구 본오동 ***-** 태영아파트,PHMG120253930162047000002,3930000,"경기도 안산시 상록구 충장로 ***, ***동 ***호 (본오동, 태영아파트)",15539,03,폐업,,,,
우노라,2026-05-22,175704.930517223,443747.602757893,2026-05-23 03:03:03,U,03,폐업,2026-05-22 13:59:19,,2025-07-28,,인천광역시 부평구 부평동 ***-** 부평중앙지하상가 지하*층 일부(다*)호,PHMG120253540021047000045,3540000,"인천광역시 부평구 시장로 지하**, 부평중앙지하상가 지하*층 일부(다*)호 (부평동)",21394,03,폐업,,,,7.95
코리아세븐 도척리조트점,,226937.593694799,426377.514633158,2026-05-23 03:03:03,U,13,영업중,2026-05-22 12:07:07,,2023-04-25,,경기도 광주시 도척면 도웅리 ***,PHMG120235540016047000041,5540000,"경기도 광주시 도척면 독고개길***번길 *, *층",12809,01,영업/정상,,,1577-0711,
(주)코리아세븐 사당서광점,,198217.626127441,442674.155448076,2026-05-23 03:03:03,U,13,영업중,2026-05-22 13:52:11,,2021-05-04,,서울특별시 동작구 사당동 ***-* 서광시티뷰 ***호,PHMG120213190033047000029,3190000,"서울특별시 동작구 동작대로**다길 **, 서광시티뷰 ***호 (사당동)",07008,01,영업/정상,,,,
코리아세븐 이수남성점,,198297.499577352,443030.254782831,2026-05-23 03:03:03,U,13,영업중,2026-05-22 13:10:51,,2021-05-04,,서울특별시 동작구 사당동 **-** 도성빌딩 외 *필지 제*층 제***호,PHMG120213190033047000028,3190000,"서울특별시 동작구 동작대로**가길 **, 제***호 (사당동, 도성빌딩)",06997,01,영업/정상,,,,
디엔에스컴퍼니,,192652.282023976,449483.723207355,2026-05-23 03:03:03,U,13,영업중,2026-05-22 17:59:27,,2023-07-06,,서울특별시 마포구 합정동 ***-*,PHMG120233130033047000118,3130000,"서울특별시 마포구 독막로*길 *, *층 *호 (합정동)",04072,01,영업/정상,,,,
코리아세븐 성남반석정든점,,214125.715377282,437410.776047952,2026-05-23 03:03:03,U,13,영업중,2026-05-22 16:54:12,,2024-03-26,,경기도 성남시 중원구 상대원동 ****-** *층,PHMG120213780063047000040,3780000,"경기도 성남시 중원구 금상로 **, *층 (상대원동)",13396,01,영업/정상,,,02-3284-8120,
(주)코리아세븐 신대방점,,193535.934779684,443925.162232397,2026-05-23 03:03:03,U,13,영업중,2026-05-22 14:20:56,,2022-02-11,,서울특별시 동작구 신대방동 ***-**,PHMG120223190033047000052,3190000,"서울특별시 동작구 보라매로 **, *층 (신대방동)",07060,01,영업/정상,,,,
Gs25수유우이점,2026-05-22,201330.67732397,459503.279457319,2026-05-23 03:03:03,U,03,폐업,2026-05-22 15:34:56,,2022-09-21,,서울특별시 강북구 수유동 *** 창성빌딩,PHMG120223080033047000164,3080000,"서울특별시 강북구 삼양로**길 **, 창성빌딩 *층 (수유동)",01085,03,폐업,,,,
(주)코리아세븐 남양주진접점,,217429.354088176,468067.700697005,2026-05-23 03:03:03,U,13,영업중,2026-05-22 14:19:14,,2021-05-04,,경기도 남양주시 진접읍 금곡리 ****-* 폴리프라자Ⅲ,PHMG120213990310047000035,3990000,"경기도 남양주시 진접읍 해밀예당*로 **, 폴리프라자Ⅲ ***호",12064,01,영업/정상,,,02-3284-8120,
