사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,DTL_TASK_SE_NM,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
(주)코리아팩토리,,200743.604803356,450138.549769796,2026-04-26 22:33:07,I,0002,폐업,,2022-04-28 18:11:02,,2018-05-02,0,,서울특별시 중구 신당동 ***-* 전진빌딩,301000004620180003,3010000,L00,"서울특별시 중구 동호로**길 **, 전진빌딩 *층 (신당동)",04598,,03,폐업,,,02-2256-7112
SHIBASLUV,2025-12-30,210704.00864061,445377.205447926,2026-04-26 22:33:06,I,0002,폐업,,2025-12-31 09:34:33,,2021-08-02,0,,서울특별시 송파구 방이동 ***-* 보람파크빌리지,323000004620210025,3230000,000,"서울특별시 송파구 마천로 *, ***동 *층 ***호 (방이동, 보람파크빌리지)",05640,,03,폐업,,,
시바랑 냥이랑,,166613.692362606,446761.782792737,2026-04-26 22:33:10,I,0002,폐업,,2022-04-28 18:11:31,,2019-03-20,0,,인천광역시 서구 청라동 ***-* 청라파크자이더테라스 *단지 상가동 ***호,356000004620190011,3560000,000,"인천광역시 서구 보석로 **, 상가동 ***호 (청라동, 청라파크자이더테라스 *단지)",22766,,03,폐업,,,
앤 펫,,169500,447993.88,2026-04-26 22:33:10,I,0002,폐업,,2022-04-28 18:11:42,,2021-07-05,0,,인천광역시 서구 청라동 ***-** 지젤엠청라 A동 B*-*호,356000004620210042,3560000,000,"인천광역시 서구 청라에메랄드로 **, 지젤엠청라 A동 B*층 ***호 (청라동)",22738,,03,폐업,,,
이그조틱코리아,,201866.039519433,451543.337800303,2026-04-26 22:33:07,I,0004,말소,,2022-04-28 18:11:02,,2018-05-31,0,,서울특별시 중구 황학동,301000004620160001,3010000,000,"서울특별시 중구 퇴계로 ***, *층 ***호 (황학동, 황학 아크로타워)",04575,,04,취소/말소/만료/정지/중지,,,
프리제(frise),,195385.366085745,448052.919062111,2026-04-26 22:33:05,I,0000,정상,,2025-02-03 10:56:59,,2025-02-03,0,,서울특별시 용산구 청암동 **-* 상훈빌딩,302000004620250001,3020000,000,"서울특별시 용산구 원효로 **, 상훈빌딩 (청암동)",04359,,01,영업/정상,,,
디지탈디자인(INTERZOO),,191040.327177392,452926.321686795,2026-04-26 22:33:07,I,0000,정상,,2022-04-28 18:11:02,,2014-11-27,0,,서울특별시 은평구 수색동 **-** ***호,311000004620140008,3110000,000,"서울특별시 은평구 수색로 ***-*, ***호 (수색동)",03505,,01,영업/정상,,,02-308-8494
Marilovelle,,194109.446430035,456064.931550049,2026-04-26 22:33:07,I,0000,정상,,2024-03-07 17:38:41,,2024-03-07,0,,서울특별시 은평구 녹번동 *-*,311000004620240001,3110000,000,서울특별시 은평구 통일로**길 **-* (녹번동),03370,,01,영업/정상,,,
D&C Land,2025-12-31,168839.819084359,439481.746469013,2026-04-26 22:33:09,I,0004,말소,,2025-12-31 18:17:40,,2023-08-01,0,,인천광역시 미추홀구 용현동 ***-**,351050004620230001,3510500,000,인천광역시 미추홀구 인주대로 ** (용현동),22177,,04,취소/말소/만료/정지/중지,,,032-888-9910
아르떼퍼피,,210868.397496689,442053.227933005,2026-04-26 22:33:06,I,0000,정상,,2022-04-28 18:11:10,,2022-03-30,0,,서울특별시 송파구 문정동 *** 파크하비오,323000004620220014,3230000,000,"서울특별시 송파구 송파대로 ***, ***동 ***호 (문정동, 파크하비오)",05837,,01,영업/정상,,,
PET WAVE,,209317.012187704,444964.289630833,2026-04-26 22:33:06,I,0000,정상,,2024-05-21 15:13:34,,2024-04-18,0,,서울특별시 송파구 송파동 **-*,323000004620240001,3230000,L00,서울특별시 송파구 송파대로 *** (송파동),05625,,01,영업/정상,,,02-1551-1515
도레미캣,,210702.180783504,448114.228064344,2026-04-26 22:33:06,I,0000,정상,,2025-06-23 16:41:17,,2025-06-23,0,,서울특별시 송파구 풍납동 ***,323000004620250001,3230000,000,"서울특별시 송파구 올림픽로 ***-*, *층 (풍납동)",05520,,01,영업/정상,,,
AMI PET CONSULT,,160362.186075118,444309.438790404,2026-04-26 22:33:05,I,0000,정상,,2022-04-28 18:09:58,,2021-07-17,0,,인천광역시 중구 중산동 ****-**,349000004620210017,3490000,000,"인천광역시 중구 백운로 **, *층 (중산동)",22358,,01,영업/정상,,,
AMI PET,,160335.805546928,444310.350002991,2026-04-26 22:33:05,I,0000,정상,,2022-04-28 18:09:58,,2021-07-18,0,,인천광역시 중구 중산동 ****-*,349000004620210020,3490000,000,"인천광역시 중구 백운로 **, *층 (중산동)",22358,,01,영업/정상,,,
캔디캣,,155631.185296212,443670.391762751,2026-04-26 22:33:05,I,0000,정상,,2022-04-28 18:09:58,,2022-01-12,0,,인천광역시 중구 운서동 ****-**,349000004620220002,3490000,000,"인천광역시 중구 화랑목로***번길 **, ***호 (운서동)",22361,,01,영업/정상,,,
