사업장명,사업장부지용도구분명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지면적,지번주소,제조구분명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자
신대양산소,,판매,,195709.467531529,449165.775708211,2026-04-26 22:30:33,I,01,영업중,2025-07-18 16:05:53,1975-02-01,,서울특별시 마포구 공덕동 255-23,,1975313016102100001,3130000,서울특별시 마포구 마포대로 112-5 (공덕동),,,01,영업/정상,,
대원상사,상업.업무용,판매,,191847.837708879,450582.054620428,2026-04-26 22:30:33,I,01,영업중,2018-08-10 15:01:22,1979-09-12,,,,1978313016102100001,3130000,서울특별시 마포구 월드컵로 99-1 (망원동),,,01,영업/정상,,
(주)미화실업,업무용,제조,,194354.072326872,450091.328603477,2026-04-26 22:30:33,I,01,영업중,2022-04-13 14:52:31,2007-09-19,,서울특별시 마포구 노고산동 107-111 미화빌딩,냉동,1986313011802200001,3130000,"서울특별시 마포구 백범로 18  (노고산동,미화빌딩)",,,01,영업/정상,,
서울서부지방법원,주거용,제조,,195997.415918035,449687.009632648,2026-04-26 22:30:34,I,01,영업중,2018-12-27 09:08:12,1995-03-06,,서울특별시 마포구 공덕동 105-1,냉동,1995313008002100042,3130000,서울특별시 마포구 마포대로 174 (공덕동),,,01,영업/정상,,
서강대학교(미디어센타),기타,제조,,194564.277152493,449886.700377146,2026-04-26 22:30:34,I,01,영업중,2021-02-08 16:45:30,1997-01-15,,,냉동,1997313011802200001,3130000,서울특별시 마포구 백범로 35 (신수동),,,01,영업/정상,,
서울서부지방검찰청,주거용,제조,,195997.415918035,449687.009632648,2026-04-26 22:30:34,I,01,영업중,2019-01-18 16:02:14,1995-08-29,,서울특별시 마포구 공덕동 105-1,냉동,2001313008002100043,3130000,서울특별시 마포구 마포대로 174 (공덕동),,,01,영업/정상,,
사단법인한국네비게이토선교회,주거용,제조,,192537.924238467,451271.115154821,2026-04-26 22:30:34,I,01,영업중,2018-06-28 11:10:58,2000-06-19,,서울특별시 마포구 성산동 9-2,냉동,2001313008002200045,3130000,"서울특별시 마포구 성미산로13길 65, 네비게이토빌딩 (성산동)",03974,,01,영업/정상,,
서울교통공사(대흥역),주거용,제조,,194838.358535945,449497.94100549,2026-04-26 22:30:34,I,01,영업중,2023-06-22 10:46:11,2000-12-12,,서울특별시 마포구 대흥동 128-1 대흥역,냉동,2001313008002200046,3130000,"서울특별시 마포구 대흥로 85 (대흥동, 대흥역)",,,01,영업/정상,,
정도진흥기업(주),상업.업무용,제조,,194273.598098938,450318.724130121,2026-04-26 22:30:34,I,01,영업중,2023-02-07 17:15:35,2001-06-12,,서울특별시 마포구 노고산동 57-1,냉동,2001313008002200048,3130000,서울특별시 마포구 신촌로 94 (노고산동),,,01,영업/정상,,
서교동교회,주거기타,제조,,192417.047323064,450257.138498557,2026-04-26 22:30:34,I,01,영업중,2021-10-01 15:20:00,2001-10-30,,서울특별시 마포구 서교동 481-3,냉동,2001313008002200049,3130000,서울특별시 마포구 동교로 116 (서교동),,,01,영업/정상,,
