사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,총면적,의료인수,입원실수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,진료과목내용,진료과목내용명,의료기관종별명,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,병상수,휴업시작일자,휴업종료일자,소재지전화번호
현대카드 부속의원,,192689.645965823,447427.723209548,2026-04-26 22:32:47,I,13,영업중,85.97,1,0,2026-04-13 13:31:15,,2026-04-07,,서울특별시 영등포구 여의도동 15-21 현대카드빌딩 1관,122 120 111 101,"내과, 소아청소년과, 재활의학과, 가정의학과",부속의원,PHMA320263180034041300001,3180000,"서울특별시 영등포구 의사당대로 3, 현대카드빌딩 1관 1층 (여의도동)",07237,01,영업/정상,0,,,02-2167-6070
교보생명보험㈜ 부속의원,2011-05-02,197993.904628438,452032.958591394,2026-04-26 22:30:30,I,03,폐업,669.7,4,0,2011-05-02 16:45:49,,1980-12-19,110-714,서울특별시 종로구 종로1가 1번지 교보생명빌딩 2층,101,내과,부속의원,PHMA319803000034041300001,3000000,"서울특별시 종로구 종로 1 (종로1가,교보생명빌딩 2층)",,03,폐업,0,,,02-721-2741
서울특별시 학교보건원,2006-06-28,,,2026-04-26 22:30:30,I,03,폐업,0,1,0,2009-05-15 10:03:44,,1984-08-17,110-062,서울특별시 종로구 신문로2가 2-64,101,내과,부속의원,PHMA319843000034041300001,3000000,,,03,폐업,0,,,
서울특별시 학교보건원치과의원,2006-06-28,196999.904314506,451972.796117861,2026-04-26 22:30:31,I,03,폐업,0,1,0,2009-05-15 10:08:29,,1984-08-17,110-062,서울특별시 종로구 신문로2가 2번지 64호,401,치과,부속의원,PHMA319843000034041300002,3000000,서울특별시 종로구 송월길 48 (신문로2가),,03,폐업,0,,,
(주)한국스탠다드차타드은행 부속치과의원,2022-04-30,198375.290383028,452091.983666703,2026-04-26 22:30:31,I,03,폐업,64.17,1,0,2022-05-04 17:14:53,,1987-09-30,110-702,서울특별시 종로구 공평동 100번지 지하1층,401,치과,부속의원,PHMA319873000034041300002,3000000,"서울특별시 종로구 종로 47, 지하1층 (공평동)",03160,03,폐업,0,,,02-3702-3396
금호생명보험㈜부속의원,2006-01-24,197542.319572426,452039.262262313,2026-04-26 22:30:31,I,03,폐업,0,1,0,2009-05-15 10:14:17,,2001-01-31,110-061,서울특별시 종로구 신문로1가 57번지,101,내과,부속의원,PHMA320013000034041300002,3000000,서울특별시 종로구 새문안로 75 (신문로1가),,03,폐업,0,,,
알리안츠제일생명보험(주)부속의원,2003-10-06,,,2026-04-26 22:32:47,I,03,폐업,0,1,0,2015-04-24 10:09:57,,1900-01-01,,서울특별시 영등포구 여의도동 알리안츠타워6층  45-21,101,내과,부속의원,PHMA319003180034041300004,3180000,,,03,폐업,0,,,02-2076-4047
대한결핵협회결핵연구원부설복십자의원,2015-04-24,,,2026-04-26 22:32:47,I,03,폐업,0,1,0,2015-04-24 10:05:09,,1977-03-28,,서울특별시 영등포구 당산동6가   121-150,101,내과,부속의원,PHMA319773180034041300001,3180000,,,03,폐업,0,,,02-2076-4047
한국수출입은행부속의원,2024-08-19,193159.124448371,447376.605815263,2026-04-26 22:32:47,I,03,폐업,0,1,0,2024-08-05 09:44:13,,1977-12-06,150-996,서울특별시 영등포구 여의도동 16번지 1호,101,내과,부속의원,PHMA319773180034041300002,3180000,서울특별시 영등포구 은행로 38 (여의도동),07242,03,폐업,0,,,02-3779-6895
근로복지공단,2012-10-22,,,2026-04-26 22:32:47,I,03,폐업,0,1,0,2012-10-22 15:39:19,,1997-10-08,,서울특별시 영등포구 영등포동2가   94-267,101,내과,부속의원,PHMA319973180034041300001,3180000,,,03,폐업,0,,,02-2076-4047
국민은행부속치과의원,2021-07-01,193555.404623589,446518.232651645,2026-04-26 22:32:47,I,03,폐업,53,1,0,2021-06-30 09:27:13,,2000-10-26,150-758,서울특별시 영등포구 여의도동 36번지 3호,411 408,"구강내과, 예방치과",부속의원,PHMA320003180034041300001,3180000,서울특별시 영등포구 국제금융로8길 26 (여의도동),07331,03,폐업,0,,,
대한의료소비자 생활협동조합 부속의원,2010-07-27,194548.651692342,442330.324311379,2026-04-26 22:33:08,I,03,폐업,239.86,1,0,2010-07-28 16:24:52,,2010-07-19,151-839,서울특별시 관악구 청룡동 945번지 1호 2층,101 102 105,"내과, 신경과, 정형외과",부속의원,PHMA320103200033041300001,3200000,"서울특별시 관악구 남부순환로 1702 (봉천동,2층)",,03,폐업,0,,,
연제의료생협부속한의원,2010-10-21,195537.455758615,441881.427207575,2026-04-26 22:33:08,I,03,폐업,73.48,1,0,2010-10-21 14:20:51,,2010-08-02,151-820,서울특별시 관악구 청룡동 1568번지 1호 201호,301 304 302 305 303 308,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 침구과",부속의원,PHMA320103200033041300003,3200000,"서울특별시 관악구 쑥고개로 123 (봉천동,201호)",,03,폐업,0,,,
연제의료생협부속한의원,2010-12-20,195537.455758615,441881.427207575,2026-04-26 22:33:08,I,03,폐업,73.48,1,0,2010-12-20 17:24:06,,2010-10-25,151-820,서울특별시 관악구 청룡동 1568번지 1호 2층,305 302 301 304 306 303 309 308 307,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과, 한방응급과",부속의원,PHMA320103200033041300004,3200000,"서울특별시 관악구 쑥고개로 123 (봉천동,2층)",,03,폐업,0,,,
방패의원,2023-07-25,198675.092821991,440118.574000488,2026-04-26 22:33:08,I,03,폐업,200,1,0,2023-08-04 16:18:26,,2012-11-21,151-754,서울특별시 관악구 남현동 사서함 2003-2,126 125 124 123 122 121 120 119 118 117 116 115 114 113 112 111 110 109 108 107 106 105 104 103 102 101,"내과, 신경과, 정신건강의학과, 외과, 정형외과, 신경외과, 심장혈관흉부외과, 성형외과, 마취통증의학과, 산부인과, 소아청소년과, 안과, 이비인후과, 피부과, 비뇨의학과, 영상의학과, 방사선종양학과, 병리과, 진단검사의학과, 재활의학과, 결핵과, 가정의학과, 핵의학과, 직업환경의학과, 응급의학과, 예방의학과",부속의원,PHMA320123200033021300001,3200000,"서울특별시 관악구 과천대로 851 (남현동, 수도방위사령부)",08810,03,폐업,0,,,02-524-1701
방패치과의원,2023-07-25,198675.092821991,440118.574000488,2026-04-26 22:33:08,I,03,폐업,66,1,0,2023-08-07 09:04:14,,2023-06-09,,서울특별시 관악구 남현동 산 100-34 한울아파트,410 402 408 412 404 403 407 406 411,"구강악안면외과, 치과보철과, 치과교정과, 치주과, 치과보존과, 구강내과, 구강병리과, 예방치과, 통합치의학과",부속의원,PHMA320233200033041300001,3200000,"서울특별시 관악구 과천대로 851 (남현동, 한울아파트)",08810,03,폐업,0,,,02-524-1718
방패한의원,2023-07-25,198675.092821991,440118.574000488,2026-04-26 22:33:08,I,03,폐업,78,2,0,2023-08-07 09:03:41,,2023-06-09,,서울특별시 관악구 남현동 산 100-34 한울아파트,307 301 303 302 306 308 305 304,"한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 한방재활의학과, 사상체질과, 침구과",부속의원,PHMA320233200033041300002,3200000,"서울특별시 관악구 과천대로 851 (남현동, 한울아파트)",08810,03,폐업,0,,,02-524-1718
