사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,판매점영업면적,휴업시작일자,휴업종료일자,소재지전화번호
(주)부강코퍼레이션,2026-02-02,201454.659225356,453885.512398186,2026-04-26 22:00:58,I,03,폐업,2026-02-02 09:30:45,,2017-02-15,,서울특별시 성북구 보문동2가 7번지 2호,PHMH320173070034087500009,3070000,"서울특별시 성북구 보문로29길 17, 101호 (보문동2가, 백제빌딩)",02871,03,폐업,,,,02-927-6667
씨유 장안으뜸점,2016-12-09,205784.395401088,452000.024836728,2026-04-26 22:00:55,I,03,폐업,2016-12-09 11:09:11,,2012-11-14,130-837,서울특별시 동대문구 장안동 167번지 19호,PHMH320123050034087500054,3050000,서울특별시 동대문구 한천로24길 22 (장안동),02626,03,폐업,,,,22133163
미니스톱 신설진흥점,2015-07-24,202061.169089769,452451.001266995,2026-04-26 22:00:55,I,03,폐업,2015-07-24 13:08:59,,2012-11-14,130-812,서울특별시 동대문구 신설동 104번지 1호 1층,PHMH320123050034087500056,3050000,"서울특별시 동대문구 천호대로2길 15, 1층 (신설동)",,03,폐업,,,,22355496
미니스톱 장안3점,2018-12-31,205523.386355597,451458.688563648,2026-04-26 22:00:55,I,03,폐업,2018-12-31 15:53:12,,2012-11-14,130-843,서울특별시 동대문구 장안동 403번지 1호,PHMH320123050034087500057,3050000,"서울특별시 동대문구 천호대로77길 84, 1층 1호 (장안동)",02635,03,폐업,,,,22154237
GS25 전농삼성점,2016-09-21,205196.107795769,453027.761001037,2026-04-26 22:00:55,I,03,폐업,2016-09-21 17:51:02,,2012-11-14,130-849,서울특별시 동대문구 전농동 53번지 21호 1층,PHMH320123050034087500058,3050000,"서울특별시 동대문구 사가정로13가길 29, 1층 (전농동)",02507,03,폐업,,,,22150178
씨유 이문래미안점,2014-07-05,205146.902811253,454637.550472416,2026-04-26 22:00:55,I,03,폐업,2014-07-31 16:17:11,,2012-11-14,130-831,서울특별시 동대문구 이문동 322번지 4호,PHMH320123050034087500059,3050000,서울특별시 동대문구 이문로16길 7 (이문동),,03,폐업,,,,
미니스톱 신설점,2014-09-30,202136.434632005,452534.940181555,2026-04-26 22:00:55,I,03,폐업,2014-09-30 13:47:14,,2012-11-14,130-813,서울특별시 동대문구 신설동 102번지 26호,PHMH320123050034087500060,3050000,서울특별시 동대문구 천호대로 11-3 (신설동),,03,폐업,,,,
GS25 외대이문점,2022-10-24,205120.626545815,455171.175104579,2026-04-26 22:00:55,I,03,폐업,2022-10-24 15:01:36,,2012-11-14,130-829,서울특별시 동대문구 이문동 264번지 12호,PHMH320123050034087500061,3050000,서울특별시 동대문구 천장산로6길 8 (이문동),02404,03,폐업,,,,
미니스톱 경희대원룸점,2014-05-15,204764.702000367,454376.649769208,2026-04-26 22:00:55,I,03,폐업,2014-05-21 13:38:14,,2012-11-14,130-872,서울특별시 동대문구 회기동 54번지 99호 1층,PHMH320123050034087500062,3050000,"서울특별시 동대문구 경희대로4길 44, 1층 (회기동)",,03,폐업,,,,
GS25 답십리동아점,2018-08-31,205385.566057467,451717.140632516,2026-04-26 22:00:55,I,03,폐업,2018-08-31 15:09:12,,2012-11-14,130-758,서울특별시 동대문구 답십리동 10번지 3호,PHMH320123050034087500063,3050000,"서울특별시 동대문구 답십리로60길 134, 103호, 104호 (답십리동, 동아아파트상가동)",02611,03,폐업,,,,
GS25 동대문경희점,2014-10-14,204717.761602257,454320.411464325,2026-04-26 22:00:55,I,03,폐업,2014-10-14 13:30:33,,2012-11-14,130-872,서울특별시 동대문구 회기동 52번지,PHMH320123050034087500064,3050000,서울특별시 동대문구 회기로 161-11 (회기동),,03,폐업,,,,
GS25 경희현대점,2014-05-15,204459.374331588,454327.531204958,2026-04-26 22:00:55,I,03,폐업,2014-05-15 17:05:41,,2012-11-14,130-873,서울특별시 동대문구 회기동 105번지 35호 1층,PHMH320123050034087500067,3050000,"서울특별시 동대문구 회기로 134, 1층 (회기동)",,03,폐업,,,,
GS25 신회기역점,2018-02-09,204893.060364369,454164.506149787,2026-04-26 22:00:55,I,03,폐업,2018-02-09 15:54:28,,2012-11-14,130-876,서울특별시 동대문구 휘경동 319번지 14호,PHMH320123050034087500069,3050000,서울특별시 동대문구 회기로 182 (휘경동),02446,03,폐업,,,,22530771
세븐일레븐 답십리쌍마점,2018-09-21,204884.451934202,451529.148204191,2026-04-26 22:00:55,I,03,폐업,2018-09-21 10:01:24,,2012-11-14,130-802,서울특별시 동대문구 답십리동 488번지 327호,PHMH320123050034087500070,3050000,"서울특별시 동대문구 전농로 12, 1층 6호 (답십리동)",02621,03,폐업,,,,02-3394-8567
세븐일레븐 휘경워너빌점,2014-08-18,205299.837615096,454194.98841763,2026-04-26 22:00:55,I,03,폐업,2014-08-18 14:33:14,,2012-11-14,130-876,서울특별시 동대문구 휘경동 262번지 4호,PHMH320123050034087500071,3050000,"서울특별시 동대문구 망우로 67, 104호 (휘경동, 효자워너빌상가)",,03,폐업,,,,22152531
씨유 회기중앙점,2015-06-24,205044.455486451,454253.066065736,2026-04-26 22:00:55,I,03,폐업,2015-06-24 15:13:38,,2012-11-14,130-876,서울특별시 동대문구 휘경동 183번지 126호,PHMH320123050034087500072,3050000,서울특별시 동대문구 회기로29길 9 (휘경동),,03,폐업,,,,
세븐일레븐 휘경동진점,2014-09-29,205754.942835775,454349.694317829,2026-04-26 22:00:55,I,03,폐업,2014-09-30 09:54:34,,2012-11-14,130-875,서울특별시 동대문구 휘경동 72번지 7호,PHMH320123050034087500073,3050000,서울특별시 동대문구 망우로 117 (휘경동),,03,폐업,,,,22152520
GS25 이문사랑점,2015-06-12,205784.008038304,455917.552544887,2026-04-26 22:00:55,I,03,폐업,2015-06-12 15:33:30,,2012-11-15,130-828,서울특별시 동대문구 이문동 209번지 7호,PHMH320123050034087500075,3050000,"서울특별시 동대문구 이문로54길 77, 1층 (이문동)",,03,폐업,,,,
GS25 이문행운점,2014-10-02,205691.646846584,455695.051838894,2026-04-26 22:00:55,I,03,폐업,2014-10-02 13:34:39,,2012-11-15,130-828,서울특별시 동대문구 이문동 236번지 12호,PHMH320123050034087500076,3050000,서울특별시 동대문구 신이문로23길 19 (이문동),,03,폐업,,,,
세븐일레븐 이문대화점,2022-08-31,205023.255818406,455159.326791131,2026-04-26 22:00:55,I,03,폐업,2022-08-31 13:50:21,,2012-11-15,130-829,서울특별시 동대문구 이문동 264번지 210호,PHMH320123050034087500077,3050000,서울특별시 동대문구 천장산로 31 (이문동),02449,03,폐업,,,,
씨유 회기힐스테이트점,2016-12-29,204669.771345656,454194.23756544,2026-04-26 22:00:55,I,03,폐업,2016-12-29 16:17:25,,2012-11-15,130-050,서울특별시 동대문구 회기동 351번지,PHMH320123050034087500078,3050000,"서울특별시 동대문구 회기로26길 15, 103호 (회기동, 회기힐스테이트상가동)",02460,03,폐업,,,,
씨유 이문대림점,2014-05-14,205778.846646982,455655.36029045,2026-04-26 22:00:55,I,03,폐업,2014-05-16 14:53:53,,2012-11-15,130-828,서울특별시 동대문구 이문동 220번지 112호,PHMH320123050034087500080,3050000,"서울특별시 동대문구 신이문로 37, 1층 (이문동)",,03,폐업,,,,
세븐일레븐 경희대기숙사점,2014-06-23,204923.28108581,454661.990423937,2026-04-26 22:00:55,I,03,폐업,2014-06-24 15:29:24,,2012-11-15,130-831,서울특별시 동대문구 이문동 346번지 5호,PHMH320123050034087500081,3050000,"서울특별시 동대문구 이문로9길 46, 1층 (이문동)",,03,폐업,,,,
씨유 용두으뜸점,2014-02-27,202387.110760391,453216.41300819,2026-04-26 22:00:55,I,03,폐업,2014-03-03 13:14:57,,2012-11-15,130-824,서울특별시 동대문구 용두동 730번지 1호,PHMH320123050034087500082,3050000,서울특별시 동대문구 안암로 52 (용두동),,03,폐업,,,,
씨유 회기창덕안점,2013-10-01,204982.647969049,454149.775223977,2026-04-26 22:00:55,I,03,폐업,2013-12-16 16:45:50,,2012-11-15,130-876,서울특별시 동대문구 휘경동 319번지 39호,PHMH320123050034087500084,3050000,"서울특별시 동대문구 회기로 194-14, 1층 102호 (휘경동, 오피스텔창덕안)",,03,폐업,,,,
세븐일레븐 이문중앙점,2016-06-24,205463.353537008,455648.037369427,2026-04-26 22:00:55,I,03,폐업,2016-06-24 17:14:35,,2012-11-15,130-827,서울특별시 동대문구 이문동 256번지 361호,PHMH320123050034087500085,3050000,"서울특별시 동대문구 신이문로 5, 1층 (이문동)",02406,03,폐업,,,,
씨유 신이문역점,2024-11-07,205893.218257437,455152.738736489,2026-04-26 22:00:55,I,03,폐업,2024-11-07 16:26:03,,2012-11-15,130-825,서울특별시 동대문구 이문동 108번지 45호,PHMH320123050034087500086,3050000,"서울특별시 동대문구 한천로 427, 1층 (이문동)",02425,03,폐업,,,,
GS25 외대경희점,2018-12-31,204946.439955091,455109.282861992,2026-04-26 22:00:55,I,03,폐업,2018-12-31 16:53:42,,2012-12-28,130-829,서울특별시 동대문구 이문동 264번지 293호 1층,PHMH320123050034087500089,3050000,"서울특별시 동대문구 천장산로7길 19, 1층 (이문동)",02449,03,폐업,,,,
씨유 장안1동점,2013-12-06,205997.951183689,451418.665066165,2026-04-26 22:00:59,I,03,폐업,2013-12-06 14:05:53,,2012-11-26,130-845,서울특별시 동대문구 장안동 437번지 7통,PHMH320123050034087500091,3050000,"서울특별시 동대문구 장한로10길 23, 1층 (장안동)",,03,폐업,,,,
지에스25 이문센터점,2016-10-19,205737.461665158,454805.720804232,2026-04-26 22:00:55,I,03,폐업,2016-10-19 13:44:28,,2012-12-20,,서울특별시 동대문구 이문동 86번지 25호 1층,PHMH320123050034087500095,3050000,"서울특별시 동대문구 외대역동로14길 10, 1층 (이문동)",02428,03,폐업,,,,
(주)코리아세븐 청량리점,2017-02-02,,,2026-04-26 22:00:59,I,03,폐업,2017-02-02 18:07:38,,2012-11-16,130-869,서울특별시 동대문구 청량리동 620번지 69호,PHMH320123050034087500096,3050000,"서울특별시 동대문구 왕산로 200 (청량리동, 롯데백화점)",,03,폐업,,,,37071201
GS25 제기롯데점,2015-01-02,203085.866786086,452766.014195644,2026-04-26 22:00:55,I,03,폐업,2015-01-02 11:05:52,,2012-12-20,130-745,서울특별시 동대문구 용두동 790번지 롯데캐슬피렌체 1층 135호,PHMH320123050034087500097,3050000,"서울특별시 동대문구 정릉천동로 58, 1층 135호 (용두동, 롯데캐슬피렌체)",,03,폐업,,,,
(주)코리아세븐 전농스토리점,2016-10-19,205102.874915953,452765.708982856,2026-04-26 22:00:59,I,03,폐업,2016-10-19 18:07:50,,2012-11-16,130-849,서울특별시 동대문구 전농동 32번지 4호,PHMH320123050034087500098,3050000,"서울특별시 동대문구 사가정로 122, 103호 (전농동)",02531,03,폐업,,,,22436725
GS25 장안주공점,2017-02-21,206190.228695097,453109.711081815,2026-04-26 22:00:55,I,03,폐업,2017-02-21 16:46:18,,2012-12-20,130-835,서울특별시 동대문구 장안동 93번지 43호 1층 101호,PHMH320123050034087500101,3050000,"서울특별시 동대문구 사가정로25길 34, 1층 101호 (장안동)",02515,03,폐업,,,,22483721
씨유 용두동아점,2016-11-30,202665.983967973,452376.873290658,2026-04-26 22:00:55,I,03,폐업,2016-11-30 17:04:44,,2012-12-20,130-821,서울특별시 동대문구 용두동 127번지 17호,PHMH320123050034087500102,3050000,서울특별시 동대문구 천호대로 68 (용두동),02588,03,폐업,,,,
위드미 서호점,2016-07-26,206301.233942422,451361.736331904,2026-04-26 22:00:55,I,03,폐업,2016-07-26 15:38:45,,2012-12-11,130-841,서울특별시 동대문구 장안동 358번지 27호 1층,PHMH320123050034087500103,3050000,"서울특별시 동대문구 장한로12길 81, 1층 (장안동)",02642,03,폐업,,,,22490125
토마토 경희대점,2016-07-20,204741.362614592,455106.352468219,2026-04-26 22:00:55,I,03,폐업,2016-07-20 14:33:14,,2012-12-11,130-829,서울특별시 동대문구 이문동 264번지 363호 1층,PHMH320123050034087500104,3050000,"서울특별시 동대문구 천장산로7길 62, 1층 (이문동)",02449,03,폐업,,,,070-8878-5576
씨유 장안행복점,2015-02-25,205663.082536177,451816.269666848,2026-04-26 22:00:55,I,03,폐업,2015-03-20 15:32:49,,2012-12-11,130-837,서울특별시 동대문구 장안동 189번지 1호 1층,PHMH320123050034087500105,3050000,"서울특별시 동대문구 답십리로64길 104, 1층 (장안동)",,03,폐업,,,,33946131
팝스토어 전농SK점,2016-04-28,205337.535984705,452870.483361725,2026-04-26 22:00:55,I,03,폐업,2016-04-28 17:29:27,,2012-12-03,130-850,서울특별시 동대문구 전농동 38번지 4호,PHMH320123050034087500106,3050000,서울특별시 동대문구 사가정로 147 (전농동),02508,03,폐업,,,,070-7121-2723
GS25 이문햇살점,2014-01-20,205026.426736771,454622.777261889,2026-04-26 22:00:56,I,03,폐업,2014-01-20 17:39:39,,2012-11-29,130-831,서울특별시 동대문구 이문동 335번지 11호,PHMH320123050034087500107,3050000,서울특별시 동대문구 이문로13길 12 (이문동),,03,폐업,,,,
(주)코리아세븐 경희대2호점,2021-12-10,204601.203817488,454368.949989879,2026-04-26 22:00:59,I,03,폐업,2021-12-10 10:31:30,,2012-11-16,130-872,서울특별시 동대문구 회기동 16번지 92호,PHMH320123050034087500108,3050000,서울특별시 동대문구 회기로 147 (회기동),02453,03,폐업,,,,
GS25 청량리햇살점,2014-08-11,204263.388325214,453546.952345214,2026-04-26 22:00:56,I,03,폐업,2014-08-11 10:53:21,,2012-11-29,130-867,서울특별시 동대문구 청량리동 51번지 2호 1층,PHMH320123050034087500109,3050000,"서울특별시 동대문구 제기로38길 50, 1층 (청량리동)",,03,폐업,,,,
GS25 경희사랑점,2014-12-16,204513.253588863,454385.047698546,2026-04-26 22:00:56,I,03,폐업,2014-12-24 15:04:27,,2012-11-29,130-872,서울특별시 동대문구 회기동 42번지 40호 1층,PHMH320123050034087500111,3050000,"서울특별시 동대문구 경희대로1길 6, 1층 (회기동)",,03,폐업,,,,
GS25 장한평역점,2016-03-23,205717.469811592,451120.5353714,2026-04-26 22:00:56,I,03,폐업,2016-03-23 17:36:34,,2012-11-29,130-845,서울특별시 동대문구 장안동 433번지 7호 조광빌딩 102호,PHMH320123050034087500112,3050000,"서울특별시 동대문구 장한로 10, 102호 (장안동, 조광빌딩)",02644,03,폐업,,,,22448319
(주)코리아세븐 회기역사거리점,2015-11-20,204820.66452932,454201.321340394,2026-04-26 22:00:59,I,03,폐업,2015-11-23 10:53:43,,2012-11-16,130-872,서울특별시 동대문구 회기동 81번지,PHMH320123050034087500114,3050000,서울특별시 동대문구 회기로 176 (회기동),02460,03,폐업,,,,
(주)코리아세븐 휘경점,2014-04-30,205314.479215834,454133.191843723,2026-04-26 22:00:59,I,03,폐업,2014-05-01 16:00:43,,2012-11-16,130-876,서울특별시 동대문구 휘경동 267번지 84호,PHMH320123050034087500115,3050000,서울특별시 동대문구 망우로 66 (휘경동),,03,폐업,,,,22464653
(주)코리아세븐 신설3호점,2020-02-18,202090.987353843,452678.651090417,2026-04-26 22:00:59,I,03,폐업,2020-02-18 09:48:58,,2012-11-16,130-810,서울특별시 동대문구 신설동 76번지 25호,PHMH320123050034087500117,3050000,서울특별시 동대문구 한빛로 6 (신설동),02580,03,폐업,,,,
세븐일레븐 제기미주점,2014-11-14,203074.541624617,452987.419353027,2026-04-26 22:00:56,I,03,폐업,2014-11-14 10:30:14,,2012-11-27,130-774,서울특별시 동대문구 제기동 892번지 68호,PHMH320123050034087500118,3050000,서울특별시 동대문구 정릉천동로 80 (제기동),,03,폐업,,,,
씨유 전농SK점,2017-11-29,205271.704936121,452706.897879436,2026-04-26 22:00:56,I,03,폐업,2017-11-29 15:51:46,,2012-11-26,130-769,"서울특별시 동대문구 전농동 10번지 전농SK아파트상가1동 106, 107호",PHMH320123050034087500119,3050000,"서울특별시 동대문구 사가정로 148, 106, 107호 (전농동, 전농SK아파트상가1동)",02532,03,폐업,,,,22437147
GS25 이문중앙점,2016-04-18,205016.485600119,454507.411827633,2026-04-26 22:00:56,I,03,폐업,2016-04-18 17:27:02,,2012-11-16,130-831,서울특별시 동대문구 이문동 345번지 8호,PHMH320123050034087500120,3050000,서울특별시 동대문구 이문로 61 (이문동),02451,03,폐업,,,,
씨유 배봉사거리점,2017-03-10,205997.769205614,452951.127408426,2026-04-26 22:00:56,I,03,폐업,2017-03-10 12:26:31,,2012-11-20,130-836,서울특별시 동대문구 장안동 108번지 3호,PHMH320123050034087500121,3050000,"서울특별시 동대문구 한천로 202, 1층 (장안동)",02518,03,폐업,,,,
세븐일레븐 이문경희점,2025-07-21,205035.337540445,454454.086712019,2026-04-26 22:00:56,I,03,폐업,2025-07-21 14:16:57,,2012-11-20,130-876,서울특별시 동대문구 휘경동 187번지 20호,PHMH320123050034087500122,3050000,"서울특별시 동대문구 이문로 58, 1층 (휘경동)",02443,03,폐업,,,,
GS25 제기정화점,2019-01-21,203594.014119825,453654.260902398,2026-04-26 22:00:56,I,03,폐업,2019-01-21 16:41:37,,2012-11-21,130-862,서울특별시 동대문구 제기동 314번지,PHMH320123050034087500123,3050000,"서울특별시 동대문구 제기로20길 32, 1층 (제기동)",02480,03,폐업,,,,
씨유 답십리수재점,2015-09-01,,,2026-04-26 22:00:56,I,03,폐업,2015-10-01 14:38:32,,2012-11-21,130-802,서울특별시 동대문구 답십리동 232번지 4호,PHMH320123050034087500124,3050000,서울특별시 동대문구 답십리로 135-1 (답십리동),02541,03,폐업,,,,22423338
씨유 장안스타점,2020-09-25,206136.412125372,451780.560754931,2026-04-26 22:00:59,I,03,폐업,2020-09-25 10:34:32,,2012-11-26,130-840,서울특별시 동대문구 장안동 347번지 1호 1층,PHMH320123050034087500125,3050000,"서울특별시 동대문구 장한로26가길 81, 1층 (장안동)",02639,03,폐업,,,,33946280
세븐일레븐 경희대제일점,2016-07-01,204475.016029101,454393.088931591,2026-04-26 22:00:56,I,03,폐업,2016-07-01 14:04:42,,2012-11-21,130-873,서울특별시 동대문구 회기동 107번지 7호,PHMH320123050034087500126,3050000,"서울특별시 동대문구 경희대로1길 12, 1층 (회기동)",02454,03,폐업,,,,
씨유 답십리점,2016-03-21,204254.260169616,452250.533691528,2026-04-26 22:00:56,I,03,폐업,2016-03-21 11:27:19,,2012-11-21,130-804,서울특별시 동대문구 답십리동 469번지 1호,PHMH320123050034087500127,3050000,서울특별시 동대문구 서울시립대로2길 60 (답십리동),02595,03,폐업,,,,070-8846-8772
