사업장명,담배공급업체명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,취급제품명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
(주)에너센스,우리담배판매(주),,185660.818756028,446106.76110335,2026-04-26 22:31:37,I,1,정상영업,"위고(Wigo), 스윙(Swing)등",2011-10-30 14:19:33,,2008-01-22,158-090,서울특별시 양천구 신월동 994번지 2호 양천B/D 205호,2008314011415500002,3140000,서울특별시 양천구 신월로 133 (신월동),,01,영업/정상,,,26950557
다빈치유통,전자담배 코리아,,188953.066831076,447333.569187997,2026-04-26 22:31:37,I,1,정상영업,전자담배,2011-10-30 14:04:19,,2010-11-11,158-723,서울특별시 양천구 목1동 917번지 9호 현대41타워 616동 1호,2010314011415500002,3140000,서울특별시 양천구 목동동로 293 (목동),,01,영업/정상,,,
이레컴퍼니,FERN PINE CIRCLE,,185552.222707266,447182.914999762,2026-04-26 22:31:38,I,1,정상영업,전자담배(액상포함),2019-07-24 17:38:47,,2019-06-27,,서울특별시 양천구 신월동 243번지 14호 102호,2019314016715500001,3140000,"서울특별시 양천구 월정로13길 24, 1층 102호 (신월동)",07926,01,영업/정상,,,
주식회사 이레,"JMJL Global, Ltd.",,185552.222707266,447182.914999762,2026-04-26 22:31:38,I,1,정상영업,전자담배(액상포함),2019-07-24 17:22:30,,2019-07-24,,서울특별시 양천구 신월동 243번지 14호 101호,2019314016715500002,3140000,"서울특별시 양천구 월정로13길 24, 1층 101호 (신월동)",07926,01,영업/정상,,,070-4025-8469
(주)타박앤패밀리 관악대리점,(주)타박앤패밀리,,191257.845259316,439188.84158195,2026-04-26 22:31:35,I,1,정상영업,"니드주몽실크, 니드주몽트윈, 니드주몽핑크, 니드주몽블루",2007-07-16 09:03:18,,2007-07-16,153-030,서울특별시 금천구 시흥동 879번지 31호,2007317010505100001,3170000,서울특별시 금천구 금하로 637 (시흥동),,01,영업/정상,,,
우리담배 금천대리점,우리담배(주),,190954.704901529,439478.579674426,2026-04-26 22:31:35,I,1,정상영업,"위고 원, 위고 와인, 위고 블루, 스윙1mg, 스윙 4.5mg",2014-06-13 16:39:14,,2007-11-15,153-030,서울특별시 금천구 시흥동 108번지 43호,2007317010515500001,3170000,,,01,영업/정상,,,
바이오일인터내셔날(전자담배),"창녕덕강 생물과기 유한공사, 중국(Chang Ning Dekang Biological Technology co.,Ltd)",,191020.636866047,438943.070913337,2026-04-26 22:31:35,I,1,정상영업,전자담배용액상카트리지,2011-01-31 15:01:50,,2010-11-24,153-864,서울특별시 금천구 시흥1동 992번지 63호 산들파크빌 2동 202호,2010317014215500001,3170000,"서울특별시 금천구 시흥대로57길 19-41, 2동 202호 (시흥동,산들파크빌)",,01,영업/정상,,,070-8283-5151
(주)빅풋코리아,"운남창녕덕강 생물과기 유한공사,중국(Changning Dekang Biotechnology Co.,Ltd)",,191205.881800566,441890.689618862,2026-04-26 22:31:35,I,1,정상영업,전자담배용 액상카트리지(E-liquid),2011-09-09 15:46:48,,2011-09-08,153-010,서울특별시 금천구 독산동 952번지 1호 가르시아2층,2011317014215500002,3170000,"서울특별시 금천구 남부순환로 1354 (독산동,가르시아2층)",,01,영업/정상,,,1544-9127
엔씨(NC)금천점,가이아트트레이딩(인천2009-1)-인천시 부평구 부평동 159-1 가나파라움 제7층701호,,191529.779194993,439565.772452126,2026-04-26 22:31:35,I,1,정상영업,전자담배 니코틴 액상,2011-10-19 12:00:00,,2011-10-19,153-031,서울특별시 금천구 시흥1동 852번지 55호,2011317014215500003,3170000,서울특별시 금천구 독산로 123 (시흥동),,01,영업/정상,,,
주식회사 큐브79,심천 E-cikar 전다담배 기술유한회사,,189364.095969911,441746.981529543,2026-04-26 22:31:35,I,1,정상영업,전자담배 니코틴액상,2014-11-28 09:31:21,,2014-11-27,153-779,서울특별시 금천구 가산동 429번지 1호,2014317014215500001,3170000,"서울특별시 금천구 가산디지털2로 108, 303호 (가산동, 뉴티캐슬)",,01,영업/정상,,,
주식회사 도담소담,쿨베이핑,,189065.818334596,442338.144130222,2026-04-26 22:31:35,I,1,정상영업,전자담배액상,2020-03-17 13:30:23,,2020-03-16,,서울특별시 금천구 가산동 459번지 23호 에이스 비즈포레 지식산업센터,2020317023515500001,3170000,"서울특별시 금천구 가산디지털2로 173, 에이스 비즈포레 지식산업센터 919,920호 (가산동)",08500,01,영업/정상,,,02-3142-9595
(주)바이더웨이,케이티엔지 외 수입공급업체,,189859.071768836,445875.89672273,2026-04-26 22:31:12,I,1,정상영업,국산 및 수입산 전품목,2008-10-29 17:28:00,,2005-07-07,150-095,서울특별시 영등포구 문래동5가 9번지,2005318011715500001,3180000,서울특별시 영등포구 경인로71길 70 (문래동5가),,01,영업/정상,2008-10-29,2008-12-29,31647222
(주)티엔디인터내셔널,트리플나인(주),,193694.665015597,446449.546192539,2026-04-26 22:31:12,I,1,정상영업,me too,2008-01-07 17:10:24,,2005-07-28,150-010,서울특별시 영등포구 여의도동 44번지 24호 호성빌딩1102호,2005318011715500002,3180000,"서울특별시 영등포구 여의대방로65길 20 (여의도동,호성빌딩1102호)",,01,영업/정상,,,
