사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,다른겸업여부,도로명주소,도로명우편번호,재개업일자,수리대상의료기기의유형,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
로벨코리아(주),2022-10-18,199062.7921206,452680.037953364,2026-04-26 22:31:44,I,03,폐업,2022-10-19 09:40:08,,2005-05-18,110-360,서울특별시 종로구 와룡동 139번지 이화빌딩 5층,PHMG320053000034047400003,3000000,Y,"서울특별시 종로구 돈화문로 89 (와룡동,이화빌딩 5층)",,,치과용기기(power측정),03,폐업,,,02-765-5998,
청음보청기,2018-05-01,198525.851210964,451909.692402004,2026-04-26 22:31:44,I,03,폐업,2018-05-01 11:19:04,,2005-06-07,110-111,서울특별시 종로구 관철동 43번지 1호 동화빌딩 3층,PHMG320053000034047400005,3000000,Y,"서울특별시 종로구 종로8길 13 (관철동,동화빌딩 3층)",,,보청기,03,폐업,,,02-737-5460,
신영정밀,2015-05-08,199291.455030835,451899.748095471,2026-04-26 22:31:44,I,03,폐업,2015-05-08 16:12:01,,2005-06-20,110-430,서울특별시 종로구 장사동 42번지 1층,PHMG320053000034047400008,3000000,N,"서울특별시 종로구 돈화문로2길 5 (장사동,1층)",,,치과용기기,03,폐업,,,02-2279-6949,
명진과학,2016-08-01,197015.708191944,453620.901826019,2026-04-26 22:31:44,I,03,폐업,2016-08-01 16:38:02,,2005-08-08,110-032,서울특별시 종로구 신교동 1번지 28호,PHMG320053000034047400010,3000000,,서울특별시 종로구 필운대로13길 14 (신교동),,,"반기기, 심혈관용기계기구,전기수술장치",03,폐업,,,02-735-2435,
(주)이화바이오메딕스,2020-08-07,199722.033221495,454310.699049879,2026-04-26 22:31:44,I,03,폐업,2020-08-07 18:15:42,,2005-11-04,110-521,서울특별시 종로구 명륜1가 1번지 4호,PHMG320053000034047400012,3000000,Y,서울특별시 종로구 성균관로17길 59 (명륜1가),,,"직류전원장치,내전압시험기,누설전류계,멀티테스터,스톱워치,버어니어캠리퍼스,온습도계",03,폐업,,,02-2055-3820,
(주)지상양행,2011-06-01,199821.627625442,453360.147414481,2026-04-26 22:31:44,I,03,폐업,2011-09-09 09:42:43,,2005-04-22,110-524,서울특별시 종로구 명륜4가 187번지 이화빌딩 601호,PHMG320053000034047400014,3000000,,"서울특별시 종로구 창경궁로 236, 601호 (명륜4가,이화빌딩)",,,"심혈관용기계기구,체외진단용기기,생체현상측정기기,전기수술장치",03,폐업,,,,
익산정밀공업사,2020-10-06,199425.264077104,451967.893318129,2026-04-26 22:31:44,I,03,폐업,2020-10-06 17:42:35,,2005-07-28,110-430,서울특별시 종로구 장사동 84번지 2호,PHMG320053000034047400016,3000000,N,서울특별시 종로구 종로24길 7 (장사동),,,"진료대,일반기기,판금물,마취기, 이학진료용기기,심혈관용기계기구,비뇨기과용기계기구,환자운반차,체외진단용기기,생체현상측정기기,전기수술장치,레이저진료기,의약품주입기,정형용기기,정형용품",03,폐업,,,02-2274-7096,
와이덱스보청기 종로점,2013-04-18,198966.805968344,452027.574753972,2026-04-26 22:31:44,I,03,폐업,2013-04-18 10:19:15,,2010-09-08,110-122,서울특별시 종로구 종로2가 40번지 육의전빌딩 301호,PHMG320103000034047400001,3000000,Y,"서울특별시 종로구 수표로 105, 301호 (종로2가,육의전빌딩)",,,보청기,03,폐업,,,02-762-1388,
(주)히어링솔루션코리아 - 복음보청기 종로점,2016-03-30,199321.4036677,451985.646550196,2026-04-26 22:31:44,I,03,폐업,2016-03-30 11:30:30,,2011-01-07,110-123,서울특별시 종로구 종로3가 147번지 금천빌딩 3층,PHMG320113000034047400001,3000000,Y,"서울특별시 종로구 종로 140 (종로3가,금천빌딩 3층)",,,보청기,03,폐업,,,02-2268-3377,
(주)보령수앤수,2020-08-25,199749.709303956,452471.681673191,2026-04-26 22:31:44,I,03,폐업,2020-08-25 15:05:10,,2011-06-01,110-750,서울특별시 종로구 원남동 66번지 21호 11층,PHMG320113000034047400003,3000000,Y,"서울특별시 종로구 창경궁로 136, 11층 (원남동)",03127,,"일반기기, 이학진료용기기, 체온측정용기구, 생체현상측정기기",03,폐업,,,02-740-4277,
