건축물동수,건축물연면적,사업장명,탈의실면적,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지도자수,휴게실면적,지번주소,회원모집총인원,관리번호,사무실면적,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,스타육체미,,2006-01-16,,206188.003773446,450279.646798443,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2007-05-18 10:32:10,,1989-10-24,,133-837,,,서울특별시 성동구 송정동 87-17,,CDFH3301061989000001,,3030000,사립,서울특별시 성동구 동일로 259  (송정동),,03,폐업,,,
,,광우휄스,,2011-05-30,,202727.017018553,451267.516899022,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2011-05-30 15:44:29,,1989-12-22,,133-882,,,서울특별시 성동구 도선동 289 4층,,CDFH3301061989000002,,3030000,사립,"서울특별시 성동구 왕십리로 348  (도선동,4층)",,03,폐업,,,
,,썬버드헬스,,2007-11-26,,203501.031886962,450680.51894594,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2007-11-26 15:58:28,,1990-01-05,,133-866,,,서울특별시 성동구 행당동 158-44,,CDFH3301061990000001,,3030000,사립,서울특별시 성동구 마조로1길 2  (행당동),,03,폐업,,,
,,신화헬스클럽,,2004-04-17,,,,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2006-01-26 17:56:47,,1993-07-01,,133-880,,,서울특별시 성동구 홍익동 162-1,,CDFH3301061993000002,,3030000,사립,,,03,폐업,,,
0,0,성수헬스,,2001-11-06,,204771.225480222,449353.789641904,체력단련장업,2026-04-26 22:31:45,I,03,폐업,,2003-02-06 13:41:09,,1994-01-27,,133-834,0,,서울특별시 성동구 성수동2가 289-243,,CDFH3301061994000001,,3030000,사립,서울특별시 성동구 아차산로7길 14-1  (성수동2가),,03,폐업,,,
,,고려헬스,,2005-06-18,,203229.312641564,452070.97336746,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2005-06-29 12:11:28,,1994-08-16,,133-812,,,서울특별시 성동구 마장동 474-3,,CDFH3301061994000002,,3030000,사립,,,03,폐업,,,
,,태산헬스클럽,,2003-05-14,,203727.54120995,451575.01607132,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2003-05-14 15:15:56,,1994-10-20,,133-815,,,서울특별시 성동구 마장동 772-4,,CDFH3301061994000003,,3030000,사립,서울특별시 성동구 마장로 301  (마장동),,03,폐업,,,
0,0,코리아헬스클럽,,2000-10-30,,201560.899780182,449545.169719959,체력단련장업,2026-04-26 22:31:45,I,03,폐업,,2003-02-06 13:41:09,,1995-06-13,,133-809,0,,서울특별시 성동구 금호동4가 1383,,CDFH3301061995000001,,3030000,사립,서울특별시 성동구 장터길 22-2  (금호동4가),,03,폐업,,,
,,동우헬스,,2006-04-13,,204704.038049398,451464.429154026,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2006-04-13 10:47:11,,1995-07-28,,133-848,,,서울특별시 성동구 용답동 63-2,,CDFH3301061995000002,,3030000,사립,서울특별시 성동구 천호대로 304  (용답동),,03,폐업,,,
,,경희레포츠센타,,2006-12-26,,204764.658079784,449437.628334972,체력단련장업,2026-04-26 22:31:45,I,03,폐업,0,2006-12-29 10:11:20,,1995-09-19,,133-834,,,서울특별시 성동구 성수동2가 289-20,,CDFH3301061995000003,,3030000,사립,서울특별시 성동구 아차산로7길 21  (성수동2가),,03,폐업,,,
