사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,조제용연마기수,상세영업상태코드,상세영업상태명,시력표수,총면적,안경세척기수,가열기수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,렌즈절단기수,지번주소,관리번호,측정의자수,개방자치단체코드,동공거리측정기수,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,표본렌즈수,휴업시작일자,휴업종료일자,소재지전화번호,정점굴절계기수
컴앤씨안경마트 중화점,2009-11-30,206953.303286626,455231.444124678,2026-04-26 22:31:32,I,1,03,폐업,1,,1,1,2009-11-30 10:29:43,,1997-05-21,131-880,1,서울특별시 중랑구 중화2동 301번지 1호,PHMB219973060034082200002,1,3060000,1,,,03,폐업,1,,,02-494-1780,1
모닝아이안경 면목점,2011-10-21,207653.828967538,453048.690091451,2026-04-26 22:31:32,I,1,03,폐업,1,,1,1,2011-10-21 16:10:10,,1998-06-09,131-828,1,서울특별시 중랑구 면목7동 634번지 8호,PHMB219983060034082200001,1,3060000,1,,,03,폐업,1,,,02-493-7799,1
까만안경(상봉역점),2013-10-14,207488.324375704,454767.558979085,2026-04-26 22:31:32,I,1,03,폐업,2,,1,1,2013-10-28 14:35:17,,1999-10-27,131-860,1,서울특별시 중랑구 상봉2동 113번지 2호,PHMB219993060034082200003,1,3060000,1,서울특별시 중랑구 면목로 485 (상봉동),,03,폐업,2,,,02-496-1006,1
안경디자인,2023-04-17,206997.111304806,455492.857962642,2026-04-26 22:31:32,I,1,03,폐업,1,179.7,2,2,2023-04-17 10:40:04,,1999-11-20,131-876,1,서울특별시 중랑구 중화동 286번지 24호,PHMB219993060034082200004,1,3060000,1,서울특별시 중랑구 봉화산로 49 (중화동),02051,03,폐업,1,,,02-436-1115,1
㈜시호비전 상봉,2020-03-31,208183.558935157,454911.24852306,2026-04-26 22:31:32,I,1,03,폐업,1,37.13,2,2,2020-04-07 10:44:47,,2000-05-30,,1,,PHMB220003060034082200003,1,3060000,1,"서울특별시 중랑구 상봉로 118, E-마트 상봉점 (망우동)",02169,03,폐업,1,,,,3
서독안경,2013-05-31,208439.530681347,453970.488038893,2026-04-26 22:31:32,I,1,03,폐업,1,68.88,1,1,2013-05-31 13:42:38,,2000-12-11,131-811,1,서울특별시 중랑구 면목3.8동 19번지 4호,PHMB220003060034082200004,1,3060000,3,서울특별시 중랑구 용마산로 410 (면목동),,03,폐업,1,,,02-437-4544,1
일공공일안경 묵동점,2015-05-20,206820.636107715,456616.148574207,2026-04-26 22:31:32,I,1,03,폐업,1,58.26,1,1,2015-06-11 09:56:05,,2001-08-14,131-848,1,서울특별시 중랑구 묵1동 176번지 23호,PHMB220013060034082200002,1,3060000,2,서울특별시 중랑구 공릉로 12 (묵동),,03,폐업,2,,,02-973-0025,2
엘림안경,2020-10-06,208631.500053855,455269.017997089,2026-04-26 22:31:32,I,1,03,폐업,1,,2,2,2020-10-07 09:35:59,,2002-09-13,131-810,1,서울특별시 중랑구 망우본동 488번지 13호,PHMB220023060034082200004,1,3060000,1,서울특별시 중랑구 망우로 417 (망우동),02073,03,폐업,1,,,02-491-8008,1
원일안경,2010-04-08,209056.196550231,455319.774096788,2026-04-26 22:31:33,I,1,03,폐업,1,,1,1,2011-12-20 17:28:40,,2002-11-28,131-802,1,서울특별시 중랑구 망우본동 202번지 7호,PHMB220023060034082200006,1,3060000,1,서울특별시 중랑구 망우로 462 (망우동),,03,폐업,1,,,02-491-4616,1
1001안경콘택트(중랑점),2013-04-22,206851.982049625,454091.086173798,2026-04-26 22:31:33,I,1,03,폐업,1,39.75,1,1,2013-04-24 16:29:31,,2003-12-10,131-820,1,서울특별시 중랑구 면목2동 180번지 45호,PHMB220033060034082200002,1,3060000,1,서울특별시 중랑구 봉우재로14길 31 (면목동),,03,폐업,1,,,,1
예밝은안경,2011-06-02,206988.294525892,455453.019646722,2026-04-26 22:31:33,I,1,03,폐업,1,16.17,1,1,2011-12-20 17:16:11,,2004-03-11,131-876,1,서울특별시 중랑구 중화1동 287번지 9호,PHMB220043060034082200002,1,3060000,1,서울특별시 중랑구 동일로 796 (중화동),,03,폐업,1,,,02-433-5424,1
