건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,품목명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,EK Company,2020-06-30,172928.946641855,440200.003916183,유통관련업,대중문화예술기획업,2026-05-14 22:37:30,I,03,폐업,엔터테인먼트,,,,2020-09-25 13:54:54,,2015-06-08,,인천광역시 미추홀구 주안동 **-* 뉴스타빌딩 *층,CDFF3241092015000001,3510500,,"인천광역시 미추홀구 석산로 **, 주안동 *층 (주안동)",22142,03,폐업,,,,,,
,제이엠엔터,2023-08-11,171136.528145707,439841.965258982,유통관련업,대중문화예술기획업,2026-05-14 22:37:30,I,03,폐업,"음악,음반,영상,공연,가수,연기자",277.46,,,2023-08-11 14:58:58,,2015-07-24,,,CDFF3241092015000002,3510500,,"인천광역시 미추홀구 경인로 ***, *층 (도화동)",22139,03,폐업,,,,,,
,위드포유미디어그룹,2021-04-01,169554.596567926,438098.715043408,유통관련업,대중문화예술기획업,2026-05-14 22:37:30,I,03,폐업,"연예인매니지먼트, 음반제작유통, 공연기획",66.75,,,2021-08-03 13:39:36,,2019-10-14,,인천광역시 미추홀구 학익동 ***-* 장미아파트,CDFF3241092019000002,3510500,,"인천광역시 미추홀구 소성로 **, **동 ***호 (학익동, 장미아파트)",22201,03,폐업,,,,,,
,사단법인 필그림,2023-02-28,171152.708238774,439871.894868163,유통관련업,대중문화예술기획업,2026-05-14 22:37:31,I,03,폐업,음악,277.46,,,2023-03-03 18:01:38,,2021-04-26,,인천광역시 미추홀구 도화동 ***-**,CDFF3241092021000001,3510500,,"인천광역시 미추홀구 경인로***번길 **, *층 (도화동)",22139,03,폐업,,,,,,
,주식회사 스테이지원엔터,,199146.993277398,446703.426383454,유통관련업,대중문화예술기획업,2026-05-14 03:03:03,U,13,영업중,연예인매니지먼트,,,,2026-05-13 09:43:10,,2016-07-14,,서울특별시 용산구 서빙고동 *-** 비비안,CDFF3241092026000016,3020000,,"서울특별시 용산구 서빙고로**길 **, 비비안 *층 (서빙고동)",04384,01,영업/정상,,,,,,
,엔이원미디어,,208877.849829013,444913.475416514,유통관련업,대중문화예술기획업,2026-05-14 03:03:03,U,13,영업중,매니저업,53.57,,,2026-05-13 09:30:05,,2022-01-26,,서울특별시 송파구 석촌동 ***-* 수정빌딩,CDFF3241092026000010,3230000,,"서울특별시 송파구 석촌호수로**길 *, 수정빌딩 지하층 ***호 (석촌동)",05610,01,영업/정상,,,,,,
,(주)라이노23,,208877.849829013,444913.475416514,유통관련업,대중문화예술기획업,2026-05-14 03:03:03,U,13,영업중,매니저업,,,,2026-05-13 09:35:48,,2024-09-05,,서울특별시 송파구 석촌동 ***-* 수정빌딩,CDFF3241092026000011,3230000,,"서울특별시 송파구 석촌호수로**길 *, 수정빌딩 지하층 ***호 (석촌동)",05610,01,영업/정상,,,,,,
,스테이터스(STATUS),,170661.007697147,440112.474453293,유통관련업,대중문화예술기획업,2026-05-14 22:37:31,I,13,영업중,"엔터테인먼트, 전자상거래",72.07,,,2026-05-08 10:13:26,,2024-01-19,,인천광역시 미추홀구 도화동 ***-** 티오피시그니쳐,CDFF3241092026000001,3510500,,"인천광역시 미추홀구 경인로***번길 **, 티오피시그니쳐 ***호 (도화동)",22165,01,영업/정상,,,,,,
,어뉴 엔터테인먼트,,169784.419208002,441766.463535006,유통관련업,대중문화예술기획업,2026-05-14 22:37:31,I,13,영업중,대중문화예술기획업,84.5,,,2026-05-08 10:12:23,,2026-05-07,,인천광역시 미추홀구 도화동 ***-* 힐스테이트 도화 더테라스,CDFF3241092026000002,3510500,,"인천광역시 미추홀구 염전로***번길 **, 힐스테이트 도화 더테라스 ***동 ****호 (도화동)",22110,01,영업/정상,,,,,,
,레콜라지,,196621.810302984,449898.051124054,유통관련업,대중문화예술기획업,2026-05-14 22:37:30,I,13,영업중,"예술,스포츠 및 여가 관련 서비스업",,,,2026-05-13 15:11:09,,2026-05-13,,서울특별시 용산구 서계동 ***-** 파리바게뜨제과,CDFF3241092026000017,3020000,,"서울특별시 용산구 만리재로 ***, 파리바게뜨제과 *,*층 (서계동)",04305,01,영업/정상,,,,,,
