놀이기구수내역,건물용도명,사업장명,방송시설유무,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,발전시설유무,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,안내소유무,의무실유무,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,놀이시설수,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박총톤수
,,점핑아이,,2026-01-19,172125.869792484,439902.833084585,,신고테마파크업,2026-05-14 22:36:13,I,,03,폐업,,262.8,263,,,,2026-01-19 16:34:25,,2018-09-07,,인천광역시 미추홀구 주안동 97-6,CDFI5272002018000005,3510500,,,인천광역시 미추홀구 주안동로 29 (주안동),22135,03,폐업,,,,,,,
,,문학워터파크,,,172576.611809597,437142.079770801,,신고테마파크업,2026-05-14 22:36:13,I,,03,폐업,,3130,3130,,,,2018-09-06 13:13:41,,2018-07-09,,인천광역시 미추홀구 문학동 482 문학경기장,CDFI5272002018000002,3510500,,,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",22234,03,폐업,,,,,,,
,,문학워터파크,,,172576.611809597,437142.079770801,,신고테마파크업,2026-05-14 22:36:13,I,,03,폐업,,,,,,,2018-09-06 13:14:13,,2018-08-17,,인천광역시 미추홀구 문학동 482 문학경기장 동문광장,CDFI5272002018000004,3510500,,,"인천광역시 미추홀구 매소홀로 618, 문학경기장 (문학동)",22234,03,폐업,,,,,,,
미니에어바운스 총3대,,문학워터파크,Y,2014-08-24,172576.611809597,437142.079770801,,신고테마파크업,2026-05-14 22:36:11,I,,03,폐업,,13353,13353,,Y,Y,2014-08-25 10:14:06,,2014-07-17,402-799,인천광역시 미추홀구 문학동 482 문학경기장 동문광장,CDFI5272002014000003,3510500,,,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장 동문광장)",,03,폐업,,,,,,,
,,문학 워터파크,,2015-08-23,172576.611809597,437142.079770801,,신고테마파크업,2026-05-14 22:36:11,I,,03,폐업,,,,,,,2015-09-17 10:10:12,,2015-07-17,402-799,인천광역시 미추홀구 문학동 482 문학경기장 동문광장,CDFI5272002015000001,3510500,,,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장 동문광장)",22234,03,폐업,,,,,,,
배터리카 6종(1종 각 5대),,(주)일구일구,,2017-12-31,171655.850180091,440422.700708173,,신고테마파크업,2026-05-14 22:36:11,I,,03,폐업,,,,,,,2021-03-31 09:02:34,,2015-12-24,,인천광역시 미추홀구 주안동 30-1 지하1층,CDFI5272002015000002,3510500,,,"인천광역시 미추홀구 염창로 58, 지하1층 (주안동)",22128,03,폐업,,,,,,,
,,맘앤키즈테리아,,2022-02-20,170012.616113563,440517.942267848,,신고테마파크업,2026-05-14 22:36:11,I,,03,폐업,,448.94,449,,,,2022-02-24 17:16:15,,2016-03-23,,인천광역시 미추홀구 도화동 640-13 2층 및 4층,CDFI5272002016000001,3510500,,,"인천광역시 미추홀구 경인로 171, 2층 및 4층 (도화동)",22106,03,폐업,,,,,,,
,,문학워터파크,,2016-08-21,172576.611809597,437142.079770801,,신고테마파크업,2026-05-14 22:36:11,I,,03,폐업,,,,,,,2016-08-31 14:34:37,,2016-07-15,,인천광역시 미추홀구 문학동 482 문학경기장 내 보조경기장,CDFI5272002016000003,3510500,,,"인천광역시 미추홀구 매소홀로 618 (문학동, 문학경기장 내 보조경기장)",22234,03,폐업,,,,,,,
,,상상노리(숭의점),,2024-07-10,,,,신고테마파크업,2026-05-14 22:36:12,I,,03,폐업,,489.26,489,,,,2024-07-11 16:14:16,,2016-09-26,,인천광역시 미추홀구 숭의동 180-6 홈플러스 지하2층,CDFI5272002016000005,3510500,,,"인천광역시 미추홀구 석정로 51, 지하2층 (숭의동, 홈플러스)",22160,03,폐업,,,,,,,
,,오렌지트리,,2020-11-30,167517.390179432,438716.512300749,,신고테마파크업,2026-05-14 22:36:12,I,,03,폐업,,234.01,234,,,,2020-12-15 09:39:27,,2016-11-10,,인천광역시 미추홀구 용현동 627-287 501호,CDFI5272002016000006,3510500,,,"인천광역시 미추홀구 낙섬서로 4, 501호 (용현동)",22190,03,폐업,,,,,,,
