사업장명,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설장비,최종수정시점,인허가취소일자,인허가일자,지번주소,관리번호,타기관이전여부,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,전문인력총수
다맥건설(주),790847000,192842.398227195,458081.514801677,2026-05-14 22:50:50,I,1,영업,"공기압축기1대
시추기1대",2007-09-05 11:47:06,,2006-10-25,서울특별시 은평구 갈현동 391-31,C001101111041093L00,1,3110000,서울특별시 은평구 통일로 919 (갈현동),,01,영업/정상,9
(주)탑토건,230000000,192641.690490945,454721.072320616,2026-05-14 22:50:50,I,1,영업,,2023-05-16 17:28:03,,2022-07-21,서울특별시 은평구 응암동 124-29,C001101116563145L00,0,3110000,"서울특별시 은평구 응암로21가길 12, 2층 (응암동)",,01,영업/정상,2
석기건설(주),660000000,153417.894868995,473575.270388501,2026-05-14 03:03:03,U,2,취소정지업체,시추기,2026-05-13 15:56:44,2026-05-13,2019-07-02,,C001201110639578L00,0,3570000,인천광역시 강화군 송해면 대월로 395,23019,03,폐업,2
동화중건설㈜,700000000,168168.968314179,440049.630017863,2026-05-14 22:50:50,I,1,영업,1. 착정기 1,2011-10-30 14:07:52,,1998-05-28,인천광역시 미추홀구 숭의동 346-5,C001201110049610L00,0,3510500,인천광역시 미추홀구 인주대로11번길 42 (숭의동),,01,영업/정상,7
동화건설㈜,700000000,168146.960034601,440037.113769954,2026-05-14 22:50:50,I,1,영업,1. 착정기 1,2011-10-30 14:09:00,,1998-10-30,인천광역시 미추홀구 숭의동 346-6,C001201110077116L00,0,3510500,인천광역시 미추홀구 인주대로11번길 34-7 (숭의동),,01,영업/정상,7
강남산업개발㈜,50000000,170941.493738281,439949.558056411,2026-05-14 22:50:50,I,1,영업,"1. 시추기 1
2. 콤프레샤 1",2011-10-30 14:06:59,,1998-05-09,인천광역시 미추홀구 도화동 421-3,C001201110092461L00,0,3510500,인천광역시 미추홀구 경인로 282 (도화동),,01,영업/정상,2
동성건설㈜,730000000,172531.8385,439211.5605,2026-05-14 22:50:50,I,1,영업,1. 착정기 1,2011-10-30 14:08:20,,1998-07-10,인천광역시 미추홀구 주안동 1554-3,C001201110099277L00,0,3510500,인천광역시 미추홀구 구월남로 6 (주안동),,01,영업/정상,9
원맥건설(주),505000000,171525.129230965,437984.242772433,2026-05-14 22:50:51,I,1,영업,"공기압축기(서울21가6781) 형식: XHP1070WCAT
천공기(경기22고5537) 형식: JS-0685",2019-07-24 17:08:12,,2019-07-24,인천광역시 미추홀구 주안동 1305,C001201110303206L00,0,3510500,"인천광역시 미추홀구 미추홀대로 520, 201동 (주안동)",22231,01,영업/정상,7
그린엔지니어링,40000000,170251.65328433,439033.478950277,2026-05-14 22:50:50,I,1,영업,1. 포크레인식 시추기 1,2011-10-30 14:12:15,,2002-03-08,인천광역시 미추홀구 용현동 70-14,C001210549718000000,0,3510500,인천광역시 미추홀구 인주대로252번길 1 (용현동),,01,영업/정상,2
금정지하수개발,50000000,171349.560376397,440247.304620636,2026-05-14 22:50:50,I,1,영업,1. 착정기 1,2011-10-30 14:09:59,,1999-03-16,인천광역시 미추홀구 주안동 267-2,C001310495662000000,0,3510500,인천광역시 미추홀구 주안로 66 (주안동),,01,영업/정상,2
대동엔지니어링,50000000,171274.432059061,436918.914887773,2026-05-14 22:50:50,I,1,영업,,2025-03-06 16:56:18,,2022-08-18,인천광역시 미추홀구 학익동 78-23,C001310525708000000,0,3510500,인천광역시 미추홀구 소성로278번길 39-79 (학익동),22200,01,영업/정상,2
수정샘물,31000000,168668.771999369,440134.477994635,2026-05-14 22:50:51,I,1,영업,천공기 : 1대(등록번호 : 인천22마5072),2017-07-25 19:45:09,,2017-07-25,인천광역시 미추홀구 숭의동 165-13,C003513600381000000,0,3510500,"인천광역시 미추홀구 미추로 31-1, 8층 1호 (숭의동)",,01,영업/정상,2
경원ENG,35000000,168737.711108775,438415.682288606,2026-05-14 22:50:51,I,1,영업,,2020-05-13 09:10:05,,2020-05-13,인천광역시 미추홀구 용현동 665-19,C006611221343917000,0,3510500,"인천광역시 미추홀구 용정공원로83번길 43, e편한세상 시티 인하대역 103동 1302호 (용현동)",22188,01,영업/정상,2
동성ENG,118450042,,,2026-05-14 22:50:51,I,1,영업,시추기 SP4700SD,2021-08-17 10:31:57,,2021-06-01,인천광역시 미추홀구 주안동 32통3반 인천관교한신휴플러스 110동 2002호,C007608201144112000,0,3510500,"인천광역시 미추홀구 경원대로 717,110동 2002호 (주안동,인천관교한신휴플러스)",,01,영업/정상,2
천호지하수,321054000,167421.569426806,473039.416345924,2026-05-14 21:20:50,I,1,영업,슬라이드식 및 궤도식 유압착정기,2013-01-28 11:01:28,,2013-01-28,경기도 김포시 하성면 마조리 60,C005701201254136000,0,4090000,경기도 김포시 김포대로 759 (사우동),,01,영업/정상,2
김포지하수,278251750,168394.504523731,468546.231472367,2026-05-14 03:03:03,U,1,영업,"천공기(KHC-2001/D4AF/95mm/4.9t)
ㄴ인천22마1129",2026-05-13 11:07:34,,2022-04-25,경기도 김포시 하성면 석탄리 산 71,C008270202028000000,0,4090000,,,01,영업/정상,2
