건물용도명,사업장명,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,지상층수,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수
,영상목회연구소,2012-04-30,204709.625106596,458580.905029921,출판인쇄업,출판사,2026-05-14 22:12:48,I,03,폐업,,,,2012-04-30 14:12:06,,2002-09-23,139-848,서울특별시 노원구 월계동 *** 주공*단지상가 (지하***호),CDFG1251002002000034,3100000,,"서울특별시 노원구 초안산로 **  (월계동,주공*단지상가 (지하***호))",,03,폐업,,,,02-994-7005,,
근린생활시설,(주)소오건축,2006-02-08,206778.029925372,457556.729178093,출판인쇄업,출판사,2026-05-14 22:12:48,I,03,폐업,,,,2006-02-08 14:52:37,,2002-03-19,139-808,서울특별시 노원구 공릉동 ***-*,CDFG1251002002000035,3100000,,서울특별시 노원구 동일로***길 **  (공릉동),,03,폐업,,,,02-948-0258,,
,도서출판미래파,2004-03-31,205742.125373768,457176.509069823,출판인쇄업,출판사,2026-05-14 22:12:49,I,03,폐업,,,,2013-12-19 14:03:23,,2003-04-29,139-840,서울특별시 노원구 월계동 **-** (지하),CDFG1251002003000007,3100000,,"서울특별시 노원구 화랑로**길 **-** (월계동,(지하))",,03,폐업,,,,20910041,,
,인포원,2004-10-01,,,출판인쇄업,출판사,2026-05-14 22:12:49,I,03,폐업,,,,2004-10-01 12:54:19,,2003-05-19,139-050,서울특별시 노원구 월계동 산 ** 인덕대학 창업보육센타 ***호,CDFG1251002003000009,3100000,,,,03,폐업,,,,,,
,터울림,2003-12-29,205803.176820325,462570.513349934,출판인쇄업,출판사,2026-05-14 22:12:49,I,03,폐업,,,,2003-12-29 13:01:36,,2003-06-12,139-820,서울특별시 노원구 상계동 ***-*** *층,CDFG1251002003000011,3100000,,"서울특별시 노원구 한글비석로**길 **  (상계동,*층)",,03,폐업,,,,02-932-2281,,
,도서출판 9.1,2013-04-01,205455.618698896,457358.731978332,출판인쇄업,출판사,2026-05-14 22:12:50,I,03,폐업,,,,2013-04-01 10:50:46,,2003-06-18,139-847,서울특별시 노원구 월계동 *** 현대상가,CDFG1251002003000013,3100000,,"서울특별시 노원구 석계로 ** (월계동,현대상가)",,03,폐업,,,,02-942-9729,,
,도서출판 스카이,2004-06-03,206668.319076099,460896.983072795,출판인쇄업,출판사,2026-05-14 22:12:50,I,03,폐업,,,,2004-06-03 14:34:05,,2003-06-27,139-860,서울특별시 노원구 중계동 ***-* 세신프라쟈빌딩 ***호,CDFG1251002003000014,3100000,,"서울특별시 노원구 한글비석로 ***,  ***호 (중계동,세신프라쟈빌딩)",,03,폐업,,,,02-938-3458,,
,과수원,2007-01-31,206686.332409947,461010.45375712,출판인쇄업,출판사,2026-05-14 22:12:50,I,03,폐업,,,,2007-02-09 13:03:03,,2003-07-25,139-860,서울특별시 노원구 중계동 ***-** 영광프라자 ***호,CDFG1251002003000016,3100000,,"서울특별시 노원구 한글비석로 ***,  ***호 (중계동,영광프라자)",,03,폐업,,,,02-939-0006,,
,B&P 미디어,2005-11-30,,,출판인쇄업,출판사,2026-05-14 22:12:50,I,03,폐업,,,,2005-11-30 15:14:22,,2003-07-15,139-847,서울특별시 노원구 월계동 ***-*,CDFG1251002003000017,3100000,,서울특별시 노원구 월계로**다길 *  (월계동),,03,폐업,,,,02-943-2148,,
,(주)메디팜뉴스,2008-12-10,206626.865958361,457406.081083339,출판인쇄업,출판사,2026-05-14 22:12:50,I,03,폐업,,,,2008-12-10 08:55:21,,2003-09-15,139-808,서울특별시 노원구 공릉동 ***-** 천호빌딩 *층,CDFG1251002003000019,3100000,,"서울특별시 노원구 동일로***길 *  (공릉동,천호빌딩 *층)",,03,폐업,,,,02-978-1114,,
