사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
GS25 양천보람점,2026-05-15,185361.090305086,447619.713452063,2026-05-14 03:03:03,U,03,폐업,2026-05-13 14:24:44,,2024-01-04,,서울특별시 양천구 신월동 ***-**,PHMG120243140033047000005,3140000,"서울특별시 양천구 곰달래로*길 **, *층 (신월동)",07923,03,폐업,,,,
(주)알파미디어코리아,2026-05-13,204935.828411748,444528.610115575,2026-05-14 03:03:03,U,03,폐업,2026-05-13 15:56:06,,2021-01-18,,서울특별시 강남구 대치동 ***-*,PHMG120213220033047000019,3220000,"서울특별시 강남구 역삼로**길 *, *층 (대치동)",06195,03,폐업,,,,
주식회사 소유메디칼,,192403.199513268,451124.615897058,2026-05-14 03:03:03,U,13,영업중,2026-05-13 14:24:54,,2024-09-13,,서울특별시 마포구 성산동 ***-* 성산동 성일 APT,PHMG120243130033047000146,3130000,"서울특별시 마포구 월드컵북로 **, *층 ***-***호 (성산동, 성산동 성일 APT)",03978,01,영업/정상,,,,
(주)코리아세븐 옥수점,,201222.07429303,448765.977811344,2026-05-14 03:03:03,U,13,영업중,2026-05-13 16:22:13,,2021-05-04,,,PHMG120213030033047000064,3030000,"서울특별시 성동구 한림말길 **, 옥수삼성아파트 상가 ***호 (옥수동)",04735,01,영업/정상,,,,
주식회사 밀락,,217911.72515134,419867.005906414,2026-05-14 03:03:03,U,13,영업중,2026-05-13 08:48:46,,2025-09-05,,경기도 용인시 처인구 포곡읍 영문리 ***-* 가동,PHMG120254050147047000038,4050000,경기도 용인시 처인구 포곡읍 영문로 ***-*,17025,01,영업/정상,,,,
디엔에이치,2026-05-12,202887.673355182,445667.875139372,2026-05-14 03:03:03,U,03,폐업,2026-05-13 17:59:09,,2020-03-04,,"서울특별시 강남구 논현동 ***번지 **호 e그린빌딩, *층",PHMG120203220033047000078,3220000,"서울특별시 강남구 논현로***길 **, e그린빌딩 *층 (논현동)",06105,03,폐업,,,,
지에스25 영등포병원점,2026-05-13,190704.789048403,447217.471444679,2026-05-14 03:03:03,U,03,폐업,2026-05-13 17:11:50,,2022-02-07,,서울특별시 영등포구 당산동*가 ***-*,PHMG120223180034047000041,3180000,"서울특별시 영등포구 당산로**길 *, *층 (당산동*가)",07256,03,폐업,,,,
미니스톱 마석오복점,2026-05-13,226427.866476469,461458.35066807,2026-05-14 03:03:03,U,03,폐업,2026-05-13 11:46:18,,2022-07-21,,경기도 남양주시 화도읍 마석우리 ***-*,PHMG120223990309047000260,3990000,"경기도 남양주시 화도읍 비룡로**번안길 *, *층",12173,03,폐업,,,,
영양칠보석건강한세상,,204913.270165215,395066.818839855,2026-05-14 22:32:01,I,15,전출,2017-12-11 17:18:30,,2016-07-07,,경기도 평택시 서정동 ***번지 *호,PHMG120164520031047000051,4520000,"경기도 평택시 서정역로**번길 *, *층 (서정동)",17779,05,제외/삭제/전출,,,,
주식회사 에스엠메디텍,,218659.726128196,414472.882096271,2026-05-14 03:03:03,U,13,영업중,2026-05-13 15:50:39,,2025-08-08,,경기도 용인시 처인구 김량장동 **-*,PHMG120254050147047000034,4050000,경기도 용인시 처인구 백옥대로****번길 ** (김량장동),17063,01,영업/정상,,,,160.88
(주)스탠던스,,217911.72515134,419867.005906414,2026-05-14 03:03:03,U,13,영업중,2026-05-13 08:50:32,,2025-05-01,,경기도 용인시 처인구 포곡읍 영문리 ***-*,PHMG120254050147047000017,4050000,"경기도 용인시 처인구 포곡읍 영문로 ***-*, 가동",17025,01,영업/정상,,,,
