사업장명,사업자등록번호,종별명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,배출시설연간가동일수,배출시설조업시간,환경업무구분명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,주생산품명,방지시설연간가동일수,방지시설조업시간,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,업종구분명
평화아스콘(전: 영광아스콘(주)),,1종,,,,,2026-05-14 03:03:03,U,01,영업,200,8,대기배출업소관리,2026-05-13 09:26:16,2005-03-01,,경기도 포천시 동교동  558-27번지,641000001200500121,6410000,,0,,,,,01,영업/정상,,,,아스콘 제조업
인트리(주),1238644038,5종,인쇄회로판 제조업,,171985.243511537,442204.373489857,2026-05-14 03:03:03,U,11,영업,0,0,대기배출업소관리,2026-05-13 14:04:47,2000-05-22,,인천광역시 서구 가좌동 467-8,356000021200002144,3560000,전자부품,0,,인천광역시 서구 가좌로95번길 11 (가좌동),,,01,영업/정상,,,032-560-0613,인쇄회로판 제조업
(주)제이.에이.씨,1378125980,5종,,,169198.253745178,443965.618667751,2026-05-14 03:03:03,U,11,영업,0,0,대기배출업소관리,2026-05-13 16:19:52,2001-10-25,,인천광역시 서구 가좌동 602-18,356000021200102897,3560000,,0,,인천광역시 서구 중봉대로198번길 37 (가좌동),,,01,영업/정상,,,032-578-2703,
조광목재,1216464583,5종,,,167021.601084114,444641.854158301,2026-05-14 03:03:03,U,11,영업,300,8,대기배출업소관리,2026-05-13 16:55:37,2018-09-05,,인천광역시 서구 원창동 393-119,356000021201800049,3560000,,300,,인천광역시 서구 북항로177번길 36 (원창동),22856,,01,영업/정상,,,,
엘아이지디펜스앤에어로스페이스(주),2158635051,4종,그외 기타 정보 서비스업,,209781.969326761,433641.791878299,2026-05-14 03:03:03,U,11,영업,350,20,대기배출업소관리,2026-05-13 14:20:48,2015-11-10,,경기도 성남시 분당구 삼평동 702 엘아이지디펜스앤에어로스페이스(주),378000021201500012,3780000,,350,,"경기도 성남시 분당구 판교로 333, 엘아이지디펜스앤에어로스페이스(주) (삼평동)",13488,,01,영업/정상,,,,그외 기타 정보 서비스업
삼전순약공업㈜,1258115515,4종,기타 기초 무기화합물 제조업,,207156.257346422,392637.484552309,2026-05-14 03:03:03,U,11,영업,264,8,대기배출업소관리,2026-05-13 14:42:28,1994-10-20,,경기도 평택시 모곡동 440-3,391000021199400033,3910000,,264,,경기도 평택시 산단로16번길 117 (모곡동),,,01,영업/정상,,,031-668-0700,기타 기초 무기화합물 제조업
(주)진명코팅,1308705909,4종,플라스틱 접착테이프 및 기타 표면도포제품 제조업,,179176.336706936,447377.473532668,2026-05-14 03:03:03,U,11,영업,300,7,대기배출업소관리,2026-05-13 13:10:24,2004-02-27,,경기도 부천시 오정구 삼정동 15-14,386000021200400930,3860000,화장품용기,300,,경기도 부천시 오정구 석천로453번길 92-14 (삼정동),,,01,영업/정상,,,,플라스틱 접착테이프 및 기타 표면도포제품 제조업
에이메스힐즈 6호,,5종,그 외 기타 달리 분류되지 않은 개인 서비스업,2026-05-13,208753.683210159,383430.796475328,2026-05-14 03:03:03,U,4,폐쇄,,,대기배출업소관리,2026-05-13 17:38:48,2025-03-12,,경기도 평택시 팽성읍 노와리 208-31,391000021202500008,3910000,,,,경기도 평택시 팽성읍 노와길 261-23,18001,,04,취소/말소/만료/정지/중지,,,,그 외 기타 달리 분류되지 않은 개인 서비스업
(주)형제,1348715544,4종,도장 및 기타 피막처리업,,178510.34561337,423733.961471546,2026-05-14 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-13 09:12:46,2017-12-27,,경기도 안산시 단원구 성곡동 637-16 (주)형제 안산공장,393000021201700287,3930000,,,,경기도 안산시 단원구 신원로91번길 73 (성곡동),15423,,01,영업/정상,,,,도장 및 기타 피막처리업
(주)메인텍,1348664918,4종,도금업,,177926.844767995,424032.027166542,2026-05-14 03:03:03,U,11,영업,300,24,대기배출업소관리,2026-05-13 09:59:10,2018-01-02,,경기도 안산시 단원구 성곡동 635-7 안산도금단지,393000021201700288,3930000,,,,경기도 안산시 단원구 신원로 79 (성곡동),15409,,01,영업/정상,,,,도금업
(주)대한송유관공사 경인지사,1088143409,5종,파이프라인 운송업,,187126.516104819,456151.006198759,2026-05-14 03:03:03,U,11,영업,,,대기배출업소관리,2026-05-13 15:38:53,2011-12-30,,,394000021201100020,3940000,,,,경기도 고양시 덕양구 중앙로 323 (강매동),,,01,영업/정상,,,,파이프라인 운송업
