축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,주사육업종,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
673,가축사육업,현내흑염소,,250364.934879403,282703.763069781,2026-03-31 23:16:54,I,0000,정상,2020-05-27 08:43:12,,2020-05-27,,,충청남도 금산군 부리면 현내리 ***-**,455000003320200009,4550000,염소,000,충청남도 금산군 부리면 무금로 ****-**,32757,,01,영업/정상,,,
495,가축사육업,마장농장,,246221.978773734,286400.338882394,2026-03-31 23:16:34,I,0000,정상,2014-01-16 20:41:23,,2014-01-16,,312-852,충청남도 금산군 남일면 마장리 ***,455000003320140090,4550000,한우,000,,,,01,영업/정상,,,
366,가축사육업,둥구나무농장,2014-05-27,233712.341156772,305615.066167294,2026-03-31 23:16:15,I,0002,폐업,2014-05-27 11:31:54,,2013-06-03,,312-924,충청남도 금산군 복수면 지량리 ***,455000003320130008,4550000,한우,000,,,,03,폐업,,,
624,가축사육업,신평농장,,245201.7644111,303481.302464934,2026-03-31 23:16:48,I,0000,정상,2016-08-09 08:54:54,,2015-11-17,,312-943,충청남도 금산군 추부면 신평리 ***-*,455000003320150015,4550000,염소,000,,,,01,영업/정상,,,
8,가축사육업,창평농장,,248081.619779061,288628.748005995,2026-03-31 23:14:45,I,0000,정상,2025-02-18 15:18:24,,2004-10-15,0,312-841,충청남도 금산군 부리면 창평리 ***,455000003320040002,4550000,돼지,000,충청남도 금산군 부리면 창평로 ***,32754,,01,영업/정상,,,
355,가축사육업,그린농장,2014-09-19,235130.18835281,296496.961938294,2026-03-31 23:16:13,I,0002,폐업,2014-09-19 16:39:13,,2012-10-19,,312-921,충청남도 금산군 복수면 수영리 ***-* 외 *필,455000003320120012,4550000,돼지,000,,,,03,폐업,,,
706,가축사육업,대판농장,,222707.349668559,224542.276460118,2026-03-31 03:03:03,U,0000,정상,2026-03-30 13:19:07,,2008-07-09,0,566-913,전북특별자치도 임실군 삼계면 죽계리 ***-*,476100003320080236,4761000,한우,000,전북특별자치도 임실군 삼계면 임삼로 ***-**,55947,,01,영업/정상,,,
685,가축사육업,장미축사,,243699.76805743,292748.858671705,2026-03-31 23:16:56,I,0000,정상,2024-04-05 14:31:33,,2021-08-13,,,충청남도 금산군 금성면 의총리 ***-* 외*(***-*),455000003320210008,4550000,염소,000,,,,01,영업/정상,,,
33,가축사육업,현내농장,,250122.139306605,284215.949315995,2026-03-31 23:14:54,I,0000,정상,2015-02-03 11:12:39,,2004-10-27,0,312-843,충청남도 금산군 부리면 현내리 ***-*,455000003320040027,4550000,한우,000,충청남도 금산군 부리면 현내로 **,,,01,영업/정상,,,
199,가축사육업,흑암농장,,240731.296484827,280452.832248997,2026-03-31 23:15:43,I,0004,말소,2007-08-31 21:00:17,,2006-04-14,0,312-912,충청남도 금산군 남이면 흑암리 ***-*,455000003320060003,4550000,한우,000,,,,04,취소/말소/만료/정지/중지,,,
190,가축사육업,대양축산영농조합법인,2013-06-04,237655.100030564,281689.043829702,2026-03-31 23:15:42,I,0002,폐업,2013-06-03 18:46:23,,2005-12-02,0,312-893,충청남도 금산군 남이면 대양리 ***,455000003320050140,4550000,한우,L00,충청남도 금산군 남이면 대양새터길 *,,,03,폐업,,,
476,가축사육업,희준농장,,233849.613207948,294052.382403397,2026-03-31 23:16:30,I,0004,말소,2025-05-08 11:17:25,,2014-01-16,,312-933,충청남도 금산군 진산면 읍내리 ***,455000003320140071,4550000,한우,000,,,,04,취소/말소/만료/정지/중지,,,
590,가축사육업,조정농장,,247232.133394626,299334.781210402,2026-03-31 23:16:42,I,0004,말소,2025-05-08 11:18:26,,2014-05-19,,312-832,충청남도 금산군 군북면 조정리 ***,455000003320140173,4550000,산양,000,,,,04,취소/말소/만료/정지/중지,,,
189,가축사육업,용현농장,,231568.464318497,297511.636617691,2026-03-31 23:15:42,I,0004,말소,2007-08-31 21:00:41,,2005-12-02,0,312-932,충청남도 금산군 진산면 지방리 ***-*,455000003320050139,4550000,한우,000,충청남도 금산군 진산면 실학로 ***,,,04,취소/말소/만료/정지/중지,,,
445,가축사육업,원중농장,2017-02-21,233444.730220692,303764.182424477,2026-03-31 23:16:26,I,0002,폐업,2017-02-21 08:03:01,,2014-01-10,,312-924,충청남도 금산군 복수면 신대리 ***,455000003320140040,4550000,한우,000,,,,03,폐업,,,
126,가축사육업,초원농장,2014-01-14,,,2026-03-31 23:15:27,I,0002,폐업,2014-01-14 15:49:24,,2005-05-18,0,312-833,충청남도 금산군 군북면 상곡리 ***-*,455000003320050076,4550000,한우,000,,,,03,폐업,,,
21,가축사육업,혜성농장,,225458.877282244,257348.052952055,2026-03-31 03:03:03,U,0000,정상,2026-03-30 10:01:10,,2005-06-13,0,563-843,"전북특별자치도 완주군 소양면 신촌리 ***-* , ***-*, ***, ***-*, ***-*, ***-*, ***-**, ***-*, ***-* 외*필지",472100003320050013,4721000,돼지,000,전북특별자치도 완주군 소양면 곰티로 ***,,,01,영업/정상,,,
458,가축사육업,영섭농장,2022-03-17,237751.952390524,295678.392926169,2026-03-31 23:16:28,I,0002,폐업,2022-03-17 16:08:47,,2014-01-10,,312-923,충청남도 금산군 복수면 다복리 ***,455000003320140053,4550000,한우,000,,,,03,폐업,,,
493,가축사육업,길기택농장,2022-03-17,250573.101898887,283236.230024096,2026-03-31 23:16:33,I,0002,폐업,2022-03-17 16:11:27,,2014-01-16,,312-843,충청남도 금산군 부리면 현내리 ***-*,455000003320140088,4550000,한우,000,,,,03,폐업,,,
477,가축사육업,방충농장,,234082.34489044,294101.659619522,2026-03-31 23:16:30,I,0000,정상,2016-12-28 19:55:56,,2014-01-16,,312-933,충청남도 금산군 진산면 읍내리 **-*,455000003320140072,4550000,한우,000,,,,01,영업/정상,,,
604,가축사육업,추부농장,,240652.526110076,296062.791551589,2026-03-31 23:16:45,I,0000,정상,2014-10-01 09:20:12,,2014-10-01,,312-942,충청남도 금산군 추부면 용지리 ***,455000003320140187,4550000,산양,000,,,,01,영업/정상,,,
197,가축사육업,두곡농장,,240709.619314429,294399.423791218,2026-03-31 23:15:43,I,0004,말소,2007-08-31 20:44:57,,2006-04-14,0,311-911,충청남도 금산군 금성면 두곡리 ***-*,455000003320060001,4550000,한우,000,,,,04,취소/말소/만료/정지/중지,,,
1511,가축사육업,.,,163636.962536151,346344.111798335,2026-03-31 03:03:03,U,0000,정상,2026-03-30 16:54:53,,2007-06-28,0,350-851,충청남도 홍성군 갈산면 신안리 ***,460000003320070045,4600000,한우,000,,,2023-12-11,01,영업/정상,,,
276,가축사육업,지방농장,2013-08-30,231635.596301398,298134.981118626,2026-03-31 23:16:01,I,0002,폐업,2013-08-30 11:45:30,,2008-08-05,0,312-932,충청남도 금산군 진산면 지방리 ***,455000003320080041,4550000,한우,000,충청남도 금산군 진산면 실학로 ***,,,03,폐업,,,
611,가축사육업,행경농장,2025-09-17,244437.567724255,301280.905368002,2026-03-31 23:16:46,I,0002,폐업,2025-09-17 15:02:40,,2015-03-17,,312-943,충청남도 금산군 추부면 요광리 ***-*,455000003320150003,4550000,한우,000,충청남도 금산군 추부면 은행나무길 **-*,32710,,03,폐업,,,
354,가축사육업,(주)헬로피그,,248889.47990221,291678.400419807,2026-03-31 23:16:13,I,0000,정상,2020-02-21 13:40:30,,2012-10-05,,312-821,충청남도 금산군 제원면 구억리 **,455000003320120011,4550000,돼지,L00,충청남도 금산군 제원면 신안사로 **,,,01,영업/정상,,,
586,가축사육업,장동농장,2017-07-05,241452.383310984,288425.551283416,2026-03-31 23:16:42,I,0002,폐업,2017-07-05 17:50:48,,2014-04-10,,312-805,충청남도 금산군 금산읍 음지리 ***,455000003320140169,4550000,한우,000,,,,03,폐업,,,
285,가축사육업,보광농장,,249047.531831429,300507.706780756,2026-03-31 23:16:03,I,0001,휴업,2019-07-11 16:40:12,,2009-01-12,0,,충청남도 금산군 군북면 보광리 ***-*,455000003320090006,4550000,한우,000,충청남도 금산군 군북면 보광로 ***,32717,,02,휴업,2017-01-16,2020-01-15,
658,가축사육업,자라전농장,,239050.708810449,298112.912817968,2026-03-31 23:16:51,I,0000,정상,2021-03-22 10:48:36,,2019-08-26,,,충청남도 금산군 복수면 용진리 ***,455000003320190005,4550000,한우,000,충청남도 금산군 복수면 자라전길 **,32702,,01,영업/정상,,,
258,가축사육업,한울농장,,,,2026-03-31 23:15:57,I,0000,정상,2008-07-01 11:59:26,,2008-07-01,0,312-833,충청남도 금산군 군북면 상곡리 ***,455000003320080023,4550000,한우,000,,,,01,영업/정상,,,
540,가축사육업,봉수농장,2016-07-21,247871.726087762,293698.233179018,2026-03-31 23:16:37,I,0002,폐업,2016-07-21 17:52:42,,2014-02-14,,312-824,충청남도 금산군 제원면 명곡리 ***-*,455000003320140133,4550000,한우,000,,,,03,폐업,,,
63,가축사육업,마장농장,,246075.882839655,286480.087516888,2026-03-31 23:15:07,I,0004,말소,2007-08-31 21:00:00,,2005-01-27,0,312-852,충청남도 금산군 남일면 마장리 ***-*,455000003320050013,4550000,한우,000,,,,04,취소/말소/만료/정지/중지,,,
256,가축사육업,나리네농장,2014-05-27,233907.916417449,300466.587941291,2026-03-31 23:15:57,I,0002,폐업,2014-05-27 11:30:48,,2008-07-01,0,312-922,충청남도 금산군 복수면 구례리 ***-*,455000003320080021,4550000,한우,000,,,,03,폐업,,,
378,가축사육업,공감농장,2018-04-06,251547.963432014,294705.39875488,2026-03-31 23:16:16,I,0002,폐업,2018-04-06 13:50:01,,2013-07-08,,312-821,충청남도 금산군 제원면 신안리 ***-*,455000003320130019,4550000,돼지,000,충청남도 금산군 제원면 신안천길 **,,,03,폐업,,,
505,가축사육업,인선농장,2022-03-17,246334.251728097,286414.71470542,2026-03-31 23:16:35,I,0002,폐업,2022-03-17 16:10:08,,2014-01-21,,312-852,충청남도 금산군 남일면 마장리,455000003320140100,4550000,한우,000,충청남도 금산군 남일면 마장길 ***,32753,,03,폐업,,,
544,가축사육업,홍농장,,252005.619868971,299265.25959156,2026-03-31 23:16:38,I,0000,정상,2024-10-16 16:28:58,,2014-02-14,,312-833,충청남도 금산군 군북면 산안리 ***,455000003320140137,4550000,한우,000,,,,01,영업/정상,,,
372,가축사육업,순흥농장,2016-09-09,236713.40607265,292972.766249363,2026-03-31 23:16:15,I,0002,폐업,2016-09-09 15:00:56,,2013-06-18,,312-931,충청남도 금산군 진산면 엄정리 ***,455000003320130014,4550000,한우,000,,,,03,폐업,,,
93,가축사육업,월곡농장,,237451.37339501,296338.722320066,2026-03-31 23:15:16,I,0000,정상,2019-12-09 13:53:12,,2005-03-21,0,312-923,충청남도 금산군 복수면 다복리 ***,455000003320050043,4550000,한우,000,충청남도 금산군 복수면 다복월곡길 **,,,01,영업/정상,,,
595,가축사육업,웃말농장,,251330.871122144,290500.556007591,2026-03-31 23:16:43,I,0000,정상,2014-08-09 10:49:18,,2014-08-09,,312-822,충청남도 금산군 제원면 천내리 ***,455000003320140178,4550000,산양,000,,,,01,영업/정상,,,
225,가축사육업,신농장,2013-10-31,251081.457810577,301353.253167603,2026-03-31 23:15:49,I,0002,폐업,2013-10-31 17:00:56,,2007-09-06,0,312-833,충청남도 금산군 군북면 상곡리 ***,455000003320070021,4550000,한우,000,충청남도 금산군 군북면 산꽃로 ***,,,03,폐업,,,
2556,가축사육업,.,,160422.913238254,340530.093650987,2026-03-31 03:03:03,U,0000,정상,2026-03-30 16:20:49,,2008-07-10,0,350-871,충청남도 홍성군 결성면 용호리 ***,460000003320080852,4600000,한우,000,,,,01,영업/정상,,,
659,가축사육업,정수농장,2022-03-17,246315.778693509,303506.736552537,2026-03-31 23:16:51,I,0002,폐업,2022-03-17 16:00:31,,2019-09-17,,,충청남도 금산군 추부면 성당리 ***-*,455000003320190006,4550000,한우,000,충청남도 금산군 추부면 승무재로 ***,32710,,03,폐업,,,
351,가축사육업,현진농장,2013-11-13,240356.101589429,289514.907972082,2026-03-31 23:16:13,I,0002,폐업,2013-11-13 18:42:28,,2012-04-12,,312-912,충청남도 금산군 금성면 도곡리 ***,455000003320120008,4550000,한우,000,충청남도 금산군 금성면 양화길 **-**,,,03,폐업,,,
46,가축사육업,대산목장,,249834.751056735,292415.29429054,2026-03-31 23:15:00,I,0000,정상,2020-10-28 17:27:09,,2004-11-18,0,312-823,충청남도 금산군 제원면 대산리 ***,455000003320040040,4550000,젖소,000,충청남도 금산군 제원면 대산길 ***,,,01,영업/정상,,,
