축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,가축인공수정소,무지개번식우전문 컨성팅,,194154.094578051,118259.238625493,2026-03-31 23:15:06,I,0000,정상,2026-02-27 11:14:46,,2026-02-27,0,,전라남도 장흥군 관산읍 옥당리 486-25,491000000320260001,4910000,000,"전라남도 장흥군 관산읍 칠관로 1560-1, 3호",59349,,01,영업/정상,,,
,가축인공수정소,대덕가축인공수정소,,194268.840808874,109223.602253676,2026-03-31 23:14:46,I,0000,정상,2021-10-20 11:15:55,,1985-08-09,0,,전라남도 장흥군 회진면 회진리 762-7,491000000319850001,4910000,000,전라남도 장흥군 회진면 가학회진로 1583-1,59360,,01,영업/정상,,,
,가축인공수정소,한우인공수정소,,195234.363313209,131824.741998161,2026-03-31 23:14:47,I,0000,정상,2012-12-21 13:36:13,,1993-01-16,0,,전라남도 장흥군 장흥읍 삼산리 산 92,491000000319930001,4910000,000,,,,01,영업/정상,,,
,가축인공수정소,용산가축인공수정소,,,,2026-03-31 23:14:47,I,0000,정상,2003-02-11 16:11:57,,1994-03-22,0,,전라남도 장흥군 용산면 계산리 411,491000000319940001,4910000,000,,,,01,영업/정상,,,
,가축인공수정소,농민가축인공수정소,,189662.305173944,128771.519703916,2026-03-31 23:14:48,I,0000,정상,2014-12-19 15:14:20,,1995-10-24,0,,전라남도 장흥군 장흥읍 순지리 365,491000000319950001,4910000,000,전라남도 장흥군 장흥읍 순지길 22,59336,,01,영업/정상,,,
,가축인공수정소,장평가축인공수정소,,195673.965858804,143228.745638171,2026-03-31 23:14:48,I,0000,정상,2024-11-12 10:46:10,,1997-03-19,0,,전라남도 장흥군 장평면 축내리 260-9,491000000319970001,4910000,000,,,,01,영업/정상,,,
,가축인공수정소,명성동물병원부설가축인공수정소,,194443.029262149,118226.032786704,2026-03-31 23:14:48,I,0000,정상,2021-10-20 11:59:38,,1997-03-21,0,,전라남도 장흥군 관산읍 옥당리 430-9,491000000319970002,4910000,000,,,,01,영업/정상,,,
,가축인공수정소,희망동물병원부설가축인공수정소,,191780.569276927,130995.844700728,2026-03-31 23:14:49,I,0000,정상,2003-02-11 16:26:18,,1997-05-12,0,,전라남도 장흥군 장흥읍 건산리 407,491000000319970003,4910000,000,전라남도 장흥군 장흥읍 흥성로 78,,,01,영업/정상,,,
,가축인공수정소,천관가축인공수정소,,191789.810943861,119298.096897694,2026-03-31 23:14:49,I,0000,정상,2021-10-20 12:05:50,,1998-08-26,0,,전라남도 장흥군 관산읍 남송리 376-1,491000000319980001,4910000,000,,,,01,영업/정상,,,
,가축인공수정소,장흥가축인공수정소,,191808.371297933,131745.921729069,2026-03-31 23:14:49,I,0000,정상,2021-03-17 11:57:34,,1999-09-10,82.6,,전라남도 장흥군 장흥읍 원도리 291-11,491000000319990001,4910000,000,전라남도 장흥군 장흥읍 장흥로 74,,,01,영업/정상,,,061-862-7576
,가축인공수정소,현대동물병원부설가축인공수정소,,191700.553098193,131123.273344351,2026-03-31 23:14:50,I,0000,정상,2021-10-20 11:28:20,,1999-06-11,0,,전라남도 장흥군 장흥읍 건산리 395-2,491000000319990002,4910000,000,,,,01,영업/정상,,,
,가축인공수정소,순한 한우 가축인공수정소,,198647.696236809,119997.900934999,2026-03-31 23:14:51,I,0000,정상,2005-11-23 18:28:33,,2005-11-23,0,,전라남도 장흥군 관산읍 죽청리 27-4,491000000320050001,4910000,000,전라남도 장흥군 관산읍 정남진해안로 1183-4,,,01,영업/정상,,,061-867-1424
,가축인공수정소,대덕 동물병원 부설 가축인공수정소,,189515.059083173,111161.859729872,2026-03-31 23:14:54,I,0000,정상,2020-02-13 17:29:57,,2008-05-28,0,,전라남도 장흥군 대덕읍 신월리 105-5,491000000320080001,4910000,000,전라남도 장흥군 대덕읍 대대로 914-1,,,01,영업/정상,,,
,가축인공수정소,선동물병원 부설가축인공수정소,,194443.584487616,118256.798153937,2026-03-31 23:14:54,I,0000,정상,2009-07-21 10:03:48,,2009-07-21,80.5,,전라남도 장흥군 관산읍 옥당리 430-2,491000000320090001,4910000,000,전라남도 장흥군 관산읍 정남진로 15,,,01,영업/정상,,,
,가축인공수정소,우상 가축인공수정소,,191322.277686431,137179.792967104,2026-03-31 23:14:55,I,0000,정상,2020-05-11 18:02:43,,2010-01-06,43,,전라남도 장흥군 부산면 금자리 1075-28,491000000320100001,4910000,000,전라남도 장흥군 부산면 부산로 121,59310,,01,영업/정상,,,
,가축인공수정소,한우인공수정소,,194515.089420445,145225.174019642,2026-03-31 23:14:56,I,0000,정상,2011-08-22 14:00:34,,2011-08-22,0,,전라남도 장흥군 장평면 청용리 306-8,491000000320110001,4910000,000,,,,01,영업/정상,,,
,가축인공수정소,관산가축인공수정소,,189538.278126355,128988.736188837,2026-03-31 23:14:56,I,0000,정상,2012-01-18 16:03:10,,2011-12-12,0,,전라남도 장흥군 장흥읍 순지리 168,491000000320110002,4910000,000,전라남도 장흥군 장흥읍 장흥대로 3208-15,,,01,영업/정상,,,
,가축인공수정소,중앙가축인공수정소,,189786.194121492,111201.793663622,2026-03-31 23:14:57,I,0000,정상,2021-01-15 13:48:05,,2021-01-15,0,,전라남도 장흥군 대덕읍 연정리 1282-22,491000000320210001,4910000,000,전라남도 장흥군 대덕읍 대대로 942,59365,,01,영업/정상,,,
