사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
송천성심약국,,211426.858264641,262582.775825418,2026-03-31 23:15:16,I,0000,정상,2019-06-26 10:12:44,,2019-06-26,,,전북특별자치도 전주시 덕진구 송천동1가 107-179,464100001120190005,4641000,000,전북특별자치도 전주시 덕진구 솔내로 148 (송천동1가),54823,,01,영업/정상,,,
새하얀온누리약국,,210515.100987776,256247.110005373,2026-03-31 23:15:58,I,0000,정상,2025-05-09 15:37:12,,2025-05-09,,,전북특별자치도 전주시 완산구 효자동1가 283,464100001120250008,4641000,000,전북특별자치도 전주시 완산구 용머리로 62 (효자동1가),55081,,01,영업/정상,,,
온정약국,,211399.444365007,256190.690938699,2026-03-31 23:15:59,I,0000,정상,2025-06-10 14:24:26,,2025-06-10,,,전북특별자치도 전주시 완산구 효자동1가 195-19,464100001120250011,4641000,000,전북특별자치도 전주시 완산구 용머리로 152 (효자동1가),55093,,01,영업/정상,,,
다범약국,,213445.226420419,256874.84517926,2026-03-31 23:15:43,I,0000,정상,2022-10-24 13:48:47,,2022-10-24,,,전북특별자치도 전주시 완산구 전동 225-1 표정형외과의원,464100001120220043,4641000,000,"전북특별자치도 전주시 완산구 팔달로 104, 표정형외과의원 (전동)",55044,,01,영업/정상,,,
다원온누리약국,,211237.145154842,257224.047339322,2026-03-31 23:16:00,I,0000,정상,2025-07-18 13:21:33,,2025-07-18,,,전북특별자치도 전주시 완산구 중화산동2가 168,464100001120250015,4641000,000,전북특별자치도 전주시 완산구 한두평3길 17-4 (중화산동2가),54986,,01,영업/정상,,,
마더 온누리약국,,209112.223258401,257034.650902519,2026-03-31 23:15:13,I,0000,정상,2018-05-18 13:08:44,,2018-05-18,,,전북특별자치도 전주시 완산구 효자동2가 1246-14,464100001120180009,4641000,000,전북특별자치도 전주시 완산구 서원로 66 (효자동2가),55060,,01,영업/정상,,,
북대365약국,,211395.06412472,260424.684940827,2026-03-31 23:16:05,I,0000,정상,2026-02-26 13:16:04,,2026-02-26,,,전북특별자치도 전주시 덕진구 덕진동1가 1312-77,464100001120260003,4641000,000,"전북특별자치도 전주시 덕진구 명륜4길 21, 1층 (덕진동1가)",54898,,01,영업/정상,,,
가까운약국,,209598.737215855,257275.43436875,2026-03-31 23:16:05,I,0000,정상,2026-02-26 13:30:25,,2026-02-26,,,전북특별자치도 전주시 완산구 효자동2가 1155-1,464100001120260004,4641000,000,전북특별자치도 전주시 완산구 홍산남로 48 (효자동2가),54969,,01,영업/정상,,,
메디칼하늘약국,,203033.625147967,442530.69363817,2026-03-31 22:02:16,I,0000,정상,2026-03-30 13:07:22,,2026-03-30,,,"서울특별시 강남구 도곡동 957-14 하늘빌딩 1층 105, 106호",322000001120260014,3220000,000,"서울특별시 강남구 남부순환로 2609, 하늘빌딩 1층 105,106호 (도곡동)",06267,,01,영업/정상,,,
왕약국,,197952.714702087,433192.765228073,2026-03-31 21:32:11,I,0000,정상,2026-03-30 09:18:30,,2026-03-30,,,경기도 안양시 동안구 관양동 1505-7,383000001120260008,3830000,000,"경기도 안양시 동안구 안양판교로 12-2, 1층 (관양동)",13943,,01,영업/정상,,,
