영업장주변구분명,건물소유구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,시설총규모,공장사무직직원수,공장생산직직원수,공장판매직직원수,여성종사자수,등급구분명,보증액,본사직원수,홈페이지,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,월세액,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,전통업소지정번호,전통업소주된음식,급수시설구분명
,,세오스(SEOS),2026-03-30,175265.663946784,433241.797279469,2026-03-31 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-03-30 13:50:21,2023-07-20,,405-825,인천광역시 남동구 논현동 ***-* 논현메디컬센터,N,,3530000-134-2023-00198,,3530000,"인천광역시 남동구 청능대로 ***, 논현메디컬센터 *층 ****호 (논현동)",21653,03,폐업,방문판매,,,,
,,다섯시엔,2026-03-30,180209.142628953,-16050.0829451362,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 09:01:22,2019-04-24,,699-911,제주특별자치도 서귀포시 표선면 가시리 ***-**,N,,6520000-134-2019-00040,,6520000,제주특별자치도 서귀포시 표선면 한마음초등로 ***-*,63623,03,폐업,전자상거래(통신판매업),,,,
,,참다한홍삼구월점,2026-03-30,174717.036299021,439432.968920886,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 09:51:38,2017-09-19,,405-828,인천광역시 남동구 구월동 ****-* 외*필지 ***호,N,,3530000-134-2017-00092,,3530000,"인천광역시 남동구 용천로 **, *층 ***호 (구월동)",21547,03,폐업,영업장판매,,,,
,,에이치엔웨이,,277868.864714893,391744.72274437,2026-03-31 03:03:03,U,01,영업,0,,,,,,,,,2026-03-30 12:01:28,2025-07-09,,380-823,충청북도 충주시 금가면 원포리 ***-*,N,,4390000-134-2025-00043,,4390000,충청북도 충주시 금가면 김생로 ***,27444,01,영업/정상,영업장판매,,,,
,,제주꿀유통조합,2026-03-30,155332.402326905,1004.86383839773,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 17:51:18,2024-01-15,,690-850,제주특별자치도 제주시 삼도이동 ***-*,N,,6510000-134-2024-00006,,6510000,"제주특별자치도 제주시 서사로 **, *층 (삼도이동)",63178,03,폐업,전자상거래(통신판매업),,,,
,자가,(주)자연드림 양천목4동점,,188378.469291129,448088.948405334,2026-03-31 03:03:03,U,01,영업,0,,,,,,,,,2026-03-30 15:28:30,2013-03-27,194.49,158-818,서울특별시 양천구 목동 ***-*,N,,3140000-134-2013-00067,,3140000,서울특별시 양천구 목동중앙남로 * (목동),07964,01,영업/정상,영업장판매,02-2062-1053,,,
,자가,씨유진주상대베스트점,2026-03-30,301638.99353992,188111.413404385,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 11:18:34,2025-07-03,3.30,660-803,경상남도 진주시 상대동 ***-** 동부시장,N,,5310000-134-2025-00067,,5310000,"경상남도 진주시 대신로 ***, *층 일부 (상대동)",52774,03,폐업,영업장판매,,,,
,,리얼클린족욕시흥은행점,2026-03-30,182166.217484567,438046.305078547,2026-03-31 03:03:03,U,02,폐업,1,,,,,,,,,2026-03-30 17:37:11,2024-04-03,1.00,429-837,경기도 시흥시 은행동 ***-* 만경빌딩 ***호,N,,4010000-134-2024-00066,,4010000,"경기도 시흥시 은행로 ***, 만경빌딩 *층 일부호 (은행동)",14917,03,폐업,영업장판매,,,,
,,야야야프로덕션,2026-03-13,167146.853558482,433106.400418521,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 11:33:39,2023-07-20,1.10,406-081,인천광역시 연수구 송도동 **-* 송도 센트로드 에이동 **층 ****~****의 일부(A-***)호,N,,3520000-134-2023-00342,,3520000,"인천광역시 연수구 인천타워대로 ***, 송도 센트로드 에이동 **층 ****~****의 일부(A-***)호 (송도동)",22007,03,폐업,전자상거래(통신판매업),,,,
,,요이컴퍼니,,337189.388196397,262643.9411188,2026-03-31 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-03-30 14:34:28,2022-02-28,,704-925,대구광역시 달서구 용산동 ***-* 성서*주공아파트,N,,3470000-134-2022-00031,,3470000,"대구광역시 달서구 성지로 **, ***동 **층 ****호 (용산동, 성서*주공아파트)",42621,01,영업/정상,전자상거래(통신판매업),,,,
,,트렌드리더,2026-03-30,363693.968797752,187881.305641214,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 16:54:53,2022-06-02,,621-300,경상남도 김해시 관동동 ***-* 팔판마을*단지푸르지오아파트 ***동 ***호,N,,5350000-134-2022-00188,,5350000,"경상남도 김해시 팔판로 **, ***동 ***호 (관동동, 팔판마을*단지푸르지오아파트)",50999,03,폐업,전자상거래(통신판매업),,,,
,자가,(주)자연드림 양천신정점,,188500.733025206,446194.793236919,2026-03-31 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-03-30 15:30:27,2013-03-27,180.00,158-852,서울특별시 양천구 신정동 ***-**,N,,3140000-134-2013-00066,,3140000,서울특별시 양천구 목동동로*길 * (신정동),08014,01,영업/정상,영업장판매,02-2062-1053,,,
,자가,교원 대구달서센터,,337274.620556094,258940.243940639,2026-03-31 03:03:03,U,01,영업,0,,,,,,,,,2026-03-30 16:04:11,2023-09-19,.00,704-400,대구광역시 달서구 월성동 ****,N,,3470000-134-2023-00188,,3470000,"대구광역시 달서구 월암로 **, 주*동 *층 (월성동)",42755,01,영업/정상,방문판매,,,,
,,블랑드벨,,336954.220302355,262321.195204792,2026-03-31 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-03-30 13:43:56,2022-11-28,,704-743,대구광역시 달서구 용산동 *** 평화타운,N,,3470000-134-2022-00297,,3470000,"대구광역시 달서구 성서동로 ***, ***동 ****호 (용산동, 평화타운)",42623,01,영업/정상,전자상거래(통신판매업),,,,
,,최종그린,2026-03-30,197746.028413587,418993.038051532,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 14:04:41,2025-11-21,,441-440,경기도 수원시 권선구 탑동 **-**,N,,3740000-134-2025-00714,,3740000,"경기도 수원시 권선구 상탑로**번길 **-*, B**호 (탑동)",16605,03,폐업,전자상거래(통신판매업),,,,
,자가,케어포랩올레,,305851.018721111,291810.40396536,2026-03-31 03:03:03,U,01,영업,0,,,,,,,,,2026-03-30 09:46:08,2024-03-13,.98,740-220,경상북도 김천시 율곡동 **,N,,5060000-134-2024-00010,,5060000,경상북도 김천시 해오름*로*길 ** (율곡동),39660,01,영업/정상,영업장판매,,,,
,,앤디즈,2026-03-27,175457.249689901,433279.105185572,2026-03-31 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-03-30 09:10:22,2022-11-23,,405-825,인천광역시 남동구 논현동 ***-* 광성프라자 *층 일부(***-***)호,N,,3530000-134-2022-00430,,3530000,"인천광역시 남동구 청능대로 ***, 광성프라자 *층 일부(***-***)호 (논현동)",21653,03,폐업,전자상거래(통신판매업),,,,
,임대,씨유은계현충로점,2026-03-30,206652.49228446,406682.108586902,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 09:07:47,2025-07-11,1.00,447-300,경기도 오산시 은계동 **-** *층 일부호,N,,4000000-134-2025-00086,,4000000,"경기도 오산시 현충로 **, *층 일부호 (은계동)",18114,03,폐업,영업장판매,,,,
,,종근당건강 헬스벨스토리 성남고등점,2026-03-30,208285.73748185,436284.325711726,2026-03-31 03:03:03,U,02,폐업,0,0,0,0,,,,0,,2026-03-30 15:26:26,2022-08-24,,461-300,경기도 성남시 수정구 고등동 *** ***호,N,,3790000-134-2022-00139,,3780000,"경기도 성남시 수정구 청계산로*길 **, *층 ***호 (고등동)",13105,03,폐업,기타(복합 등),,,,
,,윤아건강보조식품,,336659.811088133,263315.993338343,2026-03-31 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-03-30 14:46:22,2019-12-09,,704-930,대구광역시 달서구 이곡동 ****-**,N,,3470000-134-2019-00167,,3470000,"대구광역시 달서구 선원로**북길 **-*, *층 ***호 (이곡동)",42605,01,영업/정상,전자상거래(통신판매업),,,,
,,영글로벌,,338739.467985469,257878.67789043,2026-03-31 03:03:03,U,01,영업,0,0,0,0,,,,0,,2026-03-30 14:31:27,2020-10-08,,704-817,대구광역시 달서구 상인동 ****-**,N,,3470000-134-2020-00149,,3470000,"대구광역시 달서구 상원로*길 **, *층 (상인동)",42798,01,영업/정상,전자상거래(통신판매업),,,,
,,헬씨우,2026-03-30,170498.763224288,440564.979442528,2026-03-31 03:03:03,U,02,폐업,0,,,,,,,,,2026-03-30 09:06:03,2021-01-19,,,인천광역시 미추홀구 도화동 ***-*,N,,3510500-134-2021-00199,,3510500,"인천광역시 미추홀구 석정로***번길 **, *층 (도화동)",22118,03,폐업,전자상거래(통신판매업),,,,
