축산일련번호,축산업무구분명,사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,축산물운반업,(자)삼보냉동운수,,,255333.349594035,370060.183041404,2026-03-31 23:06:12,I,0000,정상,2026-03-23 20:16:24,,2000-08-12,1.24,,충청북도 증평군 도안면 광덕리 ***-*,557000000820000001,5570000,L00,충청북도 증평군 도안면 원명로 **,27904,,01,영업/정상,,,
,축산물운반업,(주)금강운수,,,255333.349594035,370060.183041404,2026-03-31 23:06:12,I,0000,정상,2019-03-20 09:20:31,,2001-05-12,998,,충청북도 증평군 도안면 광덕리 ***-*,557000000820010001,5570000,L00,충청북도 증평군 도안면 원명로 **,,,01,영업/정상,,,
,축산물운반업,시장축산물,,,251815.459840351,364653.743120422,2026-03-31 23:06:13,I,0000,정상,2023-12-06 10:23:31,,2006-06-26,84,,충청북도 증평군 증평읍 신동리 **,557000000820060001,5570000,000,,,,01,영업/정상,,,
,축산물운반업,(주)제이엠로지스,,,253019.866861204,364705.775957994,2026-03-31 23:06:13,I,0000,정상,2025-10-21 14:58:46,,2011-06-02,66,,충청북도 증평군 증평읍 증천리 ***,557000000820110001,5570000,L00,"충청북도 증평군 증평읍 증평로 ***, *층",27934,,01,영업/정상,,,
,축산물운반업,개별화물,,,250300.866844837,366280.351164355,2026-03-31 23:06:13,I,0000,정상,2023-12-06 10:24:30,,2012-05-18,76.32,,,557000000820120001,5570000,000,충청북도 증평군 증평읍 벌말*길 **-*,27913,,01,영업/정상,,,
,축산물운반업,그린푸드,,,252144.299494267,365008.575801928,2026-03-31 23:06:14,I,0000,정상,2017-01-20 18:53:12,,2016-12-22,113,,충청북도 증평군 증평읍 교동리 ***,557000000820160001,5570000,000,충청북도 증평군 증평읍 장뜰로 **,27931,,01,영업/정상,,,
,축산물운반업,엘에스에이치운수(주),,,250591.289277988,364073.132354553,2026-03-31 23:06:14,I,0000,정상,2019-12-09 09:40:46,,2019-12-09,79,,충청북도 증평군 증평읍 초중리 ***-* 증평빌딩 ***호,557000000820190001,5570000,L00,"충청북도 증평군 증평읍 초중*길 *, 증평빌딩 ***호",27939,,01,영업/정상,,,043-838-0612
,축산물운반업,유한회사 삼보물류,,,255333.349594035,370060.183041404,2026-03-31 23:06:14,I,0000,정상,2026-03-23 19:58:26,,2023-08-17,10,,충청북도 증평군 도안면 광덕리 ***-*,557000000820230001,5570000,L00,충청북도 증평군 도안면 원명로 **,27904,,01,영업/정상,,,88508478
,축산물운반업,쿱로지스틱스 전남,,2024-01-22,237618.075263124,196935.885954609,2026-03-31 23:06:18,I,0002,폐업,2024-01-22 15:54:46,,2018-08-29,23.1,,전라남도 구례군 용방면 죽정리 ***,487000000820180001,4870000,L00,전라남도 구례군 용방면 용산로 ***-**,57607,,03,폐업,,,061-896-6078
,축산물운반업,(주)태무로직스,,,209748.841222546,424310.317489496,2026-03-31 03:03:03,U,0000,정상,2026-03-30 11:04:40,,2023-07-11,5,,경기도 용인시 기흥구 보정동 ****-* 풍산프라자,563000000820230003,4050000,L00,"경기도 용인시 기흥구 죽전로 **, 풍산프라자 ***-H**호 (보정동)",16897,,01,영업/정상,,,
