번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),수리대상 의료기기의 유형,다른 겸업 여부,총규모,영업규모,
1,의료기기판매(임대)업,01_02_03_P,3020000,PHMG120263020033047000018,2026-03-27,,01,영업/정상,13,영업중,,,,,02-701-4233,,,,"서울특별시 용산구 한강로*가  ***-** , 전자타운 B동 ***호",04370,주식회사 스토리지썬,2026-03-27 14:26:51,I,2026-03-29 00:20:01,,196742.815270433,447972.54104319,,,,,
2,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000085,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 ***-**,"서울특별시 강남구 학동로**길 **-*, *층 (논현동)",06112,주식회사 더마노바,2026-03-27 09:52:58,I,2026-03-29 00:20:01,,202481.209252298,445516.87678212,,,142,,
3,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000086,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 논현동 ***-* 거평타운오피스텔,"서울특별시 강남구 봉은사로 ***, 거평타운오피스텔 ****호 (논현동)",06121,유한회사 송우드뱅크(서울지점 글로벌바이오),2026-03-27 11:09:22,I,2026-03-29 00:20:01,,202425.73,444852.88,,,32.8,,
4,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000087,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 대치동 ***-** 동현빌딩,"서울특별시 강남구 역삼로**길 **, 동현빌딩 ***호 (대치동)",06184,유한회사 이상메디,2026-03-27 16:31:51,I,2026-03-29 00:20:01,,205195.491562325,444737.663057669,,,3.3,,
5,의료기기판매(임대)업,01_02_03_P,3220000,PHMG120263220033047000088,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 역삼동 ***-** 테헤란로오피스빌딩,"서울특별시 강남구 테헤란로**길 *, 테헤란로오피스빌딩 ***호 (역삼동)",06211,(주)위드설리번,2026-03-27 16:32:41,I,2026-03-29 00:20:01,,204103.04193011,444558.775468448,,,116.68,,
12,의료기기판매(임대)업,01_02_03_P,3860000,PHMG120263860384047000026,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 부천시 원미구 중동 **** 위브더스테이트,"경기도 부천시 원미구 신흥로 ***, 위브더스테이트 상가*동 ***호 일부호 (중동)",14549,주식회사 더나드컴퍼니,2026-03-27 16:53:25,I,2026-03-29 00:20:01,,180261.181937163,444232.852610205,,,,,
14,의료기기판매(임대)업,01_02_03_P,3030000,PHMG120263030033047000021,2026-03-27,,01,영업/정상,13,영업중,,,,,02-469-2879,,,서울특별시 성동구 성수동*가 ***-* 서울숲코오롱디지털타워,"서울특별시 성동구 성수일로*길 **, 서울숲코오롱디지털타워 ***호 (성수동*가)",04781,주식회사 리얼티쓰,2026-03-27 15:32:09,I,2026-03-29 00:20:01,,204522.096092445,448925.421926728,,,,,
18,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940138047000032,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,경기도 고양시 덕양구 화정동 ***-* 동양트레벨II,"경기도 고양시 덕양구 백양로 **, 동양트레벨II ****호 (화정동)",10500,행운상회,2026-03-27 13:34:55,I,2026-03-29 00:20:01,,185260.272932577,459039.869296121,,,,,
19,의료기기판매(임대)업,01_02_03_P,3940000,PHMG120263940139047000030,2026-03-24,,01,영업/정상,13,영업중,,,,,031-911-9469,,,경기도 고양시 일산동구 산황동 ***-*,"경기도 고양시 일산동구 산황로 ***, *층 (산황동)",10453,폴가든,2026-03-27 09:08:55,I,2026-03-29 00:20:01,,183229.532346729,460984.868554932,,,232.52,,
23,의료기기판매(임대)업,01_02_03_P,3930000,PHMG120263930154047000022,2026-03-27,,01,영업/정상,13,영업중,,,,,,,,,"경기도 안산시 단원구 예술대학로 **, 안산중앙노블레스 ***호 (고잔동)",15360,펄스코리아,2026-03-27 14:12:01,I,2026-03-29 00:20:01,,185438.522300612,424085.645643092,,,,,
26,의료기기판매(임대)업,01_02_03_P,3830000,PHMG120263830262047000008,2026-03-26,,01,영업/정상,13,영업중,,,,,,,,경기도 안양시 만안구 안양동 ***-*,"경기도 안양시 만안구 안양로***번길 **, *층 (안양동)",14092,제일복지용구센터,2026-03-27 14:09:34,I,2026-03-29 00:20:01,,,,,,,,
