번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보x(epsg5174),좌표정보y(epsg5174),환경업무구분명,업종구분명,종별명,주생산품명,배출시설조업시간,배출시설연간가동일수,방지시설조업시간,방지시설연간가동일수,사업자등록번호,
4,대기오염물질배출시설설치사업장,09_30_08_P,4010000,401000021202600001,2026-03-27,,01,영업/정상,11,영업,,,,,031-312-3334,,,경기도 시흥시 신천동 863-20 (주)오일텍,경기도 시흥시 신천로25번길 18 (주)오일텍 (신천동),14952,(주)시흥스카이모터스,2026-03-27 15:23:26,I,2026-03-29 00:20:01,자동차 종합 수리업,181199.666837004,436784.147969518,대기배출업소관리,자동차 종합 수리업,5종,,4,300,4,300,8988100750,
13,대기오염물질배출시설설치사업장,09_30_08_P,4060000,406000021201900023,2019-04-26,,01,영업/정상,11,영업,,,,,,,,경기도 파주시 탄현면 법흥리 41 가동,"경기도 파주시 탄현면 방촌로 449-56, 가동",10858,제이씨아트,2026-03-27 16:47:34,U,2026-03-29 02:40:00,플라스틱제품 제조업,175104.491780951,476034.995391454,대기배출업소관리,플라스틱제품 제조업,5종,,6,180,6,180,7816000331,
14,대기오염물질배출시설설치사업장,09_30_08_P,4030000,403000021202300001,2023-06-28,,01,영업/정상,11,영업,,,,,031-260-0043,,,경기도 의왕시 삼동 460-113 현대자동차그룹 의왕연구소,"경기도 의왕시 철도박물관로 37, 현대자동차그룹 의왕연구소 (삼동)",,현대모비스(주),2026-03-27 17:45:23,U,2026-03-29 02:40:00,그 외 기타 전기장비 제조업,195860.343355713,424676.13325473,대기배출업소관리,그 외 기타 전기장비 제조업,4종,,,0,,0,1018116406,
18,대기오염물질배출시설설치사업장,09_30_08_P,4341000,434100021201500008,2016-01-04,,01,영업/정상,11,영업,,,,,033-638-0759,,,,강원특별자치도 고성군 토성면 잼버리동로 267 (파인리즈컨트리클럽),24763,(주)에이치제이파인리즈리조트,2026-03-27 11:40:30,U,2026-03-29 02:40:00,,334472.217302567,527754.114891642,대기배출업소관리,,5종,,2,365,2,365,2278109871,
29,대기오염물질배출시설설치사업장,09_30_08_P,4060000,406000021202300018,2023-05-26,,01,영업/정상,11,영업,,,,,0319448677,,,경기도 파주시 조리읍 뇌조리 111-5,경기도 파주시 조리읍 뇌조로178번길 15-40 (뇌조리 111-5),10950,신우기업,2026-03-27 15:01:04,U,2026-03-29 02:40:00,금속가구 제조업,184402.903732986,472270.941521838,대기배출업소관리,금속가구 제조업,5종,금속가구 등,8,300,8,300,1281778707,
37,대기오염물질배출시설설치사업장,09_30_08_P,4060000,406000021202400006,2024-03-14,,01,영업/정상,11,영업,,,,,,,,경기도 파주시 탄현면 축현리 54-4,경기도 파주시 탄현면 검산로361번길 86 (축현리 54-4),10846,제이씨 케미칼,2026-03-27 10:52:45,U,2026-03-29 02:40:00,"라이터, 연소물 및 흡연용품 제조업",176634.516631936,477750.869149167,대기배출업소관리,"라이터, 연소물 및 흡연용품 제조업",5종,칼라칩,8,300,8,300,6291302167,
38,대기오염물질배출시설설치사업장,09_30_08_P,4060000,406000021202400005,2024-03-14,,01,영업/정상,11,영업,,,,,,,,"경기도 파주시 광탄면 마장리 183-3 다, 라동","경기도 파주시 광탄면 샘우골길 262-50 (광탄면 마장리 183-3) 다, 라동",10952,화이트가구,2026-03-27 11:33:26,U,2026-03-29 02:40:00,"목재 보존, 방부처리, 도장 및 유사 처리업",189549.930453021,476228.130793393,대기배출업소관리,"목재 보존, 방부처리, 도장 및 유사 처리업",5종,목재가구,8,300,8,300,6456500613,
46,대기오염물질배출시설설치사업장,09_30_08_P,4090000,409000021199900013,1999-11-11,,01,영업/정상,11,영업,,,,,031-989-4761,,,"경기도 김포시 대곶면 송마리 61 , 61-6","경기도 김포시 대곶면 소래로 98, 98-1",10040,신한벽지(주),2026-03-27 14:43:35,U,2026-03-29 02:40:00,벽지 및 장판지 제조업,162565.406630301,461564.132928032,대기배출업소관리,벽지 및 장판지 제조업,4종,"벽지,장판지",24,260,24,260,3118108065,
50,대기오염물질배출시설설치사업장,09_30_08_P,4060000,406000021201500029,2015-05-15,,01,영업/정상,11,영업,,,,,031-953-1960,,,경기도 파주시 탄현면 축현리 124-6,경기도 파주시 탄현면 웅지로 44-60 (축현리 124-6),10846,(주)유성에스티,2026-03-27 11:18:59,U,2026-03-29 02:40:00,"플라스틱 필름, 시트 및 판 제조업",176685.021728538,478612.41547574,대기배출업소관리,"플라스틱 필름, 시트 및 판 제조업",5종,,8,300,8,300,1418132501,
52,대기오염물질배출시설설치사업장,09_30_08_P,4060000,406000021201500087,2015-11-24,,01,영업/정상,11,영업,,,,,031-947-2244,,,경기도 파주시 월롱면 영태리 233-18,경기도 파주시 월롱면 통일로636번길 135-132 (영태리 233-18),10945,(주)블루스카이,2026-03-27 11:12:38,U,2026-03-29 02:40:00,기타 목재가구 제조업,182894.51392616,474127.14259125,대기배출업소관리,기타 목재가구 제조업,5종,가구,8,300,8,300,1418144370,
