축산일련번호,축산업무구분명,사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,소재지우편번호,지번주소,축산물가공업구분명,관리번호,개방자치단체코드,권리주체일련번호,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,식육포장처리업,농업회사법인 송이한우미트 주식회사,,172356.983647959,441781.515277469,2026-04-05 23:03:54,I,0000,정상,2021-03-31 09:02:12,,2017-12-19,0,,인천광역시 서구 가좌동 481-13,식육포장처리업,356000010420210012,3560000,L00,인천광역시 서구 가좌로84번길 45 (가좌동),22824,,01,영업/정상,,,
,식육포장처리업,주식회사 케이엘미트 농업회사법인,,170634.411971034,443360.911953204,2026-04-05 23:03:54,I,0000,정상,2022-03-17 09:12:17,,2021-07-01,0,,인천광역시 서구 가좌동 150-129 2층호,식육포장처리업,356000010420210017,3560000,L00,"인천광역시 서구 가정로77번길 24, 2층 (가좌동)",22837,,01,영업/정상,,,
,식육포장처리업,주식회사 강산푸드,,171038.421947298,444041.610409669,2026-04-05 23:03:54,I,0000,정상,2025-08-27 09:29:03,,2021-08-25,0,,인천광역시 서구 가좌동 114-21,식육포장처리업,356000010420210019,3560000,L00,인천광역시 서구 가정로152번길 12-5(가좌동),22833,,01,영업/정상,,,
,식육포장처리업,(주)육팔,,169574.994612358,454158.524351424,2026-04-05 23:03:54,I,0000,정상,2021-11-05 11:18:03,,2021-11-05,0,,인천광역시 서구 왕길동 103-8 2동,식육포장처리업,356000010420210021,3560000,L00,"인천광역시 서구 사월로 91, 2동 1층 (왕길동)",22671,,01,영업/정상,,,
,식육포장처리업,다울미트,,172345.507541107,441885.582930118,2026-04-05 23:03:54,I,0000,정상,2021-11-23 11:09:18,,2021-11-23,0,,인천광역시 서구 가좌동 481 202호,식육포장처리업,356000010420210022,3560000,000,"인천광역시 서구 가좌로96번길 36, 202호 (가좌동)",22824,,01,영업/정상,,,
,식육포장처리업,주식회사 아노덴,,169863.57174138,444092.334126411,2026-04-05 23:03:54,I,0000,정상,2022-06-30 10:32:52,,2021-12-13,0,,인천광역시 서구 가좌동 173-146,식육포장처리업,356000010420210023,3560000,L00,인천광역시 서구 건지로 160-1(가좌동),22844,,01,영업/정상,,,
,식육포장처리업,준경푸드,,172251.750904332,441952.265914597,2026-04-05 23:03:54,I,0000,정상,2022-12-08 09:41:02,,2022-01-09,0,,인천광역시 서구 가좌동 482 인천축산물백화점 233호,식육포장처리업,356000010420220001,3560000,000,"인천광역시 서구 백범로630번길 22, 인천축산물백화점 233-236호 (가좌동)",22824,,01,영업/정상,,,
,식육포장처리업,(주)남도,,169720.389074778,446282.394035087,2026-04-05 23:03:54,I,0000,정상,2022-12-22 17:04:04,,2022-02-02,0,,인천광역시 서구 원창동 36-28,식육포장처리업,356000010420220002,3560000,L00,"인천광역시 서구 원창로 81, 1층 (원창동)",22770,,01,영업/정상,,,
,식육포장처리업,주식회사 계경그룹 제2공장,,167554.154540163,456502.200705276,2026-04-05 23:03:54,I,0000,정상,2025-12-09 17:59:46,,2022-02-03,0,,인천광역시 서구 금곡동 747-1 주식회사 계경그룹 제2공장,식육포장처리업,356000010420220004,3560000,L00,"인천광역시 서구 소담2로 41, 주식회사 계경그룹 제2공장 (금곡동)",22648,2024-12-01,01,영업/정상,,,
,식육포장처리업,(주)대미식품,,172251.750904332,441952.265914597,2026-04-05 23:03:54,I,0000,정상,2022-03-07 09:37:39,,2022-03-07,0,,인천광역시 서구 가좌동 482 인천축산물백화점 160호,식육포장처리업,356000010420220005,3560000,L00,"인천광역시 서구 백범로630번길 22, 인천축산물백화점 157-160호 (가좌동)",22824,,01,영업/정상,,,
,식육포장처리업,주식회사 정담푸드,,169974.556073863,446489.635722913,2026-04-05 23:03:54,I,0000,정상,2024-09-24 09:14:27,,2022-03-17,0,,인천광역시 서구 원창동 79-4,식육포장처리업,356000010420220006,3560000,L00,인천광역시 서구 봉수대로501번길 9(원창동),22770,,01,영업/정상,,,
,식육포장처리업,주식회사 산과들미트,,169366.446255292,443333.994512145,2026-04-05 23:03:54,I,0000,정상,2023-04-21 09:49:40,,2022-04-04,0,,인천광역시 서구 가좌동 178-469,식육포장처리업,356000010420220007,3560000,L00,인천광역시 서구 백범로934번길 41-6(가좌동),22846,,01,영업/정상,,,
,식육포장처리업,주식회사 태산미트,,166902.451066839,454778.731786845,2026-04-05 23:03:54,I,0000,정상,2022-12-08 10:09:28,,2022-04-08,0,,인천광역시 서구 오류동 387-3 2층호,식육포장처리업,356000010420220009,3560000,L00,"인천광역시 서구 검단로 178, 2층 (오류동)",22662,,01,영업/정상,,,
,식육포장처리업,(주)대경푸드빌 검단점,,167523.989962763,456517.105953892,2026-04-05 23:03:54,I,0000,정상,2025-10-20 10:09:00,,2022-11-25,0,,인천광역시 서구 금곡동 747,식육포장처리업,356000010420220017,3560000,L00,"인천광역시 서구 소담2로 47, 아이푸드파크42 1동 (금곡동)",22648,,01,영업/정상,,,032-575-5143
,식육포장처리업,(주)샛별푸드,,167455.768491999,456886.296908221,2026-04-05 23:03:54,I,0000,정상,2024-02-23 09:40:35,,2022-11-25,0,,인천광역시 서구 금곡동 741-14,식육포장처리업,356000010420220018,3560000,L00,인천광역시 서구 소담1로 70(금곡동),22648,,01,영업/정상,,,
