건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
,,,주식회사영신휴넷,건물위생관리업,2026-01-21,,,,193722.341549051,455423.546311153,2026-04-05 23:08:15,I,02,폐업,,2026-01-21 09:16:55,2007-04-18,132.00,122-906,서울특별시 은평구 응암동 72-2,N,,3110000-206-2007-00016,3110000,"서울특별시 은평구 은평로 200, 지하층 (응암동)",03471,03,폐업,건물위생관리업,02-2275-3650,,,,
0,임대,0,삼육오에버그린(주),건물위생관리업,,,,,192262.673445967,454388.403545792,2026-04-05 23:08:16,I,01,영업,1,2026-03-20 14:55:19,2026-03-20,100.08,122-891,서울특별시 은평구 신사동 336-13,N,1,3110000-206-2026-00001,3110000,"서울특별시 은평구 증산로 395-12, 2층 (신사동)",03442,01,영업/정상,건물위생관리업,,,,,
0,,0,은평 우리동네 맥가이버협동조합,건물위생관리업,2025-12-29,,,,192871.349523365,457780.537795058,2026-04-05 23:08:15,I,02,폐업,0,2025-12-29 14:08:41,2021-02-05,10.00,122-860,서울특별시 은평구 불광동 484-12,N,4,3110000-206-2021-00003,3110000,"서울특별시 은평구 통일로 890, 3층 (불광동)",03341,03,폐업,건물위생관리업,,,,,
5,임대,1,웰니스클린케어,건물위생관리업,2025-12-18,,,,190132.63370852,453778.655851376,2026-04-05 23:08:16,I,02,폐업,0,2025-12-18 09:07:53,2022-05-09,30.00,122-875,서울특별시 은평구 수색동 319-8,N,1,3110000-206-2022-00004,3110000,"서울특별시 은평구 수색로22나길 4, 1층 (수색동)",03487,03,폐업,건물위생관리업,,1,,1,
5,임대,2,(주)선교엠디컴파니,건물위생관리업,2007-06-11,,,,192600.451566859,455197.91922534,2026-04-05 23:08:00,I,02,폐업,,2006-05-12 00:00:00,2005-12-05,52.20,122-933,서울특별시 은평구 응암동 738 해태드림타운 지상2층4호,N,,3110000-206-2005-00006,3110000,,,03,폐업,건물위생관리업,02-386-8138,5,,5,
0,,0,(주)거문환경,건물위생관리업,,,,,192484.601081152,457550.940495162,2026-04-05 23:08:03,I,01,영업,,2021-03-16 10:06:59,2000-03-09,.00,122-812,서울특별시 은평구 갈현동 449-10,N,,3110000-206-2000-02143,3110000,서울특별시 은평구 갈현로33길 3 (갈현동),03321,01,영업/정상,건물위생관리업,02-354-1778,0,0,,
0,,0,(주)성림그린,건물위생관리업,,,,,193260.185356759,455652.402942675,2026-04-05 23:08:03,I,01,영업,,2006-02-27 00:00:00,2002-08-21,64.50,122-834,서울특별시 은평구 녹번동 157-1 (2층),N,,3110000-206-2002-00006,3110000,"서울특별시 은평구 은평로13길 25 (녹번동,(2층))",03459,01,영업/정상,건물위생관리업,02-353-9991,0,0,,
4,임대,1,(주)죠이앤드워크,건물위생관리업,,,,,192992.342751851,457219.376529624,2026-04-05 23:08:03,I,01,영업,,2022-09-29 11:37:30,2003-11-18,60.00,122-842,서울특별시 은평구 대조동 196-1,N,,3110000-206-2003-00008,3110000,"서울특별시 은평구 연서로28길 16, 2층 206호 (대조동)",03385,01,영업/정상,건물위생관리업,02-3157-0135,1,,1,
5,임대,0,(주)은혜환경,건물위생관리업,,,,,193547.856138969,457852.832978392,2026-04-05 23:08:12,I,01,영업,,2017-01-03 15:22:38,2003-12-05,7.00,122-852,"서울특별시 은평구 불광동 107-2 지상1층, 가호",N,,3110000-206-2003-00009,3110000,"서울특별시 은평구 연서로 310, 지상1층 가호 (불광동)",03347,01,영업/정상,건물위생관리업,02-452-7156,1,0,1,0
4,임대,1,명진종합관리,건물위생관리업,,,,,192019.831786475,455998.048864993,2026-04-05 23:08:03,I,01,영업,,2021-10-21 10:45:31,2004-03-19,24.76,122-900,서울특별시 은평구 역촌동 52-24,N,,3110000-206-2004-00005,3110000,"서울특별시 은평구 갈현로 93, 2층 (역촌동)",03430,01,영업/정상,건물위생관리업,02-357-0774,2,0,2,0
