건축물동수,건축물연면적,사업장명,업태구분명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,한양대 올림픽체육관,,2017-01-17,,206711.773147364,454350.54109971,체육도장업,2026-04-05 23:10:11,I,03,폐업,,2017-01-17 15:50:09,,2005-04-04,131-823,,서울특별시 중랑구 면목동 185-116,,CDFH3301022005000003,3060000,사립,서울특별시 중랑구 동일로109길 62-4 (면목동),02125,03,폐업,,,22091744
,,금강 태권도장,,2014-06-25,,206635.776481704,454219.97724872,체육도장업,2026-04-05 23:10:12,I,03,폐업,,2015-06-25 10:43:51,,2005-04-22,131-823,,서울특별시 중랑구 면목동 182-102 지하1층,,CDFH3301022005000005,3060000,사립,서울특별시 중랑구 봉우재로5길 4 (면목동),,03,폐업,,,
,102,올림픽 체육관,,2011-10-31,,207648.898052089,454223.627241256,체육도장업,2026-04-05 23:10:12,I,03,폐업,,2011-12-13 19:23:53,,2006-01-19,131-816,,서울특별시 중랑구 면목동 121-10 (3층),,CDFH3301022006000001,3060000,사립,서울특별시 중랑구 면목로 430 (면목동),,03,폐업,,,
,78,명지대창룡태권도체육관,,2013-04-26,,208148.792134896,453284.091521033,체육도장업,2026-04-05 23:10:12,I,03,폐업,,2013-04-29 14:54:11,,2006-05-02,131-813,,서울특별시 중랑구 면목동 468-35 (3층),,CDFH3301022006000002,3060000,사립,서울특별시 중랑구 면목로48길 80 (면목동),,03,폐업,,,
,229,해동검도 면목도장,,2017-04-19,,207557.339064774,452919.770174065,체육도장업,2026-04-05 23:10:12,I,03,폐업,,2017-04-19 17:21:54,,2006-06-16,131-828,,서울특별시 중랑구 면목동 627-1 (3층0,,CDFH3301022006000004,3060000,사립,서울특별시 중랑구 면목로 290 (면목동),02252,03,폐업,,,
,,희망태권도,,2008-04-18,,208050.642039729,454069.231098993,체육도장업,2026-04-05 23:10:12,I,03,폐업,,2011-11-18 14:45:07,,2006-09-08,131-815,,서울특별시 중랑구 면목동 72-58,,CDFH3301022006000005,3060000,사립,서울특별시 중랑구 겸재로54길 9 (면목동),,03,폐업,,,02-494-1709
,613,봉황 국가대표 태권도장,,2012-12-30,,207736.601877737,453805.758407272,체육도장업,2026-04-05 23:10:12,I,03,폐업,,2014-06-27 13:23:02,,2006-10-09,131-814,,서울특별시 중랑구 면목동 114-1,,CDFH3301022006000006,3060000,사립,서울특별시 중랑구 면목로 388 (면목동),,03,폐업,,,
,,은가람태극 태권도장,,2019-07-02,,207234.664769564,455291.270812487,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2019-07-02 09:20:22,,2007-09-27,131-877,,서울특별시 중랑구 중화동 291-1,,CDFH3301022007000002,3060000,사립,서울특별시 중랑구 동일로130길 50 (중화동),,03,폐업,,,
,,태풍 태권도,,2013-04-20,,208050.642039729,454069.231098993,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2013-11-30 10:51:35,,2008-04-21,131-815,,서울특별시 중랑구 면목동 72-58,,CDFH3301022008000002,3060000,사립,서울특별시 중랑구 겸재로54길 9 (면목동),,03,폐업,,,
,,복싱 히어로,,2018-09-17,,206897.239901889,456993.849504824,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2018-09-17 16:50:41,,2008-06-05,131-848,,서울특별시 중랑구 묵동 294-6,,CDFH3301022008000003,3060000,사립,서울특별시 중랑구 공릉로 52 (묵동),02031,03,폐업,,,
,,고려,,2011-08-22,,207538.20275012,452884.675867015,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2011-11-18 14:14:53,,2008-06-17,131-828,,서울특별시 중랑구 면목동 627-22,,CDFH3301022008000004,3060000,사립,서울특별시 중랑구 면목로 286 (면목동),,03,폐업,,,
,,경희대석사 체육관,,2010-02-03,,209447.332233451,455386.369635939,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2012-01-17 10:46:12,,2008-08-26,131-802,,서울특별시 중랑구 망우동 135-5,,CDFH3301022008000006,3060000,사립,서울특별시 중랑구 망우로 499 (망우동),,03,폐업,,,
,,대학교수 다윗모범 태권도장,,2010-11-12,,207107.771484135,456635.382977467,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2011-11-18 14:11:05,,2008-12-18,131-849,,서울특별시 중랑구 묵동 121-164,,CDFH3301022008000007,3060000,사립,서울특별시 중랑구 공릉로2길 60 (묵동),,03,폐업,,,
1,764,경희대석사 청호태권도,태권도,2023-08-18,,207600.028276016,453544.668417196,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2023-08-21 11:39:05,,2009-10-13,,,서울특별시 중랑구 면목동 566-4 완진빌딩,,CDFH3301022009000002,3060000,사립,"서울특별시 중랑구 면목로55길 25, 3층 (면목동)",02221,03,폐업,,,
,,무경검도관,,2011-10-11,,206752.729398218,455654.900340463,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2015-06-25 10:50:24,,2010-07-08,131-881,,서울특별시 중랑구 중화동 310-1,,CDFH3301022010000003,3060000,사립,서울특별시 중랑구 동일로139길 29 (중화동),,03,폐업,,,22079777
,,파라에스트라 서울(망우),,2019-12-31,,209006.848797065,455300.541065532,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2020-01-02 15:38:52,,2010-12-09,131-802,,서울특별시 중랑구 망우동 202-19,,CDFH3301022010000007,3060000,사립,서울특별시 중랑구 망우로72길 3 (망우동),,03,폐업,,,
,,강한 태권도,,2016-04-29,,207852.404921215,455555.802606243,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2016-04-29 14:06:26,,2011-11-11,131-856,,서울특별시 중랑구 상봉동 286-20,,CDFH3301022011000007,3060000,사립,서울특별시 중랑구 상봉중앙로8길 44 (상봉동),02081,03,폐업,,,63387338
,,국가대표 면목태권도,,2019-07-02,,207648.898052089,454223.627241256,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2019-07-02 16:06:47,,2012-08-01,131-816,,서울특별시 중랑구 면목동 121-10,,CDFH3301022012000003,3060000,사립,서울특별시 중랑구 면목로 430 (면목동),02160,03,폐업,,,
,,짐코리아,,2020-04-01,,208663.451595455,456169.220843508,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2020-04-01 16:48:16,,2013-09-02,131-866,,서울특별시 중랑구 신내동 393-5,,CDFH3301022013000003,3060000,사립,서울특별시 중랑구 봉화산로 236 (신내동),02067,03,폐업,,,
,,챔피언 뮤직 태권도,태권도,2019-12-27,,208585.651427424,455884.764050862,체육도장업,2026-04-05 23:10:13,I,03,폐업,,2020-01-02 13:26:16,,2013-11-29,131-130,1,서울특별시 중랑구 신내동 449-3,,CDFH3301022013000005,3060000,사립,서울특별시 중랑구 봉화산로56길 77 (신내동),,03,폐업,,,02-492-5554
,,차돌 종합체육관,,2015-09-24,,207015.416112718,455285.800740148,체육도장업,2026-04-05 23:10:14,I,03,폐업,,2015-09-24 16:46:39,,2014-03-18,131-875,,서울특별시 중랑구 중화동 288-27,,CDFH3301022014000002,3060000,사립,서울특별시 중랑구 동일로121길 778 (중화동),,03,폐업,,,22070330
,,권철복싱체육관,,2018-02-12,,208766.66188129,455118.157244334,체육도장업,2026-04-05 23:10:14,I,03,폐업,,2018-02-12 14:40:57,,2014-08-18,131-809,,서울특별시 중랑구 망우동 466-4,,CDFH3301022014000005,3060000,사립,서울특별시 중랑구 용마산로 531 (망우동),02165,03,폐업,,,
,,면목 검도관,,2016-11-29,,207706.682420881,453220.197832447,체육도장업,2026-04-05 23:10:14,I,03,폐업,,2016-12-01 10:44:35,,2014-08-22,131-831,,서울특별시 중랑구 면목동 496-20,,CDFH3301022014000006,3060000,사립,서울특별시 중랑구 사가정로 51-10 (면목동),,03,폐업,,,
1,1441,플로어 엑스,,2023-03-09,,207488.099044265,454492.626186323,체육도장업,2026-04-05 23:10:15,I,03,폐업,,2023-03-13 10:32:21,,2015-04-30,,,서울특별시 중랑구 상봉동 109-31 세림빌딩,,CDFH3301022015000001,3060000,사립,"서울특별시 중랑구 봉우재로 113, 지하1층 (상봉동)",02138,03,폐업,,,
,,국가대표 새솔 태권스쿨,태권도,2019-02-26,,209346.339468326,457473.080929422,체육도장업,2026-04-05 23:10:16,I,03,폐업,,2019-03-19 14:50:53,,2015-10-08,,2,,,CDFH3301022015000003,3060000,사립,"서울특별시 중랑구 신내역로3길 4, 5층 502~504호 (신내동, 신내골드프라자)",02055,03,폐업,,,02-3421-4242
,737,레드훅MMA멀티짐,권투,2018-12-31,,206820.636107715,456616.148574207,체육도장업,2026-04-05 23:10:16,I,03,폐업,,2019-03-21 17:19:44,,2016-01-12,,,서울특별시 중랑구 묵동 176-23 삼양빌딩,,CDFH3301022016000001,3060000,사립,"서울특별시 중랑구 공릉로 12 (묵동, 삼양빌딩)",02037,03,폐업,,,
,,신세계멀티태권짐,태권도,2019-07-02,,207852.404921215,455555.802606243,체육도장업,2026-04-05 23:10:16,I,03,폐업,,2019-07-02 09:18:16,,2016-05-30,,,,,CDFH3301022016000004,3060000,사립,"서울특별시 중랑구 상봉중앙로8길 44, 2층 (상봉동)",02081,03,폐업,,,02-6338-7338
,,"망우 복싱, 필라테스, 요가",권투,2018-11-07,,208828.866224487,455325.44427125,체육도장업,2026-04-05 23:10:16,I,03,폐업,,2018-11-07 14:54:41,,2017-11-28,,,서울특별시 중랑구 망우동 358-5 연운빌딩 501호,,CDFH3301022017000004,3060000,사립,"서울특별시 중랑구 망우로 439, 5층 (망우동)",02059,03,폐업,,,
