침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
0,0,,0,레드폴바버샵 목동점,일반이용업,2,2026-01-08,,,,188431.286329151,446909.365903882,2026-05-03 22:32:08,I,02,폐업,0,2026-01-08 16:00:57,2025-02-26,20.80,158-724,서울특별시 양천구 목동 961 현대하이페리온2,N,0,3140000-203-2025-00001,3140000,"서울특별시 양천구 오목로 300, 205동 1층 111호 (목동, 현대하이페리온2)",08004,03,폐업,일반이용업,,,,,
0,0,,0,스파존사우나 내 이발소,일반이용업,2,2025-12-23,,,,186332.679945287,447538.027901623,2026-05-03 22:30:44,I,02,폐업,0,2025-12-23 13:20:35,2025-06-25,6.60,157-909,서울특별시 강서구 화곡동 900-1 해태드림타운,N,0,3150000-203-2025-00004,3150000,"서울특별시 강서구 강서로7길 28, 지하1층 (화곡동, 해태드림타운)",07777,03,폐업,일반이용업,,,,,
,,,,태현,일반이용업,2,2026-01-28,,,,183306.751602566,452339.893234091,2026-05-03 22:30:26,I,02,폐업,,2026-01-28 11:08:16,1995-07-12,9.25,157-847,서울특별시 강서구 방화동 569-12,N,,3150000-203-1995-01052,3150000,서울특별시 강서구 양천로 72 (방화동),07604,03,폐업,일반이용업,02-2661-1853,,,,
0,0,,0,염창 이용원,일반이용업,2,,,,,188798.189527387,449659.395424975,2026-05-03 22:30:47,I,01,영업,0,2022-09-20 13:44:44,2022-09-20,27.36,157-862,서울특별시 강서구 염창동 263 태진한솔아파트 상가동 102호,N,0,3150000-203-2022-00013,3150000,"서울특별시 강서구 공항대로71길 54, 상가동 102호 (염창동, 태진한솔아파트)",07556,01,영업/정상,일반이용업,,,,,
0,0,,0,곰달래스파사우나 내 이발실,일반이용업,2,,,,,186135.637365199,447558.373870105,2026-05-03 22:30:46,I,01,영업,0,2022-11-23 11:01:08,2022-11-23,20.00,157-910,서울특별시 강서구 화곡동 919-1 곰달래스파사우나 내,N,0,3150000-203-2022-00015,3150000,"서울특별시 강서구 곰달래로 96 (화곡동, 유림노르웨이숲아파트)",07776,01,영업/정상,일반이용업,,,,,
0,0,,0,하츠바버샵,일반이용업,1,,,,,187625.352684112,450133.809405955,2026-05-03 22:30:46,I,01,영업,0,2022-12-06 14:48:56,2022-12-06,91.26,157-841,서울특별시 강서구 등촌동 650-1 강빌딩,N,0,3150000-203-2022-00016,3150000,"서울특별시 강서구 공항대로55길 8, 강빌딩 1층 (등촌동)",07564,01,영업/정상,일반이용업,,,,,
0,0,,0,바버샵 엉클부스,일반이용업,3,,,,,185340.743671151,450856.828690522,2026-05-03 22:30:47,I,01,영업,0,2022-12-22 15:11:28,2022-12-22,50.95,157-210,서울특별시 강서구 마곡동 797-9 매그넘797 2층 207호,N,0,3150000-203-2022-00017,3150000,"서울특별시 강서구 마곡중앙6로 70, 매그넘797 2층 207호 (마곡동)",07803,01,영업/정상,일반이용업,,,,,
0,0,,0,slope 바버샵,일반이용업,2,,,,,186154.853729388,449222.132655449,2026-05-03 22:30:47,I,01,영업,0,2023-02-03 14:43:20,2023-02-03,20.96,157-873,서울특별시 강서구 화곡동 111-81,N,0,3150000-203-2023-00001,3150000,"서울특별시 강서구 화곡로35길 1, 1층 101호 (화곡동)",07696,01,영업/정상,일반이용업,,,,,
0,0,,0,더블핑거 바버샵,일반이용업,2,,,,,187334.471621319,450632.306087305,2026-05-03 22:30:46,I,01,영업,0,2023-03-03 14:48:25,2023-03-03,15.12,157-840,서울특별시 강서구 등촌동 638 서광등촌마을아파트,N,0,3150000-203-2023-00002,3150000,"서울특별시 강서구 공항대로45길 68-6, 상가동 111호 (등촌동, 서광등촌마을아파트)",07566,01,영업/정상,일반이용업,,,,,
0,0,,0,sunny#,일반이용업,4,,,,,184008.284736962,448994.114273108,2026-05-03 22:30:46,I,01,영업,0,2023-06-28 10:37:48,2023-06-28,54.49,157-290,서울특별시 강서구 외발산동 254-5,N,0,3150000-203-2023-00004,3150000,"서울특별시 강서구 남부순환로 274, 제5602부대 2층 (외발산동)",07506,01,영업/정상,일반이용업,02-2620-6881,,,,
