침대수,건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,의자수,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층
11,0,,0,한상숙 피부사랑,피부미용업,5,2015-06-11,,,,167147.79759272,441489.665771126,2026-05-03 22:44:45,I,02,폐업,,2014-06-10 09:55:49,2011-11-01,76.40,400-180,인천광역시 중구 인현동 27-9 2층,N,,3490000-212-2011-00006,3490000,"인천광역시 중구 우현로87번길 23 (인현동, 2층)",22316,03,폐업,피부미용업,,3,,3,
0,1,임대,1,후카시 헤어,일반미용업,3,2018-09-19,,,,167525.791999075,441057.344944109,2026-05-03 22:43:42,I,02,폐업,,2018-09-19 15:50:11,2003-07-02,.00,400-130,인천광역시 중구 율목동 58-2,N,,3490000-204-2003-00010,3490000,인천광역시 중구 개항로96번길 24 (율목동),22319,03,폐업,미용업,032-764-2125,1,0,1,0
0,0,,0,수양미장원,일반미용업,4,,,,,166514.691084352,442073.606395517,2026-05-03 22:42:40,I,01,영업,,2024-11-22 16:39:23,1969-02-10,22.80,400-221,인천광역시 중구 송월동1가 9,N,,3490000-204-1969-00002,3490000,"인천광역시 중구 참외전로13번길 2, 송월아파트상가 (송월동1가)",22308,01,영업/정상,미용업,,0,0,0,0
,,,,신흥머리방,일반미용업,3,2005-09-13,,,,167482.483184878,440668.171021565,2026-05-03 22:43:09,I,02,폐업,,2005-09-14 00:00:00,1992-05-25,19.00,400-101,인천광역시 중구 신흥동1가 1-14,N,,3490000-204-1992-00002,3490000,,,03,폐업,미용업,,,,,
4,0,,0,미 스킨&바디,피부미용업,0,,,,,159236.388411006,443547.588193436,2026-05-03 22:44:45,I,01,영업,,2014-04-22 11:18:01,2013-05-30,65.52,400-811,인천광역시 중구 운남동 118-1 102호,N,,3490000-212-2013-00007,3490000,"인천광역시 중구 운중로 55, 1층 102호 (운남동)",22359,01,영업/정상,피부미용업,032-752-5537,1,0,1,0
,0,,0,행복한미용실,일반미용업,0,,,,,161365.199248509,443069.990863977,2026-05-03 22:43:59,I,01,영업,,2021-11-22 15:42:17,1996-11-06,49.50,400-320,인천광역시 중구 중산동 1886-1 동우타운 109호,N,,3490000-211-1996-00001,3490000,"인천광역시 중구 하늘별빛로65번길 7-3, 109호 (중산동, 동우타운)",22397,01,영업/정상,일반미용업,032-751-3223,0,0,,
0,0,,0,헤어타임,일반미용업,6,2023-07-31,,,,164611.127083895,439140.497647194,2026-05-03 22:44:21,I,02,폐업,0,2023-07-31 15:17:41,2019-08-26,62.00,400-802,인천광역시 중구 항동7가 58-113 1층 102호,N,0,3490000-211-2019-00015,3490000,"인천광역시 중구 연안부두로53번길 4, 해강빌딩 1층 102호 (항동7가)",22348,03,폐업,일반미용업,032-239-1111,,,,
9,0,,0,궁 피부관리,피부미용업,9,2010-11-19,,,,164710.31963459,439237.321943521,2026-05-03 22:44:44,I,02,폐업,,2010-05-24 15:57:17,2010-05-24,87.27,400-802,인천광역시 중구 항동7가 58-48 1층,N,,3490000-212-2010-00007,3490000,,,03,폐업,피부미용업,,1,,,
,2,,,희선 뷰티샆,일반미용업,4,,,,,166874.433233156,440983.214620973,2026-05-03 22:43:42,I,01,영업,,2021-12-16 13:41:30,2003-06-17,40.81,400-070,인천광역시 중구 신생동 7-3,N,,3490000-204-2003-00008,3490000,인천광역시 중구 우현로35번길 11-1 (신생동),22322,01,영업/정상,미용업,032-762-4600,1,,1,
,0,,0,만석미용실,일반미용업,2,2001-10-29,,,,166174.050330726,442349.778066454,2026-05-03 22:43:32,I,02,폐업,,2001-12-05 00:00:00,2000-07-19,30.30,400-201,인천광역시 중구 북성동1가 1-74 12통4반,N,,3490000-204-2000-00003,3490000,,,03,폐업,미용업,,0,0,,
0,0,,0,도도네일,네일아트업,2,,,,,161499.298023263,443837.927085601,2026-05-03 22:44:54,I,01,영업,0,2024-02-21 17:04:24,2016-06-10,39.60,400-320,인천광역시 중구 중산동 1904-1 102호,N,0,3490000-215-2016-00018,3490000,"인천광역시 중구 두미포로 89, 1층 102호 (중산동)",22391,01,영업/정상,네일미용업,070-7818-5840,0,0,0,0
0,2,임대,0,사랑미용실,일반미용업,3,2022-07-11,,,,168198.231138439,440790.626670239,2026-05-03 22:44:03,I,02,폐업,,2022-07-11 11:14:29,2011-06-03,25.00,400-140,인천광역시 중구 도원동 14-5,N,,3490000-211-2011-00005,3490000,"인천광역시 중구 참외전로244번길 2, 1층 (도원동)",22327,03,폐업,일반미용업,032-764-0409,1,,1,
0,0,,0,명성미용실,일반미용업,2,,,,,167612.722161611,440975.939282475,2026-05-03 22:43:20,I,01,영업,,2012-01-30 11:17:11,1997-08-16,12.00,400-130,인천광역시 중구 율목동 46,N,,3490000-204-1997-00007,3490000,인천광역시 중구 서해대로483번길 33 (율목동),22319,01,영업/정상,미용업,,0,0,0,0
,,,,랑스파,피부미용업,,2009-09-23,,,,151619.097264659,438436.591435867,2026-05-03 22:44:52,I,02,폐업,,2008-07-09 15:50:21,2008-07-09,14.70,400-340,인천광역시 중구 운서동 2851 인천국제공항교통센타지하1층스파온에어내(여탕출입구 측),N,,3490000-213-2008-00001,3490000,,,03,폐업,종합미용업,,,,,
,0,,0,조해진미장,일반미용업,0,2005-06-14,,,,,,2026-05-03 22:43:34,I,02,폐업,,2001-12-05 00:00:00,2001-01-30,15.18,400-130,인천광역시 중구 율목동 250-16,N,,3490000-204-2001-00003,3490000,,,03,폐업,미용업,,0,0,,
,,,,안전지대미용실,일반미용업,,2003-04-02,,,,167227.291254342,441430.608272034,2026-05-03 22:43:36,I,02,폐업,,2003-04-04 00:00:00,2001-08-13,.00,400-180,인천광역시 중구 인현동 27-16,N,,3490000-204-2001-00018,3490000,,,03,폐업,미용업,,,,,
0,0,,0,헤어천국,일반미용업,4,2013-08-08,,,,168201.383870676,440769.686474293,2026-05-03 22:44:02,I,02,폐업,,2012-01-30 10:14:24,2010-08-09,32.37,400-140,인천광역시 중구 도원동 12-25 1층,N,,3490000-211-2010-00004,3490000,"인천광역시 중구 참외전로244번길 1-2 (도원동, 1층)",22327,03,폐업,일반미용업,032-885-2562,1,0,0,0
,,,,명미용실,일반미용업,3,2011-10-18,,,,166503.22219915,441904.29797504,2026-05-03 22:43:09,I,02,폐업,,2004-03-09 00:00:00,1992-10-10,15.17,400-223,인천광역시 중구 송월동3가 3,N,,3490000-204-1992-00001,3490000,,,03,폐업,미용업,,,,,
1,0,,0,네일 앤 뷰티홀릭,메이크업업,1,2021-05-10,,,,161087.735936613,443105.582605416,2026-05-03 22:45:01,I,02,폐업,0,2021-05-10 13:46:43,2019-06-03,5.00,400-320,인천광역시 중구 중산동 1884-1 이은스퀘어 301호,N,0,3490000-219-2019-00001,3490000,"인천광역시 중구 하늘중앙로195번길 14, 이은스퀘어 301호 (중산동)",22397,03,폐업,화장ㆍ분장 미용업,,,,,
,0,,0,홍경애미용실,일반미용업,5,2005-06-08,,,,166986.951939831,441152.112083826,2026-05-03 22:43:13,I,02,폐업,,2001-12-04 00:00:00,1994-04-14,46.80,400-150,인천광역시 중구 내동 212-25,N,,3490000-204-1994-00007,3490000,,,03,폐업,미용업,,0,0,,
0,0,,0,착한네일,네일아트업,3,2017-01-31,,,,167008.515014565,440982.366847061,2026-05-03 22:44:53,I,02,폐업,0,2016-09-19 09:37:04,2015-12-30,6.99,400-090,인천광역시 중구 답동 24-3 신포지하상가 116호,N,0,3490000-215-2015-00002,3490000,"인천광역시 중구 우현로 지하 67 (답동, 신포지하상가 116호)",22316,03,폐업,네일미용업,,0,0,0,0
2,0,,0,피오레 스킨케어,피부미용업,2,2020-04-27,,,,160742.24198104,442710.51002459,2026-05-03 22:44:49,I,02,폐업,0,2020-04-27 10:37:09,2019-08-01,26.25,400-320,인천광역시 중구 중산동 1872-1 영종신명스카이뷰주얼리,N,0,3490000-212-2019-00008,3490000,"인천광역시 중구 하늘달빛로 95, 상가1동 109호 (중산동, 영종신명스카이뷰주얼리)",22405,03,폐업,피부미용업,032-751-5711,,,,
0,0,임대,0,닥터 심 스칼프(Dr.Sim Scalp),일반미용업,6,2020-05-20,,,,167140.85893631,441299.220838833,2026-05-03 22:44:16,I,02,폐업,1,2020-05-20 18:03:01,2017-05-31,49.92,400-150,인천광역시 중구 내동 188-8 2층,N,0,3490000-211-2017-00014,3490000,"인천광역시 중구 우현로67번길 1-1, 2층 (내동)",22316,03,폐업,일반미용업,,2,,,
0,0,,0,오샤레(OSHARE),일반미용업,3,,,,,156367.506953525,442384.749245552,2026-05-03 22:44:18,I,01,영업,0,2018-09-28 10:56:25,2018-09-28,34.00,400-340,인천광역시 중구 운서동 2928-1 104호,N,0,3490000-211-2018-00008,3490000,"인천광역시 중구 운서1로 1, 104호 (운서동)",22374,01,영업/정상,일반미용업,032-747-0414,,,,
0,0,,0,미수나헤어플러스,일반미용업,0,2021-05-13,,,,166994.883625065,441142.283788971,2026-05-03 22:44:32,I,02,폐업,0,2021-05-13 17:05:37,2020-12-31,36.39,400-150,인천광역시 중구 내동 212-22,N,0,3490000-211-2020-00020,3490000,"인천광역시 중구 우현로49번길 10-5, 1층 (내동)",22322,03,폐업,일반미용업,,,,,
,0,,0,델리미용실,일반미용업,2,2005-06-13,,,,,,2026-05-03 22:43:08,I,02,폐업,,2001-12-04 00:00:00,1990-04-09,35.54,400-080,인천광역시 중구 신포동 14 8통4반,N,,3490000-204-1990-00002,3490000,,,03,폐업,미용업,,0,0,,
0,0,,0,포쉬네일 항동점,네일아트업,3,2019-08-30,,,,166499.001463662,438496.19428903,2026-05-03 22:44:54,I,02,폐업,0,2019-08-30 09:57:59,2019-01-15,19.50,400-802,인천광역시 중구 항동7가 76-2 롯데팩토리아울렛 인천점 3층,N,0,3490000-215-2019-00001,3490000,"인천광역시 중구 서해대로209번길 2, 롯데팩토리아울렛 인천점 3층 (항동7가)",22338,03,폐업,네일미용업,,,,,
2,0,,0,행복,피부미용업,0,2015-04-30,,,,151811.802443159,437653.715118863,2026-05-03 22:44:46,I,02,폐업,,2014-09-11 16:07:44,2014-09-11,33.60,400-340,인천광역시 중구 운서동 2850-8 2층,N,,3490000-212-2014-00004,3490000,"인천광역시 중구 영종해안남로321번길 190, 2층 (운서동)",22382,03,폐업,피부미용업,,2,,,
