건물지상층수,건물소유구분명,건물지하층수,사업장명,업태구분명,폐업일자,조건부허가시작일자,조건부허가신고사유,조건부허가종료일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,여성종사자수,최종수정시점,인허가일자,소재지면적,소재지우편번호,지번주소,다중이용업소여부,남성종사자수,관리번호,개방자치단체코드,도로명주소,도로명우편번호,회수건조기수,영업상태구분코드,영업상태명,위생업태명,소재지전화번호,사용시작지상층,사용시작지하층,사용끝지상층,사용끝지하층,세탁기수
0,,0,맵시크린,일반세탁업,,,,,199547.194595295,444540.23951026,2026-05-03 22:32:03,I,01,영업,,2017-11-06 17:59:04,2010-11-11,25.69,137-040,서울특별시 서초구 반포동 18-4 래미안퍼스티지 신반포역상가 211호,N,,3210000-205-2010-00018,3210000,"서울특별시 서초구 신반포로 100, 211호 (반포동,래미안퍼스티지 신반포역상가)",06547,1,01,영업/정상,일반세탁업,02-591-9669,2,0,2,0,3
0,임대,0,리더스크린,일반세탁업,,,,,200954.306292388,443150.288045011,2026-05-03 22:32:03,I,01,영업,,2020-06-29 15:19:24,2011-09-16,31.72,137-873,서울특별시 서초구 서초동 1558-17 101호,N,,3210000-205-2011-00007,3210000,"서울특별시 서초구 반포대로22길 59, 101호 (서초동)",06646,1,01,영업/정상,일반세탁업,,1,,1,,2
0,임대,0,노블레스명품크리닝,일반세탁업,,,,,201590.052736,443511.234013843,2026-05-03 22:32:03,I,01,영업,,2020-06-28 14:11:47,2011-10-31,100.00,137-880,서울특별시 서초구 서초동 1640-2 1층(전체라고 함),N,,3210000-205-2011-00008,3210000,"서울특별시 서초구 서초대로60길 27, 1층 (서초동)",06632,,01,영업/정상,일반세탁업,02-3487-2422,1,,1,,2
0,임대,0,노블레스 명품세탁,일반세탁업,,,,,204853.673349105,438648.715942165,2026-05-03 22:32:04,I,01,영업,,2017-06-29 13:56:59,2011-12-01,47.37,137-160,서울특별시 서초구 신원동 285 상가동 105호,N,,3210000-205-2011-00010,3210000,"서울특별시 서초구 청계산로9길 1-12, 상가동 105호 (신원동, 서초포레스타6단지)",06802,0,01,영업/정상,일반세탁업,,1,0,1,0,3
0,임대,0,주부세탁,일반세탁업,,,,,199407.319403883,443010.722991491,2026-05-03 22:32:03,I,01,영업,,2020-06-29 14:46:20,2012-03-13,13.20,137-840,서울특별시 서초구 방배동 876-41 1층,N,,3210000-205-2012-00004,3210000,"서울특별시 서초구 방배로26길 22, 1층 (방배동)",06588,1,01,영업/정상,일반세탁업,02-593-2795,1,,1,,1
0,,0,행복세탁,일반세탁업,,,,,201694.236917729,440159.876550139,2026-05-03 22:32:03,I,01,영업,,2020-06-29 15:27:58,2012-11-12,27.20,137-140,서울특별시 서초구 우면동 707 서초네이처힐1단지 상가동 101호,N,,3210000-205-2012-00010,3210000,"서울특별시 서초구 형촌길 35, 상가동 101호 (우면동, 서초네이처힐1단지)",06765,1,01,영업/정상,일반세탁업,02-593-8939,1,,1,,2
0,임대,0,명품세탁,일반세탁업,,,,,201529.037866706,439470.889363188,2026-05-03 22:32:03,I,01,영업,,2015-08-13 12:47:21,2013-02-05,33.00,137-140,서울특별시 서초구 우면동 773 상가동1 지1층 102호,N,,3210000-205-2013-00001,3210000,"서울특별시 서초구 양재대로2길 90, 지1층 102호 (우면동, 상가동1)",06767,0,01,영업/정상,일반세탁업,,,1,,1,3
0,임대,0,디오빌세탁소,일반세탁업,,,,,202580.644821513,443264.557852558,2026-05-03 22:32:03,I,01,영업,,2017-06-02 15:06:59,2013-06-04,39.75,137-860,서울특별시 서초구 서초동 1337-22 지하1층 B109호,N,,3210000-205-2013-00006,3210000,"서울특별시 서초구 강남대로 321, 지하1층 B109호 (서초동)",06627,0,01,영업/정상,일반세탁업,,0,1,0,1,3
0,임대,0,아이파크세탁,일반세탁업,,,,,202044.629093538,444504.112782023,2026-05-03 22:32:04,I,01,영업,,2020-06-29 15:23:48,2013-11-27,43.16,137-855,서울특별시 서초구 서초동 1303-16 강남역 I`PARK B115호,N,,3210000-205-2013-00011,3210000,"서울특별시 서초구 서초대로77길 62, B115호 (서초동, 강남역 I`PARK)",06611,0,01,영업/정상,일반세탁업,,,1,,1,1
0,임대,0,매직 크리너,일반세탁업,,,,,199603.835618501,442462.527282533,2026-05-03 22:32:03,I,01,영업,,2020-06-29 14:32:52,2013-12-27,41.67,137-842,서울특별시 서초구 방배동 907-3 1층,N,,3210000-205-2013-00013,3210000,"서울특별시 서초구 효령로33길 71, 1층 (방배동)",06665,1,01,영업/정상,일반세탁업,,1,,1,,2
