자산규모,사업장명,폐업일자,자본금,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,부채총액,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,선담커넥트,,,169032.208178376,446794.716345407,2026-05-03 22:48:51,I,01,정상영업,2026-04-17 11:04:15,,,2026-04-17,,인천광역시 서구 청라동 ***-*,2026356028524200004,3560000,"인천광역시 서구 중봉대로 ***, ***호 (청라동)",22770,,01,영업/정상,,,02-1833-3865
,대정정보통신,,,176967.698729655,449750.9658129,2026-05-03 22:48:43,I,07,직권말소,2010-04-27 15:25:19,,,2005-12-02,407-480,인천광역시 계양구 방축동 ***번지,2005355005924200015,3550000,인천광역시 계양구 장제로***번길 **-* (방축동),,2010-04-27,04,취소/말소/만료/정지/중지,,,032-556-3026
,에이치라인,,,176707.310856604,448158.162214896,2026-05-03 22:48:46,I,02,휴업처리,2020-03-31 15:39:26,,,2016-08-19,,,2016355005924200007,3550000,"인천광역시 계양구 오조산로**번길 **, *층 ***호 (계산동, 유연프라자)",21069,,02,휴업,2020-03-31,2021-03-30,032-555-7245
,승인정보통신,,,175350.245418647,447455.355030857,2026-05-03 22:48:46,I,01,정상영업,2016-10-20 13:24:43,,,2016-10-18,,,2016355005924200010,3550000,"인천광역시 계양구 계양대로 ** (작전동, KT 계양빌딩)",21110,,01,영업/정상,,,
,원뷰티코스메틱,,,175927.315737966,449237.574388615,2026-05-03 22:48:46,I,01,정상영업,2020-06-12 14:51:48,,,2017-03-08,,인천광역시 계양구 계산동 ***번지 *호,2017355005924200006,3550000,"인천광역시 계양구 주부토로 ***, *층 (계산동)",21040,,01,영업/정상,,,080-549-8936
0,(주)에이치비텔레콤,,0,174344.584075863,447926.520989414,2026-05-03 22:48:47,I,01,정상영업,2019-11-19 14:26:26,0,,2008-05-19,,,2017355005924200008,3550000,"인천광역시 계양구 안남로 ***, *층 *호 (효성동)",21097,,01,영업/정상,,,032-552-2555
,진성컴퍼니,,,176737.188860293,448498.786895427,2026-05-03 22:48:47,I,07,직권말소,2018-10-31 16:55:22,,,2017-09-29,,,2017355005924200011,3550000,"인천광역시 계양구 계산새로**번길 *, ***-*호 (용종동, 레드몰*차)",21065,,04,취소/말소/만료/정지/중지,,,
,케이앤케이(K&K),,,175603.72406955,447931.502681622,2026-05-03 22:48:47,I,02,휴업처리,2018-09-21 15:52:44,,,2018-02-02,,인천광역시 계양구 작전동 ***번지 **호,2018355005924200001,3550000,"인천광역시 계양구 봉오대로***번길 **-*, *층 (작전동)",21089,,02,휴업,2018-09-21,2019-09-20,070-7816-8318
,퍼스트 컴퍼니,,,176137.852610443,449065.153215463,2026-05-03 22:48:47,I,07,직권말소,2018-12-26 13:23:51,,,2018-04-05,,인천광역시 계양구 계산동 ***번지 *호 인평프라자 ***호,2018355005924200002,3550000,"인천광역시 계양구 경명대로 ****, 인평프라자 *층 ***호 (계산동)",21030,,04,취소/말소/만료/정지/중지,,,
,유에스 컴퍼니,,,175388.03600592,448623.345810925,2026-05-03 22:48:48,I,07,직권말소,2019-05-10 10:14:31,,,2019-02-27,,인천광역시 계양구 계산동 ***번지 **호,2019355010824200005,3550000,"인천광역시 계양구 계양대로 ***, ***호 (계산동)",21054,,04,취소/말소/만료/정지/중지,,,
