사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호,총규모
투윤컴퍼니,,175449.915234411,447704.980176455,2026-05-03 22:32:21,I,13,영업중,2025-06-18 09:29:39,,2023-02-27,,인천광역시 계양구 작전동 ***-**,PHMG120253550020047000029,3550000,"인천광역시 계양구 계양대로 **, *층 ***호 (작전동)",21091,01,영업/정상,,,,99
열린보청기,,203757.898148713,463128.847136861,2026-05-03 22:36:02,I,13,영업중,2024-05-24 16:14:56,,2024-05-24,,서울특별시 도봉구 도봉동 ***-** *층,PHMG120243090033047000020,3090000,"서울특별시 도봉구 도봉로 ***, *층 (도봉동)",01349,01,영업/정상,,,,
감성을입다,,176019.689998955,448532.062945231,2026-05-03 22:32:20,I,13,영업중,2024-11-04 09:12:17,,2024-10-31,,인천광역시 계양구 계산동 **-* 인정프린스아파트,PHMG120243550020047000073,3550000,"인천광역시 계양구 계산새로*번길 **, ***동 ***호 (계산동, 인정프린스아파트)",21059,01,영업/정상,,,,104.55
셀링온,,166719.290085005,438374.812987637,2026-05-03 22:32:07,I,13,영업중,2025-03-21 10:21:19,,2025-03-20,,인천광역시 중구 신흥동*가 **-* 항운아파트,PHMG120253490019047000006,3490000,"인천광역시 중구 서해대로 ***, 상가동 *층 ***호 (신흥동*가, 항운아파트)",22339,01,영업/정상,,,,
썬바이오 신포,2020-01-31,167111.145680984,441143.051387509,2026-05-03 22:32:00,I,03,폐업,2020-02-03 09:23:07,,2018-02-05,,,PHMG120183490019047000007,3490000,"인천광역시 중구 우현로 **, 기독교백화점,한국외항선교회,쉼카페 *층 (경동)",22321,03,폐업,,,,161.78
다나은메디컬,2025-07-04,203757.403073624,455668.42038114,2026-05-03 22:36:32,I,03,폐업,2025-07-04 10:04:57,,2024-03-28,,서울특별시 성북구 하월곡동 **-*,PHMG120243070034047000018,3070000,"서울특별시 성북구 화랑로 ***, *층 ***호 (하월곡동)",02793,03,폐업,,,,
GS25 삼선센터점,,201183.443527373,454250.361329971,2026-05-03 22:36:16,I,13,영업중,2022-07-15 14:56:01,,2022-07-15,,서울특별시 성북구 삼선동*가 *** 동진빌딩,PHMG120223070034047000186,3070000,"서울특별시 성북구 보문로 ***, 우리은행 *층 (삼선동*가)",02861,01,영업/정상,,,,
부성,,205213.572449205,456779.949363989,2026-05-03 22:36:09,I,13,영업중,2022-02-16 14:43:24,,2022-02-16,,서울특별시 성북구 장위동 **-** 크라운빌딩,PHMG120223070034047000075,3070000,"서울특별시 성북구 한천로 ***, 크라운빌딩 ***호 (장위동)",02775,01,영업/정상,,,02-943-3477,
㈜해피의료기,2006-12-11,,,2026-05-03 22:31:57,I,03,폐업,2009-04-22 11:38:54,,2006-03-08,407-300,인천광역시 계양구 임학동 *-**(*F),PHMG120063550020047000007,3550000,,,03,폐업,,,032-555-7525,
지바프로,,176473.122532504,448843.518393659,2026-05-03 22:32:21,I,13,영업중,2025-08-07 09:02:20,,2025-08-06,,인천광역시 계양구 계산동 ** 계산주공아파트,PHMG120253550020047000044,3550000,"인천광역시 계양구 경명대로****번길 *, ***동 ***호 (계산동, 계산주공아파트)",21057,01,영업/정상,,,,41.3
위사카,2022-01-26,177129.065292383,447809.905922551,2026-05-03 22:32:13,I,03,폐업,2022-01-26 18:27:17,,2021-09-09,,인천광역시 계양구 작전동 ***-* 도두리마을대동아파트,PHMG120213550020047000081,3550000,"인천광역시 계양구 도두리로 **, ***동 ****호 (작전동, 도두리마을대동아파트)",21081,03,폐업,,,,
비엠(BM)헬스케어(브레인온),2022-11-18,175443.600387486,448501.590640248,2026-05-03 22:32:13,I,03,폐업,2022-11-19 11:40:13,,2019-07-26,,인천광역시 계양구 계산동 ***-**,PHMG120213550020047000076,3550000,"인천광역시 계양구 계양대로 ***, *층 (계산동)",21055,03,폐업,,,,154.7
벤더몰,2023-06-20,204335.057042232,461157.210858518,2026-05-03 22:35:37,I,03,폐업,2023-06-20 17:40:23,,2021-09-29,,서울특별시 도봉구 창동 **,PHMG120213090033047000066,3090000,"서울특별시 도봉구 노해로**길 **-**, ***호 (창동)",01414,03,폐업,,,,
이마트24인천코아루점,,176763.216208234,448874.492576232,2026-05-03 22:32:14,I,13,영업중,2022-02-17 14:30:24,,2022-02-17,,인천광역시 계양구 용종동 ***-* 인천 계양 코아루 센트럴파크,PHMG120223550020047000067,3550000,"인천광역시 계양구 계양문화로 ***, ***동 ***호 (용종동, 인천 계양 코아루 센트럴파크)",21060,01,영업/정상,,,,
티오메디칼,,203268.954700555,461364.248311452,2026-05-03 22:34:46,I,13,영업중,2023-08-30 14:12:18,,2015-09-03,,서울특별시 도봉구 쌍문동 ***,PHMG120153090033047000054,3090000,"서울특별시 도봉구 도봉로 ***, ***호 (쌍문동)",01436,01,영업/정상,,,02-461-3448,
(주)롯데하이마트 계양점,,176599.816295302,448767.427225648,2026-05-03 22:32:05,I,13,영업중,2020-11-27 10:25:17,,2015-03-16,407-054,인천광역시 계양구 계산동 ****번지 *호 (주)롯데하이마트 계양점 *층,PHMG120153550020047000016,3550000,"인천광역시 계양구 장제로 ***, *층 (계산동, (주)롯데하이마트 계양점 )",21060,01,영업/정상,,,032-552-7200,6987.58
폭트에이블,2019-08-13,204746.21261151,456616.565104138,2026-05-03 22:35:30,I,24,직권폐업,2019-08-14 14:10:21,,2018-03-21,,서울특별시 성북구 장위동 **번지 *호 창마빌딩,PHMG120183070034047000022,3070000,"서울특별시 성북구 화랑로**길 **, 창마빌딩 *층 (장위동)",02771,04,취소/말소/만료/정지/중지,,,,
브로스메디칼,,202931.815835411,460390.421838996,2026-05-03 22:35:00,I,15,전출,2018-05-25 17:54:03,,2018-03-29,,서울특별시 도봉구 창동 ***번지 *호 *층,PHMG120183090033047000011,3090000,"서울특별시 도봉구 도봉로***다길 *, *층 (창동)",01459,05,제외/삭제/전출,,,,
씨유쌍문사랑점,2025-11-26,202725.958827629,460286.734892203,2026-05-03 22:35:38,I,03,폐업,2025-11-27 11:31:32,,2022-02-03,,서울특별시 도봉구 쌍문동 ***-***,PHMG120223090033047000003,3090000,"서울특별시 도봉구 도봉로***길 **, *층 (쌍문동)",01448,03,폐업,,,02-993-7620,
