사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
고덕가든,2024-11-18,212960.293833107,451087.389565288,2026-05-03 22:48:46,I,19,사용중지,서울특별시 강동구 고덕동 593번지,고덕가든,공공용시설,2025-12-30 17:08:27,2024-11-18,2004-04-06,60,서울특별시 강동구 고덕동 593번지,3240000-E200400002,3240000,2024-11-18,서울특별시 강동구 아리수로 181-19 (고덕동),,04,취소/말소/만료/정지/중지
한남사우나,2024-11-18,212963.662827957,448994.941210754,2026-05-03 22:48:47,I,19,사용중지,서울특별시 강동구 길동 47번지,한남사우나,공공용시설,2025-12-30 17:04:04,2024-11-18,2005-11-02,80,서울특별시 강동구 길동 47번지,3240000-E200500009,3240000,2024-11-18,서울특별시 강동구 명일로 273 (길동),,04,취소/말소/만료/정지/중지
삼익파크 511동,2024-11-18,213062.032183456,449040.28627396,2026-05-03 22:48:48,I,19,사용중지,서울특별시 강동구 길동 53번지,삼익파크 511동,공공용시설,2025-12-30 17:04:24,2024-11-18,2006-01-02,50,서울특별시 강동구 길동 53번지,3240000-E200600005,3240000,2024-11-18,서울특별시 강동구 명일로 286 (길동),,04,취소/말소/만료/정지/중지
현대빌라 5동,,213801.619024367,449396.497182536,2026-05-03 22:48:42,I,18,사용중,서울특별시 강동구 상일동 172번지,현대빌라 5동,공공용시설,2026-01-18 13:31:18,,1986-01-01,43,서울특별시 강동구 상일동 172번지,3240000-E198600001,3240000,,서울특별시 강동구 상암로 309 (상일동),,01,영업/정상
서경빌딩,,211847.651488479,447002.6061519,2026-05-03 22:48:49,I,18,사용중,서울특별시 강동구 성내동 439번지 13호,서경빌딩,공공용시설,2026-01-18 11:57:34,,2018-01-24,86,서울특별시 강동구 성내동 439번지 13호,3240000-E198700002,3240000,,서울특별시 강동구 양재대로 1329 (성내동),05405,01,영업/정상
삼성빌라 11동 앞,,213913.807978563,449385.615249391,2026-05-03 22:48:42,I,18,사용중,서울특별시 강동구 상일동 173번지,삼성빌라 11동 앞,공공용시설,2026-01-18 13:35:25,,1988-01-01,95,서울특별시 강동구 상일동 173번지,3240000-E198800001,3240000,,"서울특별시 강동구 상암로 325 (상일동, 삼성빌라)",05280,01,영업/정상
시각장애체육센터,,214866.322882804,449869.026666,2026-05-03 22:48:42,I,18,사용중,서울특별시 강동구 상일동 126번지,시각장애체육센터,공공용시설,2026-01-19 08:39:44,,1990-01-01,50,서울특별시 강동구 상일동 126번지,3240000-E199000002,3240000,,"서울특별시 강동구 구천면로 645 (상일동, 한국시각장애인복지관)",05275,01,영업/정상
둔촌지하수,,213314.065608801,447477.826678048,2026-05-03 22:48:49,I,18,사용중,서울특별시 강동구 둔촌동 산 11번지 6호,둔촌지하수,공공용시설,2026-01-16 15:51:11,,1990-01-01,95,서울특별시 강동구 둔촌동 산 11번지 6호,3240000-E199000015,3240000,,,,01,영업/정상
명일동 신동아아파트,,213371.152528482,450173.900732264,2026-05-03 22:48:46,I,18,사용중,서울특별시 강동구 명일동 44번지,명일동 신동아아파트,공공용시설,2026-01-19 10:16:49,,1990-01-01,60,서울특별시 강동구 명일동 44번지,3240000-E199000018,3240000,,서울특별시 강동구 고덕로 240 (명일동),,01,영업/정상
한국시각장애인복지관,,214866.322882804,449869.026666,2026-05-03 22:48:42,I,18,사용중,서울특별시 강동구 상일동 126번지,한국시각장애인복지관,공공용시설,2026-01-19 08:37:05,,1991-01-01,50,서울특별시 강동구 상일동 126번지,3240000-E199100002,3240000,,"서울특별시 강동구 구천면로 645 (상일동, 한국시각장애인복지관)",05275,01,영업/정상
