사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업내용,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
해일광고사,2013-06-28,205926.357291403,452631.827915087,2026-05-03 22:30:30,I,20,정상,2025-05-15 15:12:00,2001-03-20,서울특별시 동대문구 장안동 ***-**,2001305008708200308,3050000,서울특별시 동대문구 한천로**길 * (장안동),02525,,옥외광고물제작,01,영업/정상,,,02-2215-7714
시소,2025-12-18,203239.882826386,453786.147833158,2026-05-03 22:30:42,I,40,폐업,2025-12-22 09:20:22,2024-02-29,서울특별시 동대문구 제기동 ***-*,2024305024908500003,3050000,"서울특별시 동대문구 제기로 **, *층 (제기동)",02478,,옥외광고물 제작 및 설치,03,폐업,,,02-966-2787
나래광고,,204763.959791477,454121.406760663,2026-05-03 22:30:28,I,20,정상,2018-11-26 10:39:39,1998-12-26,서울특별시 동대문구 회기동 **-*,1998305008708200248,3050000,서울특별시 동대문구 이문로 ** (회기동),02460,,옥외광고물제작,01,영업/정상,,,02-962-5956
예일테크,,205934.488580116,451206.96111629,2026-05-03 22:30:28,I,20,정상,2026-02-05 14:02:40,1998-08-01,서울특별시 동대문구 장안동 ***-* *층,1998305008808500016,3050000,"서울특별시 동대문구 천호대로**길 **, *층 (장안동)",02644,,옥외광고물제작 및 설치,01,영업/정상,,,02-2244-6268
아인아트,,202333.575044997,452436.59606403,2026-05-03 22:30:28,I,70,취소,2010-10-12 10:54:16,1999-04-01,서울특별시 동대문구 신설동 **-**,1999305008708200253,3050000,서울특별시 동대문구 천호대로 **  (신설동),,,폐업,04,취소/말소/만료/정지/중지,,,
성창기업,,205673.244340598,451222.555648207,2026-05-03 22:30:29,I,20,정상,2023-01-16 18:04:27,2023-01-16,서울특별시 동대문구 장안동 ***-*,1999305008708200259,3050000,서울특별시 동대문구 천호대로**길 ** (장안동),02636,,옥외광고물제작및설치,01,영업/정상,,,02-2242-5691
대림디자인,,203747.125329726,453409.877999596,2026-05-03 22:30:29,I,20,정상,2025-10-01 13:10:06,2000-04-25,서울특별시 동대문구 제기동 ***-*,2000305008708200287,3050000,서울특별시 동대문구 약령시로 ***-* (제기동),02573,,옥외광고물제작,01,영업/정상,,,02-966-3778
경인광고,,205601.787118129,455646.76013145,2026-05-03 22:30:30,I,20,정상,2025-05-15 14:57:28,2001-05-09,서울특별시 동대문구 이문동 ***-**,2001305008708200068,3050000,서울특별시 동대문구 신이문로 ** (이문동),02409,,옥외광고물제작,01,영업/정상,,,02-965-9616
서울광고기획,,202563.704469403,452516.991740841,2026-05-03 22:30:31,I,20,정상,2025-05-15 15:07:54,2002-03-05,서울특별시 동대문구 용두동 ***-*,2002305008708200328,3050000,서울특별시 동대문구 천호대로*가길 ** (용두동),02583,,간판제조,01,영업/정상,,,02-924-1058
삼송빌딩,,202022.650035503,452241.8115921,2026-05-03 22:30:31,I,20,정상,2025-05-15 15:31:59,2002-09-18,서울특별시 동대문구 신설동 ***-**,2002305008808500338,3050000,서울특별시 동대문구 난계로 *** (신설동),02586,,옥외광고물제작 및 설치,01,영업/정상,,,02-2236-9090
흥일기업,,202564.614589784,452506.425294312,2026-05-03 22:30:31,I,20,정상,2025-05-15 15:26:44,2002-10-14,서울특별시 동대문구 용두동 ***-*,2002305008808500339,3050000,서울특별시 동대문구 천호대로**길 ** (용두동),02583,,옥외광고물제작 및 설치,01,영업/정상,,,02-922-7464
(주)제이디 디자인 컴퍼니,,205521.439461671,451872.038280449,2026-05-03 22:30:32,I,20,정상,2019-05-31 11:04:01,2003-01-14,서울특별시 동대문구 답십리동 *-***,2003305008808500341,3050000,서울특별시 동대문구 한천로 **-* (답십리동),02611,,옥외광고물제작 및 설치,01,영업/정상,,,02-2248-7057
트인기획,,205299.816383509,454895.787922659,2026-05-03 22:30:32,I,20,정상,2021-06-01 16:17:41,2003-05-14,서울특별시 동대문구 이문동 ***-** *층,2003305008808500347,3050000,"서울특별시 동대문구 휘경로 *, *층 (이문동)",02419,,옥외광고물제작 및 설치,01,영업/정상,,,02-960-7476
원애드,,203242.094924698,453099.688268317,2026-05-03 22:30:32,I,20,정상,2025-05-15 14:52:29,2003-06-16,서울특별시 동대문구 제기동 ****,2003305008808500350,3050000,서울특별시 동대문구 약령중앙로 **-** (제기동),02570,,옥외광고물제작 및 설치,01,영업/정상,,,02-484-7353
경성광고,,205462.721473953,455666.135356238,2026-05-03 22:30:32,I,20,정상,2024-06-04 17:34:47,2003-12-19,서울특별시 동대문구 이문동 ***-***,2003305008808500364,3050000,서울특별시 동대문구 이문로**길 ** (이문동),02406,,옥외광고물제작 및 설치,01,영업/정상,,,02-2244-1053
씨엔씨,,202122.306512622,452538.19565994,2026-05-03 22:30:33,I,20,정상,2025-05-15 14:55:35,2005-03-17,서울특별시 동대문구 신설동 ***-**,2005305008808500383,3050000,"서울특별시 동대문구 천호대로 *, ***호 (신설동)",02582,,옥외광고물제작 및 설치,01,영업/정상,,,02-929-2060
