건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박척수,선박제원,선박총톤수
,,(주)미텍스,,2009-05-19,,198053.591672742,451652.397672222,관광사업,국제회의기획업,2026-05-03 22:37:35,I,03,폐업,,,,,,,,,,,2009-05-19 16:32:00,,2000-04-21,100-170,서울특별시 중구 무교동 25-1 월창빌딩 611호,CDFI2263102000000001,3010000,,"서울특별시 중구 세종대로20길 23  (무교동,월창빌딩 611호)",,03,폐업,,,,,,,37892527,,,,,
,,(주)호도투어,,2008-01-02,,198137.354306134,451759.123871901,관광사업,국제회의기획업,2026-05-03 22:37:35,I,03,폐업,,,,,,,,,,,2008-01-02 10:29:46,,2001-07-24,100-170,서울특별시 중구 무교동 11 광일빌딩 502호,CDFI2263102001000002,3010000,,"서울특별시 중구 다동길 5  (무교동,광일빌딩 502호)",,03,폐업,,,,,,,,,,,,
,,인커뮤니케이션,,2013-03-20,,200090.428459125,451647.218394571,관광사업,국제회의기획업,2026-05-03 22:37:36,I,03,폐업,,,,,,,,,,,2013-03-21 09:34:48,,2007-08-13,100-195,서울특별시 중구 을지로5가 20-1 정건빌라지오 1207호,CDFI2263102007000003,3010000,,"서울특별시 중구 을지로 213  (을지로5가,정건빌라지오 1207호)",,03,폐업,,,,,,,22796100,,,,,
,,(주)체스투어즈,,2013-10-10,6071664655,198388.365585519,450963.241815173,,국제회의기획업,2026-05-03 22:37:36,I,03,폐업,,,,,,,,,,,2013-10-10 17:22:01,,2010-11-03,100-706,서울특별시 중구 충무로1가 25-5 고려대연각타워 501호,CDFI2263102010000005,3010000,,"서울특별시 중구 퇴계로 97, 5층 501호 (충무로1가, 고려대연각타워)",,03,폐업,,,,,,,34067466,,,,,
,,코리아타임스 국제교류원(주),,2012-11-13,238460844,198983.732935904,451092.140285241,,국제회의기획업,2026-05-03 22:37:36,I,03,폐업,,,,,,,,,,,2012-11-14 16:39:08,,2011-05-27,100-861,서울특별시 중구 충무로2가 50-10 조양빌딩 901호,CDFI2263102011000003,3010000,,"서울특별시 중구 삼일대로 308  (충무로2가,조양빌딩 901호)",,03,폐업,,,,,,,1588-0564,,,,,
,,에스엠컨텐츠앤커뮤니케이션즈(주),,2017-12-31,5000000000,197620.676444642,450361.506112161,,국제회의기획업,2026-05-03 22:37:38,I,03,폐업,Professional Congress(Convention) Organizer,"SM Contents & Communications Co.,Ltd",,,,,,,,,2018-01-25 11:06:50,,2010-05-14,,서울특별시 중구 남대문로5가 541 서울스퀘어,CDFI2263102017000007,3010000,,"서울특별시 중구 한강대로 416, 20층 (남대문로5가)",04637,03,폐업,,,,,,,02-6390-3529,,,,,
,,(주)동진기획라이팅뉴스,,2020-08-24,50000000,200585.038755023,451180.065438693,,국제회의기획업,2026-05-03 22:37:38,I,03,폐업,,,,318.82,319,,,,,,2020-08-24 17:34:07,,2013-04-10,,서울특별시 중구 장충동1가 33-2,CDFI2263102019000002,3010000,,서울특별시 중구 장충단로8길 11-18 (장충동1가),04614,03,폐업,,,,,,,1899-4241,,,,,
,,한도연트래블(주),,2022-07-14,250000000,198459.656304955,451484.997004171,,국제회의기획업,2026-05-03 22:37:39,I,03,폐업,,,,,,,,,,,2022-07-14 16:53:32,,2016-12-14,,서울특별시 중구 을지로2가 198 을지 한국빌딩,CDFI2263102021000001,3010000,,"서울특별시 중구 을지로 50, 을지 한국빌딩 20층 2007-04호 (을지로2가)",04534,03,폐업,,,,,,,,,,,,
,,주식회사 굿윌코퍼레이션,,2024-07-08,377000000,,,,국제회의기획업,2026-05-03 22:37:31,I,03,폐업,,,,,,,,,,,2024-07-09 09:11:07,,2019-07-24,,인천광역시 서구 원당동 0 금호헤리티지7,CDFI2263102022000001,3560000,,"인천광역시 서구 원당대로 1045, 금호헤리티지7 10층 1002~1007호 (원당동)",22865,03,폐업,,,,,,,,,,,,
,,(주)가익코리아,,,50000000,,,,국제회의기획업,2026-05-03 22:37:31,I,02,휴업,,,,,,,,,,,2025-10-13 17:57:34,,2024-06-28,,인천광역시 서구 당하동 1235-4,CDFI2263102024000001,3560000,,"인천광역시 서구 이음4로 10, 1107호 (당하동)",22869,02,휴업,,,,,2025-10-13,2026-10-12,,,,,,
,,(주)굿윌코퍼레이션,,,377000000,,,,국제회의기획업,2026-05-03 22:37:31,I,13,영업중,,,,,,,,,,,2024-07-01 15:55:47,,2024-07-01,,인천광역시 서구 원당동 1035-4 금호헤리티지7,CDFI2263102024000002,3560000,,"인천광역시 서구 원당대로 1045, 금호헤리티지7 1002~1007호 (원당동)",22865,01,영업/정상,,,,,,,,,,,,
,,갤러리미호,,,128347905,,,,국제회의기획업,2026-05-03 22:37:32,I,13,영업중,,,,120.22,120,,,,,,2025-07-23 08:39:30,,2025-07-23,,인천광역시 서구 원당동 1035-5 검단 눈담봄 101,CDFI2263102025000001,3560000,,"인천광역시 서구 이음1로 377, 검단 눈담봄 101 6층 8호 (원당동)",22865,01,영업/정상,,,,,,,,,,,,
