사업장명,사업장전화번호,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가일자,소재지우편번호,지번주소,관리번호,사무소전화번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
(주)진용에너지 동구지점,,,169073.14633698,442352.128139149,2026-05-03 22:49:41,I,01,영업중,2015-04-30 10:34:05,1995-04-06,401-822,인천광역시 동구 송림6동 8번지 571호,1995350000906500004,032-761-3351,3500000,인천광역시 동구 송미로 50 (송림동),,,01,영업/정상,,,032-761-3351
동국제강(주),,,167855.331285349,442549.20948589,2026-05-03 22:49:41,I,01,영업중,2020-08-18 19:34:53,1995-07-15,401-800,인천광역시 동구 송현3동 1번지 6호,1995350000906500005,032-830-6266,3500000,인천광역시 동구 중봉대로 15 (송현동),,,01,영업/정상,,,032-830-6266
케이에이치에너지(주)직영북항주유소,,,168601.098371752,442918.76280875,2026-05-03 22:49:41,I,01,영업중,2025-02-05 10:15:02,2001-11-19,,인천광역시 동구 송현동 1번지 776 호,2001350000906500001,02-2662-7837,3500000,인천광역시 동구 중봉대로 91 (송현동),,,01,영업/정상,,,02-2662-7837
비전계기,,,169424.109924844,442692.722669138,2026-05-03 22:49:41,I,01,영업중,2011-12-28 15:03:14,2006-06-28,401-722,인천광역시 동구 송림4동 294번지 산업유통센터 36동 103호,2006350000906500001,032-589-6465,3500000,"인천광역시  방축로83번길 23, 36동 103호 (산업용품센터)",,,01,영업/정상,,,032-589-6465
주식회사 유니환경,,,166366.237314098,442844.801048758,2026-05-03 22:49:42,I,01,영업중,2025-09-05 15:17:54,2025-09-02,,인천광역시 동구 만석동 2-412 유니환경,2025350017806500001,032-579-4408,3500000,"인천광역시 동구 보세로 29, 유니환경 (만석동)",22500,,01,영업/정상,,,032-579-4408
송국계량증명업소,,,170978.968734,440674.465361166,2026-05-03 22:49:44,I,01,영업중,2018-06-29 13:53:58,1981-04-18,,인천광역시 미추홀구 도화동 120번지 39  호,2000351000006500003,032-866-5945,3510500,,,,01,영업/정상,,,032-866-5945
케이제이로지스틱스주식회사,,,169393.081954222,438189.624345127,2026-05-03 22:49:44,I,01,영업중,2021-05-28 10:04:02,2015-11-24,,,2015351015606500002,032-872-8552,3510500,"인천광역시 미추홀구 소성로 48 (학익동, 케이제이로지스틱스(주))",22201,,01,영업/정상,,,032-872-8552
계룡자원계량증명업소,,,178434.837897734,447378.840804976,2026-05-03 22:49:44,I,01,영업중,2024-01-16 11:16:31,2007-05-14,,인천광역시 계양구 서운동 148번지 22호,2007355005906500002,032-515-2454,3550000,인천광역시 계양구 서운산업로 31 (서운동),,,01,영업/정상,,,032-515-2454
인성환경(주),,,178403.671864094,447551.891150749,2026-05-03 22:49:44,I,01,영업중,2020-01-23 17:03:40,2016-05-09,,인천광역시 계양구 서운동 149번지 19호,2016355005906500001,032-322-9522,3550000,인천광역시 계양구 서운산업로47번길 8 (서운동),21075,,01,영업/정상,,,032-322-9522
(주)하나산업,,,153217.32513415,468510.292655236,2026-05-03 22:49:43,I,01,영업중,2019-01-03 18:59:37,2019-01-03,,인천광역시 강화군 선원면 냉정리 550번지 19호,2019357011706500001,032-932-8261,3570000,인천광역시 강화군 선원면 중앙로 380,23044,,01,영업/정상,,,032-932-8261
동원로엑스(주),,,203825.862435034,441733.620009246,2026-05-03 22:49:42,I,01,영업중,2021-12-28 17:23:30,1991-01-18,,,1997370000906500003,052-220-6199,3700000,"서울특별시 서초구 마방로 68 (양재동, 동원산업빌딩)",06775,,01,영업/정상,,,052-220-6199
씨제이대한통운(주),,,198213.955223154,452045.296742706,2026-05-03 22:49:42,I,01,영업중,2024-04-16 10:24:28,1992-05-20,,서울특별시 종로구 청진동 128 Tower 8,1997370000906500004,052-226-3331,3700000,"서울특별시 종로구 종로5길 7, Tower 8 (청진동)",03157,,01,영업/정상,,,052-226-3331
신흥게량증명업소,,,193111.201618364,455658.582861694,2026-05-03 22:49:42,I,01,영업중,2012-01-31 08:50:45,1981-05-18,,서울특별시 은평구 녹번동 159번지 35  호,2001311008806500001,,3110000,서울특별시 은평구 응암로 360 (녹번동),,,01,영업/정상,,,
현대제철(주),,2022-04-22,167961.623195239,443084.120976229,2026-05-03 22:49:41,I,03,폐업,2022-04-26 17:32:10,1980-02-14,401-800,인천광역시 동구 송현3동 1번지 670호,1980350000906500001,032-760-2034,3500000,인천광역시 동구 중봉대로 63 (송현동),,,03,폐업,,,032-760-2034
한일탱크(주),,2011-04-28,166146.38715993,442986.472726489,2026-05-03 22:49:41,I,03,폐업,2011-12-28 15:24:37,1989-11-03,401-010,인천광역시 동구 만석동 2번지 47호,1989350000906500002,032-884-3201,3500000,인천광역시 동구 보세로42번길 29 (만석동),,,03,폐업,,,032-884-3201
