사업장명,업태구분명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,도로명주소,도로명우편번호,재개업일자,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
해천주유소,주유소,,189075.70766541,401108.213628252,2026-05-03 03:03:03,U,05,사업휴지,2026-05-02 12:24:03,,1989-01-10,1841,경기도 화성시 만세구 팔탄면 해창리 13 해천오일뱅크,1989412001201500020,5530000,경기도 화성시 만세구 팔탄면 3.1만세로 726,18582,,02,휴업,2025-10-30,2026-04-29,031-352-5223
서일석유(주) 락성주유소,주유소,,196603.351151007,441666.787530285,2026-05-03 22:37:46,I,01,신규등록,2023-11-10 10:31:14,,1976-05-24,1367,서울특별시 관악구 봉천동 1659-1,1976320008001501804,3200000,서울특별시 관악구 남부순환로 1920 (봉천동),,,01,영업/정상,,,02-877-0867
(주)씨더블유창원,주유소,,198351.367148646,441186.377990347,2026-05-03 22:37:47,I,06,휴지사업재개,2024-11-15 11:21:42,,1982-03-17,1252,서울특별시 관악구 남현동 602-306,1982320008001501806,3200000,서울특별시 관악구 과천대로 921 (남현동),,2021-12-13,01,영업/정상,,,02-584-2522
지에스칼텍스(주) 난곡주유소,주유소,,192746.85075607,441250.923548286,2026-05-03 22:37:47,I,06,휴지사업재개,2024-03-25 14:12:03,,1989-09-07,201,서울특별시 관악구 신림동 616-1,1989320008001501810,3200000,서울특별시 관악구 난곡로 206 (신림동),,2010-05-20,01,영업/정상,2009-03-15,2010-05-20,02-858-2003
신관주유소,주유소,,193797.724648827,442027.34426037,2026-05-03 22:37:47,I,01,신규등록,2024-04-12 17:28:24,,1989-10-23,651,서울특별시 관악구 신림동 1641-58,1989320008001501811,3200000,서울특별시 관악구 신림로 290 (신림동),,,01,영업/정상,,,02-871-1356
현대주유소,주유소,,192824.005388622,440315.521711098,2026-05-03 22:37:47,I,06,휴지사업재개,2024-04-23 15:19:00,,1990-09-18,307,서울특별시 관악구 신림동 666-14,1990320008001501812,3200000,서울특별시 관악구 난곡로 108 (신림동),,,01,영업/정상,2011-04-12,2011-12-31,02-851-9100
시몬주유소,주유소,,195074.575076687,442242.409037137,2026-05-03 22:37:47,I,07,영업개시,2024-08-12 10:41:52,,1992-02-14,610,서울특별시 관악구 봉천동 912-15,1992320008001501814,3200000,서울특별시 관악구 남부순환로 1753 (봉천동),,,01,영업/정상,2012-11-20,2012-12-31,02-874-5185
에이치디현대오일뱅크(주) 직영 문성골주유소,주유소,,192350.043582859,441737.890819005,2026-05-03 22:37:47,I,01,신규등록,2025-04-21 14:29:01,,1992-02-14,691,서울특별시 관악구 신림동 1477-5,1992320008001501815,3200000,서울특별시 관악구 문성로 97 (신림동),,,01,영업/정상,,,02-839-0081
행운주유소,주유소,,196318.744740668,441881.021016496,2026-05-03 22:37:47,I,06,휴지사업재개,2023-11-10 10:27:18,,1992-11-18,663.11,서울특별시 관악구 봉천동 1679-30,1992320008001501819,3200000,서울특별시 관악구 남부순환로 1883 (봉천동),,2009-11-13,01,영업/정상,2008-02-27,2009-06-30,02-884-3016
진우7주유소,주유소,,193451.25948275,443447.01386002,2026-05-03 22:37:47,I,01,신규등록,2025-01-22 15:18:39,,1993-05-15,242,서울특별시 관악구 봉천동 726-10,1993320008001501820,3200000,서울특별시 관악구 보라매로 41 (봉천동),,,01,영업/정상,,,02-888-5133
에이치디현대오일뱅크(주) 직영 관악셀프주유소,주유소,,192807.346265157,442255.551578452,2026-05-03 22:37:47,I,06,휴지사업재개,2025-04-21 14:31:18,,1993-06-11,354,서울특별시 관악구 신림동 1571-8,1993320008001501822,3200000,서울특별시 관악구 남부순환로 1520 (신림동),,2017-06-20,01,영업/정상,,,02-867-1877
유림주유소,주유소,,194169.884355517,441284.749397027,2026-05-03 22:37:47,I,07,영업개시,2023-11-10 10:26:08,,1993-12-23,1000,서울특별시 관악구 신림동 112-47 유림주유소,1993320008001501832,3200000,"서울특별시 관악구 신림로 176, 유림주유소 (신림동)",08838,,01,영업/정상,2012-11-20,2012-11-30,02-887-5145
씨제이대한통운(주),주유소,,192762.125152716,442309.712515407,2026-05-03 22:37:47,I,01,신규등록,2025-02-13 16:58:36,,1993-12-23,750,서울특별시 관악구 신림동 507-24,1993320008001501834,3200000,서울특별시 관악구 남부순환로 1515 (신림동),,,01,영업/정상,,,02-2632-8612
SK에너지(주) 신봉천주유소,주유소,,196245.625629954,441842.0875655,2026-05-03 22:37:47,I,01,신규등록,2024-11-22 15:25:46,,1995-08-02,713.11,서울특별시 관악구 봉천동 1663-11,1995320008001501840,3200000,서울특별시 관악구 남부순환로 1880 (봉천동),,,01,영업/정상,,,02-885-5913
관악석유,일반판매소,,193639.115206034,441921.453692025,2026-05-03 22:37:47,I,01,신규등록,2025-05-08 14:54:14,,1996-05-07,,서울특별시 관악구 신림동 1635-113,1996320008001200002,3200000,서울특별시 관악구 문성로 223-1 (신림동),,,01,영업/정상,,,02-885-3507
대양석유(주)보라매주유소,주유소,,193488.592275491,443278.898177018,2026-05-03 22:37:47,I,06,휴지사업재개,2023-11-10 10:06:45,,1996-03-06,768,서울특별시 관악구 봉천동 729-4,1996320008001501842,3200000,서울특별시 관악구 보라매로 26 (봉천동),,2015-11-09,01,영업/정상,2015-09-18,2016-03-17,02-877-2833
삼화화공(주),용제판매소,,,,2026-05-03 22:44:40,I,03,폐지,2011-10-07 14:46:32,,2001-10-15,,서울특별시 종로구 가회동 360-2 아트빌라 1동 210호,2001367001401500005,3670000,,,,03,폐업,,,042-822-5405
