놀이기구수내역,건물용도명,사업장명,방송시설유무,폐업일자,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,발전시설유무,상세영업상태코드,상세영업상태명,제작취급품목내용,시설면적,시설규모,지상층수,안내소유무,의무실유무,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,놀이시설수,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,주변환경명,휴업시작일자,휴업종료일자,소재지전화번호,총층수,지하층수,선박총톤수
,,상봉시네마죤,,2012-05-08,207785.163886948,454948.667169479,,신고테마파크업,2026-05-03 22:36:24,I,,03,폐업,,,,,,,2012-05-08 13:02:35,,2012-01-09,131-858,서울특별시 중랑구 상봉동 92-2 1층 1호,CDFI5272002012000001,3060000,,,"서울특별시 중랑구 망우로 328, 1층 1호 (상봉동, 상봉시네마)",,03,폐업,,,,,,,
,,캔디방방,,2020-03-24,206635.776481704,454219.97724872,,신고테마파크업,2026-05-03 22:36:24,I,,03,폐업,,,,,,,2020-03-25 14:08:28,,2016-03-04,,서울특별시 중랑구 면목동 182-102,CDFI5272002016000002,3060000,,,"서울특별시 중랑구 봉우재로5길 4, 지하1층 (면목동, 새마을금고)",02128,03,폐업,,,,,,,
,,꼬마대통령 키즈까페 신내점,,2021-05-31,208295.099818379,456014.999180519,,신고테마파크업,2026-05-03 22:36:25,I,,03,폐업,,,,,,,2021-10-13 16:09:01,,2016-08-30,,서울특별시 중랑구 신내동 666,CDFI5272002016000003,3060000,,,"서울특별시 중랑구 봉화산로 194, 9층 906호 (신내동, 신아타운)",02076,03,폐업,,,,02-3422-6987,,,
,,꿈노리,,2020-12-31,207015.416112718,455285.800740148,,신고테마파크업,2026-05-03 22:36:25,I,,03,폐업,,,,,,,2021-01-12 11:27:17,,2018-01-04,,서울특별시 중랑구 중화동 288-27,CDFI5272002018000001,3060000,1,,"서울특별시 중랑구 동일로 778, 2층 (중화동)",02088,03,폐업,,,,02-491-4027,,,
,,키크는팡팡,,2024-02-26,208750.147884796,454689.03214463,,신고테마파크업,2026-05-03 22:36:25,I,,03,폐업,,,,,,,2024-02-28 18:10:02,,2018-05-09,,서울특별시 중랑구 망우동 410-8 유진빌딩,CDFI5272002018000002,3060000,3,,"서울특별시 중랑구 용마산로 488, 유진빌딩 2층 (망우동)",02182,03,폐업,,,,02-491-8879,,,
,,바밴키즈,,2021-03-30,207525.405414575,453207.524884916,,신고테마파크업,2026-05-03 22:36:25,I,,03,폐업,,,,,,,2021-04-13 08:58:53,,2019-02-01,,서울특별시 중랑구 면목동 605-32,CDFI5272002019000001,3060000,,,"서울특별시 중랑구 사가정로 371-1, 송학드림타워 8층 (면목동)",02228,03,폐업,,,,02-435-0827,,,
,,블럭팡팡,,2024-04-17,206842.431237468,455324.874063379,,신고테마파크업,2026-05-03 22:36:25,I,,03,폐업,,,,,,,2024-04-18 09:32:27,,2019-04-08,,서울특별시 중랑구 중화동 304-38 세원빌딩,CDFI5272002019000002,3060000,3,,"서울특별시 중랑구 중랑역로 76, 세원빌딩 4층 (중화동)",02102,03,폐업,,,,02-433-1616,,,
,,방방토리,,2021-05-13,206535.780486452,454418.977917965,,신고테마파크업,2026-05-03 22:36:26,I,,03,폐업,,,,,,,2021-05-24 09:39:51,,2019-04-22,,서울특별시 중랑구 상봉동 136-87,CDFI5272002019000003,3060000,3,,"서울특별시 중랑구 망우로30길 30, B1층 (상봉동)",02119,03,폐업,,,,02-493-1102,,,
,,2024 중랑 물놀이 한마당,,2024-08-16,207992.3564504,452330.823762118,,신고테마파크업,2026-05-03 22:36:27,I,,03,폐업,,,,,,,2024-12-02 13:33:23,,2024-08-01,,"서울특별시 중랑구 면목동 산 1-4 용마배수지, 용마산돌산공원",CDFI5272002024000002,3060000,,,"서울특별시 중랑구 용마산로 250-12, 용마배수지, 용마산돌산공원 (면목동)",02257,03,폐업,,,,043-269-3650,,,
,,중랑구 눈썰매장,,2025-02-10,206367.82146494,455451.121599107,,신고테마파크업,2026-05-03 22:36:27,I,,03,폐업,,,,,,,2025-03-18 16:18:56,,2024-12-24,,서울특별시 중랑구 중화동 382-2,CDFI5272002024000003,3060000,2,,서울특별시 중랑구 중랑천로 197 (중화동),02000,03,폐업,,,,031-642-7826,,,
,,용마폭포공원 물놀이장,,2025-08-18,209385.494867194,453567.30233195,,신고테마파크업,2026-05-03 22:36:27,I,,03,폐업,,,,,,,2025-09-29 17:36:41,,2025-07-25,,서울특별시 중랑구 면목동 산 1-1,CDFI5272002025000002,3060000,2,,서울특별시 중랑구 망우로91길 2-1 (면목동),02191,03,폐업,,,,031-642-7826,,,
"인형뽑기(6종 35대), 미니농구(1종 3대)",근린생활시설,퍼니랜드,,2017-02-16,202275.540790671,444467.752442376,,신고테마파크업,2026-05-03 22:32:32,I,,03,폐업,,,,,,,2017-02-16 15:45:36,,2016-08-12,,"서울특별시 강남구 역삼동 813-8 지상1층,지하1층",CDFI5272002016000001,3220000,,,"서울특별시 강남구 봉은사로2길 35, 지상1층, 지하1층 (역삼동, 소현빌딩)",06123,03,폐업,,,,,,,
,근린생활시설,릴리펏 역삼점,,2021-07-09,203829.432878247,443954.517765895,,신고테마파크업,2026-05-03 22:32:32,I,,03,폐업,,,,,,,2021-07-09 10:13:08,,2017-05-15,,서울특별시 강남구 역삼동 772,CDFI5272002017000001,3220000,1,,"서울특별시 강남구 언주로 337, 1층 (역삼동, 동영문화센터)",06226,03,폐업,,,,02-501-9611,,,
,,아이숲 키즈카페,,2020-09-01,209097.326611526,440094.367377097,,신고테마파크업,2026-05-03 22:32:32,I,,03,폐업,,,,,,,2020-09-01 17:35:51,,2017-09-04,,서울특별시 강남구 세곡동 515-3 엠타워 2층,CDFI5272002017000003,3220000,,,"서울특별시 강남구 헌릉로590길 24, 엠타워 2층 (세곡동)",06365,03,폐업,,,,02-3411-4959,,,
