건축연면적,건물용도명,사업장명,회의실별동시수용인원,폐업일자,자본금,좌표X,좌표Y,문화사업자구분명,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,영문상호주소,영문상호명,제작취급품목내용,시설면적,시설규모,지상층수,객실수,보험시작일자,보험종료일자,보험기관명,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지번주소,관리번호,개방자치단체코드,지역구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,좌석수,무대면적,주변환경명,기념품종류,휴업시작일자,휴업종료일자,소재지전화번호,총층수,관광숙박업상세명,지하층수,선박척수,선박제원,선박총톤수
,호텔,인천뉴스타관광호텔,,2006-05-15,,167095.320449236,439261.756827063,관광사업,관광숙박업,2026-05-03 22:38:54,I,03,폐업,,,,10732.71,10733,7,,,,,2006-05-16 11:53:21,,1983-03-09,400-103,인천광역시 중구 신흥동3가 29,CDFI2260031983000001,3490000,상업지역,,,03,폐업,,,기타,,,,,,,1,,,
,호텔,SK네트워크(주)워커힐인천공항환승호텔,,2017-07-17,,151619.097264659,438436.591435867,관광사업,관광숙박업,2026-05-03 22:38:54,I,03,폐업,Tourism Hotel,Incheon Airport Transit Hotel,,4360.75,4361,,,,,,2017-07-20 13:54:35,,2001-03-21,400-340,인천광역시 중구 운서동 2851,CDFI2260032001000001,3490000,자연녹지지역,,,03,폐업,,,기타,,,,,,,,,,
,,M(엠)관광호텔,,2025-02-07,,164766.146693052,439158.801595463,관광사업,관광숙박업,2026-05-03 22:38:55,I,03,폐업,,,,1593.59,1594,,,,,,2025-02-07 15:31:30,,2003-05-06,,인천광역시 중구 항동7가 58-128,CDFI2260032003000002,3490000,일반상업지역,인천광역시 중구 연안부두로43번길 12 (항동7가),22348,03,폐업,,,,,,,032-889-0245,7,,,,,
,호텔,(주)그랜드인천공항호텔,,2008-05-14,,144394.635496426,440085.898189561,관광사업,관광숙박업,2026-05-03 22:38:55,I,03,폐업,,,,2577.17,2577,5,,,,,2008-05-15 11:07:17,,2003-05-01,400-420,인천광역시 중구 을왕동 857-1,CDFI2260032003000003,3490000,자연녹지지역,,,03,폐업,,,기타,,,,,,,1,,,
,,무의아일랜드 가족호텔,,2021-06-25,,147890.521839907,433733.63614162,,관광숙박업,2026-05-03 22:38:55,I,03,폐업,,,,1208.02,1208,,30,,,,2021-06-28 09:53:36,,2005-04-13,400-460,인천광역시 중구 무의동 370,CDFI2260032005000001,3490000,자연녹지지역,인천광역시 중구 큰무리로 22 (무의동),22386,03,폐업,,,,,,,032-752-5114,,가족호텔업,,,,
,호텔,씨 사이드 관광호텔,,2024-06-26,55000000,144385.570278871,438737.967722269,관광사업,관광숙박업,2026-05-03 22:38:56,I,03,폐업,,,,1019,1019,5,30,,,,2024-06-27 15:55:06,,2007-01-18,,인천광역시 중구 을왕동 764 씨사이드관광호텔,CDFI2260032007000001,3490000,자연녹지지역,"인천광역시 중구 을왕로58번길 6, 씨사이드관광호텔 (을왕동)",22383,03,폐업,,,기타,,,,,6,,1,,,
2560,숙박시설,무의씨사이드 관광호텔,,2019-12-12,,148339.093378649,433573.117676903,,관광숙박업,2026-05-03 22:38:57,I,03,폐업,,,,2559.62,2560,3,84,,,,2022-02-04 20:37:53,,2011-01-19,,인천광역시 중구 무의동 291-7,CDFI2260032011000003,3490000,자연녹지지역,"인천광역시 중구 대무의로 119 (무의동, 무의씨사이드관광호텔)",22386,03,폐업,,,기타,,,,032-752-7737,3,관광호텔업,0,,,
633,,예그리나호스텔,,2022-02-15,30000000,148624.845224152,436169.43151102,,관광숙박업,2026-05-03 22:38:57,I,03,폐업,,,,632.7,633,3,25,,,,2022-02-15 21:09:50,,2012-09-27,,인천광역시 중구 덕교동 128-36,CDFI2260032012000004,3490000,자연녹지지역,인천광역시 중구 마시란로 51-13 (덕교동),22385,03,폐업,,,기타,,,,032-746-2221,3,호스텔업,,,,
,호텔,OK 관광호텔,,2021-11-01,1600000000,164661.079124606,441772.86822076,,관광숙박업,2026-05-03 22:38:57,I,03,폐업,,,,959.21,959,7,,,,,2022-05-17 21:23:35,,2015-02-23,400-201,인천광역시 중구 북성동1가 98-22,CDFI2260032015000002,3490000,일반상업지역,인천광역시 중구 월미로 195 (북성동1가),22302,03,폐업,,,기타,,,,032-777-7755,9,호스텔업,2,,,
,숙박시설,하버뷰호텔,,2017-06-13,1900000000,164642.345444472,441768.213524055,,관광숙박업,2026-05-03 22:38:57,I,03,폐업,,,,866.2,866,2,,,,,2017-06-13 13:26:01,,2015-05-27,400-201,인천광역시 중구 북성동1가 98-77,CDFI2260032015000006,3490000,일반상업지역,인천광역시 중구 월미로 199 (북성동1가),22302,03,폐업,,,기타,,,,032-763-4111,3,소형호텔업,1,,,
